,Date of death,Daily deaths,Cumulative deaths
0,2021-08-15,0,5641
1,2021-08-14,0,5641
2,2021-08-13,0,5641
3,2021-08-12,3,5641
4,2021-08-11,0,5638
5,2021-08-10,4,5638
6,2021-08-09,2,5634
7,2021-08-08,0,5632
8,2021-08-07,1,5632
9,2021-08-06,2,5631
10,2021-08-05,1,5629
11,2021-08-04,0,5628
12,2021-08-03,4,5628
13,2021-08-02,3,5624
14,2021-08-01,3,5621
15,2021-07-31,2,5618
16,2021-07-30,0,5616
17,2021-07-29,1,5616
18,2021-07-28,4,5615
19,2021-07-27,3,5611
20,2021-07-26,2,5608
21,2021-07-25,2,5606
22,2021-07-24,3,5604
23,2021-07-23,2,5601
24,2021-07-22,1,5599
25,2021-07-21,1,5598
26,2021-07-20,2,5597
27,2021-07-19,2,5595
28,2021-07-18,1,5593
29,2021-07-17,1,5592
30,2021-07-16,3,5591
31,2021-07-15,1,5588
32,2021-07-14,2,5587
33,2021-07-13,2,5585
34,2021-07-12,0,5583
35,2021-07-11,1,5583
36,2021-07-10,1,5582
37,2021-07-09,1,5581
38,2021-07-08,0,5580
39,2021-07-07,1,5580
40,2021-07-06,0,5579
41,2021-07-05,0,5579
42,2021-07-04,0,5579
43,2021-07-03,1,5579
44,2021-07-02,1,5578
45,2021-07-01,0,5577
46,2021-06-30,0,5577
47,2021-06-29,1,5577
48,2021-06-28,0,5576
49,2021-06-27,0,5576
50,2021-06-26,0,5576
51,2021-06-25,0,5576
52,2021-06-24,0,5576
53,2021-06-23,1,5576
54,2021-06-22,0,5575
55,2021-06-21,1,5575
56,2021-06-20,0,5574
57,2021-06-19,2,5574
58,2021-06-18,0,5572
59,2021-06-17,0,5572
60,2021-06-16,0,5572
61,2021-06-15,0,5572
62,2021-06-14,0,5572
63,2021-06-13,0,5572
64,2021-06-12,0,5572
65,2021-06-11,0,5572
66,2021-06-10,0,5572
67,2021-06-09,1,5572
68,2021-06-08,0,5571
69,2021-06-07,0,5571
70,2021-06-06,0,5571
71,2021-06-05,1,5571
72,2021-06-04,0,5570
73,2021-06-03,0,5570
74,2021-06-02,0,5570
75,2021-06-01,0,5570
76,2021-05-31,0,5570
77,2021-05-30,0,5570
78,2021-05-29,0,5570
79,2021-05-28,0,5570
80,2021-05-27,0,5570
81,2021-05-26,0,5570
82,2021-05-25,1,5570
83,2021-05-24,1,5569
84,2021-05-23,0,5568
85,2021-05-22,0,5568
86,2021-05-21,0,5568
87,2021-05-20,0,5568
88,2021-05-19,2,5568
89,2021-05-18,2,5566
90,2021-05-17,1,5564
91,2021-05-16,0,5563
