ID,id_ej,finess,rs,adresse,cpl_loc,longitude,latitude,mod_prel,public,horaire,horaire_prio,check_rdv,tel_rdv,web_rdv,date_modif
HlI2rCJ014Dk4X3Z,010001725,010001733,LBM CROIX BLANCHE BOURG EN B,51 AV AMEDEE MERCIER 01000 BOURG EN BRESSE,,5.24185205182066,46.2038511077026,Sur place,Tout public,lundi : 8h00-12h00 et 14h00-19h00 | mardi : 8h00-12h00 et 14h00-19h00 | mercredi : 8h00-12h00 et 14h00-19h00 | jeudi : 8h00-12h00 et 14h00-19h00 | vendredi : 8h00-12h00 et 14h00-19h00 | samedi : 8h00-12h00 | dimanche : fermé,,Sur rendez-vous uniquement,0474452636,,2020-09-24
N6k2IZRxWgysYAUD,010009843,010009850,LBM BIOPTEAM BOURG EN B LALANDE,14 R DE LA GRENOUILLERE 01000 BOURG EN BRESSE,,5.22631295949965,46.2084885923992,Sur place,Tout public,,,,0474226107,,2020-09-24
aXgKkWXOZyDwwQog,010009843,010009868,LBM BIOPTEAM BOURG EN B BRETIN,8 PL JOUBERT 01000 BOURG EN BRESSE,,5.22213399470798,46.2031860200091,Sur place,Tout public,lundi : 10h00-12h00  mardi : 10h00-12h00  mercredi : 10h00-12h00  jeudi : 10h00-12h00  vendredi : 10h00-12h00  samedi : fermé  dimanche : fermé,,,0474225209,,2020-09-24
dIv6XOa41yZUSmf8,010009843,010009876,LBM BIOPTEAM VONNAS,48 PL FERDINAND DE BEOST 01540 VONNAS,,4.99175034653428,46.2187859343967,Sur place,Tout public,lundi : 8h30-16h30  mardi : 8h30-16h30  mercredi : 8h30-16h30  jeudi : 8h30-16h30  vendredi : 8h30-16h30  samedi : fermé  dimanche : fermé,,,0474500517,,2020-09-24
B1J9ffrWHd9E2SSQ,020000063,020000162,CH SAINT-QUENTIN,1 R MICHEL DE L'HOSPITAL 02321 ST QUENTIN CEDEX,,3.26915268288148,49.8618454092128,Sur place,Tout public,,,,,,2020-09-24
3PPcHNAmzXJjtRFb,020000063,020004586,EHPAD CH SAINT-QUENTIN HUGO,19 BD VICTOR HUGO 02321 ST QUENTIN CEDEX,,3.28234027914075,49.8425993281576,Sur place,Tout public,,,,,,2020-09-24
NJqQtkPszLhpOxJK,020000063,020014296,EHPAD CH SAINT-QUENTIN,1 AV MICHEL DE L'HOSPITAL 02100 ST QUENTIN,,3.26915268288148,49.8618454092128,Sur place,Tout public,,,,,,2020-09-24
Uc6HH0HHEygbDJWj,020000063,020014676,CMP CH SAINT-QUENTIN BOHAIN-EN-VER,CHE DES DAMES 02110 BOHAIN EN VERMANDOIS,,3.46195799260521,49.992702979735,Sur place,Tout public,,,,,,2020-09-24
s3hdJbO78bUsZIpL,020000063,020016366,SMUR CH SAINT-QUENTIN GUISE,858 R DES DOCTEURS DEVILLERS 02120 GUISE,,3.64005056106045,49.9028455995078,Sur place,Tout public,,,,,,2020-09-24
wrHHpxvrV8a3e2Er,020000253,020000394,CH LAON,33 R MARCELIN BERTHELOT 02001 LAON CEDEX,"salle de prélèvement Covid, couloir B",3.61096827863758,49.5637153867027,Sur place,Tout public,lundi : 9h00-17h00 | mardi : 9h00-17h00 | mercredi : 9h00-17h00 | jeudi : 9h00-17h00 | vendredi : 9h00-17h00 | samedi : fermé | dimanche : fermé,,Sur rendez-vous uniquement,0323243260,0323243260,2020-09-24
