Paper title,SAGE meeting,Date of meeting,Date of release
Are asymptomatic people with 2019nCoV infections?,4,04-Feb,-
Consensus Statement on 2019 Novel Coronavirus,4,04-Feb,05-May
Consensus View Impact Interventions to Delay UK Spread,4,04-Feb,22-May
Are asymptomatic people with 2019nCoV infectious?,4,04-Feb,-
SAGE Influenza vs COVID Planning Assumptions,6,11-Feb,05-May
SPI-M-O Consensus Statement on 2019-nCoV 10 Feb,6,11-Feb,05-May
SPI-M-O Consensus View on Mass School Closures,6,11-Feb,22-May
SPI-M-O Consensus View on Public Gatherings 11 Feb,6,11-Feb,20-Mar
Age dependence in infection and fatality risk,6,11-Feb,-
The effect of travel restrictions on the spread of the 2019 novel coronavirus outbreak,7,13-Feb,-
Singapore: Summary,7,13-Feb,-
Review of Testing for SARS-CoV-2 Infection amongst Returns from Wuhan,8,18-Feb,-
"Review of testing for SARS-CoV-2 infection among persons returning from Wuhan province, Ch. ",8,18-Feb,-
Review of data on persistence of SARS-CoV-2 in the environment and potential infection risk,8,18-Feb,05-May
Clinical Virology of SARS-CoV-2. V3,8,18-Feb,-
"Recommendations use of case-ID, contact-tracing, CCI management",9,20-Feb,-
SPI-M-O Consensus Statement on 2019-nCoV 17 Feb,9,20-Feb,05-May
"SPI-M-O Consensus View, Impact of Mass School Closures, COVID-19 19 Feb",9,20-Feb,20-Mar
When to stop contact tracing: Developing triggers from PHE systems,9,20-Feb,-
Potential Effect of School Closure on UK COVID-19 Epidemic,9,20-Feb,-
"Evidence of cluster of Covid-19 case, what will PHE proposal be",10,25-Feb,-
Transmission-reducing interventions,10,25-Feb,-
SPI-B: Return on Risk of Public Disorder (SPI-B) 25 Feb,10,25-Feb,20-Mar
Sensitivity of proposed UK Sentinel ICU pneumonia surveillance,10,25-Feb,-
Sensitivity of proposed UK Sentinel ICU pneumonia surveillance,10,25-Feb,-
Potential Effect of Non-Pharmaceutical Interventions on COVID-19 epidemic,10,25-Feb,-
Current understanding of COVID-19 comp NSRA Planning Assumptions,11,27-Feb,05-May
Potential effect of NPIs on a Covid-19 epidemic in the UK 26 Feb,11,27-Feb,20-Mar
SAGE's Priorities,11,27-Feb,-
Summary indicative effects of NPIs to reduce transmission & morbidity,12,03-Mar,-
SPI-M-O Consensus Statement on 2019-nCoV 2 March,12,03-Mar,20-Mar
SPI-B return to SAGE on behavioural and social Covid-19 interventions in UK,12,03-Mar,05-May
Illustrative impact of behavioural and social interventions lasting several months on RWC,12,03-Mar,05-May
Effect of social distancing measures on deaths & peak demand for hospitals in England,12,03-Mar,-
Adoption and impact of NPIs for Covid-19,12,03-Mar,-
Potential impact of behavioural and social interventions on Covid-19 epidemic in UK,13,05-Mar,-
Optimising trigger times for social distancing measures (SDMs),13,05-Mar,-
Timing & local triggering of NPIs to reduce Covid-19 mortality and healthcare demands,13,05-Mar,-
SPI-B insights on combined behavioural and social interventions 5 March,13,05-Mar,20-Mar
Considerations for NPI Policy - Timing and Sub-National Targeting,13,05-Mar,-
Potential impact of behavioural and social interventions on Covid-19 epidemic in UK 9 March,14,10-Mar,20-Mar
Coronavirus in Pregnancy and Delivery: Rapid Review & Expert Consensus,14,10-Mar,-
Impact of banning sporting events and other leisure activities on Covid-19 epidemic,15,13-Mar,-
SPI-B: Insights on public gatherings 12 March,15,13-Mar,20-Mar
The impact of aggressively managing peak incidence,16,16-Mar,-
Effect of compliance with Whole Household Isolation in the Covid-19 Outbreak,16,16-Mar,-
"Low critical care capacity and high severity of COVID-19, curve ""flattening"" and containment",16,16-Mar,-
Impact of NPIs to reduce COVID-19 mortality and healthcare demand,16,16-Mar,-
COVID19 intervention strategies,16,16-Mar,-
