areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
overview,United Kingdom,K02000001,2022-03-24,98204,20613817
overview,United Kingdom,K02000001,2022-03-23,102483,20515998
overview,United Kingdom,K02000001,2022-03-22,94524,20413731
overview,United Kingdom,K02000001,2022-03-21,226524,20319434
overview,United Kingdom,K02000001,2022-03-20,0,20093762
overview,United Kingdom,K02000001,2022-03-19,0,20093762
overview,United Kingdom,K02000001,2022-03-18,90349,20093762
overview,United Kingdom,K02000001,2022-03-17,89717,20001627
overview,United Kingdom,K02000001,2022-03-16,91345,19911155
overview,United Kingdom,K02000001,2022-03-15,109802,19820181
overview,United Kingdom,K02000001,2022-03-14,170985,19700952
overview,United Kingdom,K02000001,2022-03-13,0,19530485
overview,United Kingdom,K02000001,2022-03-12,0,19530485
overview,United Kingdom,K02000001,2022-03-11,72898,19530485
overview,United Kingdom,K02000001,2022-03-10,71259,19457976
overview,United Kingdom,K02000001,2022-03-09,67159,19373884
overview,United Kingdom,K02000001,2022-03-08,61900,19307014
overview,United Kingdom,K02000001,2022-03-07,126604,19245301
overview,United Kingdom,K02000001,2022-03-06,0,19119181
overview,United Kingdom,K02000001,2022-03-05,0,19119181
overview,United Kingdom,K02000001,2022-03-04,44740,19119181
overview,United Kingdom,K02000001,2022-03-03,45656,19074696
overview,United Kingdom,K02000001,2022-03-02,44017,19029321
overview,United Kingdom,K02000001,2022-03-01,39000,18985568
overview,United Kingdom,K02000001,2022-02-28,82451,18886701
overview,United Kingdom,K02000001,2022-02-27,0,18804765
overview,United Kingdom,K02000001,2022-02-26,0,18804765
overview,United Kingdom,K02000001,2022-02-25,31933,18804765
overview,United Kingdom,K02000001,2022-02-24,38933,18773164
overview,United Kingdom,K02000001,2022-02-23,39656,18734683
overview,United Kingdom,K02000001,2022-02-22,41130,18695448
overview,United Kingdom,K02000001,2022-02-21,38409,18654572
overview,United Kingdom,K02000001,2022-02-20,31170,18616433
overview,United Kingdom,K02000001,2022-02-19,39693,18585423
overview,United Kingdom,K02000001,2022-02-18,47685,18546205
overview,United Kingdom,K02000001,2022-02-17,51899,18499058
overview,United Kingdom,K02000001,2022-02-16,54218,18447706
overview,United Kingdom,K02000001,2022-02-15,46186,18393951
overview,United Kingdom,K02000001,2022-02-14,41648,18348029
overview,United Kingdom,K02000001,2022-02-13,41270,18306704
overview,United Kingdom,K02000001,2022-02-12,46025,18265918
overview,United Kingdom,K02000001,2022-02-11,58899,18220515
overview,United Kingdom,K02000001,2022-02-10,66638,18162199
overview,United Kingdom,K02000001,2022-02-09,68214,18000119
overview,United Kingdom,K02000001,2022-02-08,66183,17932803
overview,United Kingdom,K02000001,2022-02-07,57623,17866632
overview,United Kingdom,K02000001,2022-02-06,57337,17809459
overview,United Kingdom,K02000001,2022-02-05,63493,17752892
overview,United Kingdom,K02000001,2022-02-04,84053,17689885
overview,United Kingdom,K02000001,2022-02-03,88171,17607832
overview,United Kingdom,K02000001,2022-02-02,92594,17519708
overview,United Kingdom,K02000001,2022-02-01,112458,17428345
overview,United Kingdom,K02000001,2022-01-31,92368,17315893
overview,United Kingdom,K02000001,2022-01-30,69007,16478467
overview,United Kingdom,K02000001,2022-01-29,76069,16409459
overview,United Kingdom,K02000001,2022-01-28,89176,16333980
overview,United Kingdom,K02000001,2022-01-27,96871,16245474
overview,United Kingdom,K02000001,2022-01-26,102292,16149319
overview,United Kingdom,K02000001,2022-01-25,94326,16047716
overview,United Kingdom,K02000001,2022-01-24,88447,15953685
overview,United Kingdom,K02000001,2022-01-23,78317,15866316
overview,United Kingdom,K02000001,2022-01-22,80263,15787937
overview,United Kingdom,K02000001,2022-01-21,95787,15709059
overview,United Kingdom,K02000001,2022-01-20,107364,15613283
overview,United Kingdom,K02000001,2022-01-19,108069,15506750
overview,United Kingdom,K02000001,2022-01-18,94432,15399300
overview,United Kingdom,K02000001,2022-01-17,84429,15305410
overview,United Kingdom,K02000001,2022-01-16,75041,15221366
overview,United Kingdom,K02000001,2022-01-15,81713,15147099
overview,United Kingdom,K02000001,2022-01-14,99652,15066395
overview,United Kingdom,K02000001,2022-01-13,109133,14967817
overview,United Kingdom,K02000001,2022-01-12,129587,14862138
overview,United Kingdom,K02000001,2022-01-11,120821,14732594
overview,United Kingdom,K02000001,2022-01-10,142224,14617314
overview,United Kingdom,K02000001,2022-01-09,141472,14475192
overview,United Kingdom,K02000001,2022-01-08,146390,14333794
overview,United Kingdom,K02000001,2022-01-07,178250,14193228
overview,United Kingdom,K02000001,2022-01-06,179756,14015065
overview,United Kingdom,K02000001,2022-01-05,194747,13835334
overview,United Kingdom,K02000001,2022-01-04,218724,13641520
overview,United Kingdom,K02000001,2022-01-03,157758,13422815
overview,United Kingdom,K02000001,2022-01-02,151663,13266431
overview,United Kingdom,K02000001,2022-01-01,179637,13117469
overview,United Kingdom,K02000001,2021-12-31,189846,12937886
overview,United Kingdom,K02000001,2021-12-30,189213,12748050
overview,United Kingdom,K02000001,2021-12-29,183037,12559926
overview,United Kingdom,K02000001,2021-12-28,138831,12377822
overview,United Kingdom,K02000001,2021-12-27,109077,12239797
overview,United Kingdom,K02000001,2021-12-26,119923,12132098
overview,United Kingdom,K02000001,2021-12-25,121880,12013153
overview,United Kingdom,K02000001,2021-12-24,122186,11891292
overview,United Kingdom,K02000001,2021-12-23,119789,11769921
overview,United Kingdom,K02000001,2021-12-22,109655,11647473
overview,United Kingdom,K02000001,2021-12-21,90629,11542143
overview,United Kingdom,K02000001,2021-12-20,91743,11453121
overview,United Kingdom,K02000001,2021-12-19,82886,11361387
overview,United Kingdom,K02000001,2021-12-18,90418,11279428
overview,United Kingdom,K02000001,2021-12-17,93045,11190354
overview,United Kingdom,K02000001,2021-12-16,88376,11097851
overview,United Kingdom,K02000001,2021-12-15,78610,11010286
overview,United Kingdom,K02000001,2021-12-14,59610,10932545
overview,United Kingdom,K02000001,2021-12-13,54661,10873468
overview,United Kingdom,K02000001,2021-12-12,48854,10819515
overview,United Kingdom,K02000001,2021-12-11,54073,10771444
overview,United Kingdom,K02000001,2021-12-10,58194,10719165
overview,United Kingdom,K02000001,2021-12-09,50867,10660981
overview,United Kingdom,K02000001,2021-12-08,51342,10610958
overview,United Kingdom,K02000001,2021-12-07,45691,10560341
overview,United Kingdom,K02000001,2021-12-06,51459,10515239
overview,United Kingdom,K02000001,2021-12-05,43992,10464389
overview,United Kingdom,K02000001,2021-12-04,42848,10421104
overview,United Kingdom,K02000001,2021-12-03,50584,10379647
overview,United Kingdom,K02000001,2021-12-02,53945,10329074
overview,United Kingdom,K02000001,2021-12-01,48374,10276007
overview,United Kingdom,K02000001,2021-11-30,39716,10228772
overview,United Kingdom,K02000001,2021-11-29,42583,10189059
