areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2021-09-28,6611,6617892
nation,England,E92000001,2021-09-27,28603,6611281
nation,England,E92000001,2021-09-26,24980,6582678
nation,England,E92000001,2021-09-25,21750,6557698
nation,England,E92000001,2021-09-24,24973,6535948
nation,England,E92000001,2021-09-23,27626,6510975
nation,England,E92000001,2021-09-22,28084,6483349
nation,England,E92000001,2021-09-21,29865,6455265
nation,England,E92000001,2021-09-20,31388,6425400
nation,England,E92000001,2021-09-19,24224,6394012
nation,England,E92000001,2021-09-18,20477,6369788
nation,England,E92000001,2021-09-17,21884,6349311
nation,England,E92000001,2021-09-16,21709,6327427
nation,England,E92000001,2021-09-15,21922,6305718
nation,England,E92000001,2021-09-14,22109,6283796
nation,England,E92000001,2021-09-13,24582,6261687
nation,England,E92000001,2021-09-12,17476,6237105
nation,England,E92000001,2021-09-11,16567,6219629
nation,England,E92000001,2021-09-10,20483,6203062
nation,England,E92000001,2021-09-09,23882,6182579
nation,England,E92000001,2021-09-08,25040,6158697
nation,England,E92000001,2021-09-07,27333,6133657
nation,England,E92000001,2021-09-06,32350,6106324
nation,England,E92000001,2021-09-05,22947,6073974
nation,England,E92000001,2021-09-04,22948,6051027
nation,England,E92000001,2021-09-03,28092,6028079
nation,England,E92000001,2021-09-02,29940,5999987
nation,England,E92000001,2021-09-01,30913,5970047
nation,England,E92000001,2021-08-31,32853,5939134
nation,England,E92000001,2021-08-30,24381,5906281
nation,England,E92000001,2021-08-29,18718,5881900
nation,England,E92000001,2021-08-28,19675,5863182
nation,England,E92000001,2021-08-27,23694,5843507
nation,England,E92000001,2021-08-26,25867,5819813
nation,England,E92000001,2021-08-25,27208,5793946
nation,England,E92000001,2021-08-24,27546,5766738
nation,England,E92000001,2021-08-23,29644,5739192
nation,England,E92000001,2021-08-22,21947,5709548
nation,England,E92000001,2021-08-21,22140,5687601
nation,England,E92000001,2021-08-20,25000,5665461
nation,England,E92000001,2021-08-19,28389,5640461
nation,England,E92000001,2021-08-18,30687,5612072
nation,England,E92000001,2021-08-17,30319,5581385
nation,England,E92000001,2021-08-16,30143,5551066
nation,England,E92000001,2021-08-15,20829,5520923
nation,England,E92000001,2021-08-14,20905,5500094
