areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
nation,England,E92000001,2022-01-26,65,134875
nation,England,E92000001,2022-01-25,145,134810
nation,England,E92000001,2022-01-24,193,134665
nation,England,E92000001,2022-01-23,170,134472
nation,England,E92000001,2022-01-22,210,134302
nation,England,E92000001,2022-01-21,212,134092
nation,England,E92000001,2022-01-20,200,133880
nation,England,E92000001,2022-01-19,230,133680
nation,England,E92000001,2022-01-18,217,133450
nation,England,E92000001,2022-01-17,239,133233
nation,England,E92000001,2022-01-16,227,132994
nation,England,E92000001,2022-01-15,238,132767
nation,England,E92000001,2022-01-14,228,132529
nation,England,E92000001,2022-01-13,219,132301
nation,England,E92000001,2022-01-12,209,132082
nation,England,E92000001,2022-01-11,226,131873
nation,England,E92000001,2022-01-10,240,131647
nation,England,E92000001,2022-01-09,226,131407
nation,England,E92000001,2022-01-08,204,131181
nation,England,E92000001,2022-01-07,215,130977
nation,England,E92000001,2022-01-06,210,130762
nation,England,E92000001,2022-01-05,185,130552
nation,England,E92000001,2022-01-04,172,130367
nation,England,E92000001,2022-01-03,157,130195
nation,England,E92000001,2022-01-02,145,130038
nation,England,E92000001,2022-01-01,158,129893
nation,England,E92000001,2021-12-31,142,129735
nation,England,E92000001,2021-12-30,169,129593
nation,England,E92000001,2021-12-29,99,129424
nation,England,E92000001,2021-12-28,136,129325
nation,England,E92000001,2021-12-27,119,129189
nation,England,E92000001,2021-12-26,105,129070
nation,England,E92000001,2021-12-25,87,128965
nation,England,E92000001,2021-12-24,113,128878
nation,England,E92000001,2021-12-23,118,128765
nation,England,E92000001,2021-12-22,111,128647
nation,England,E92000001,2021-12-21,84,128536
nation,England,E92000001,2021-12-20,99,128452
nation,England,E92000001,2021-12-19,90,128353
nation,England,E92000001,2021-12-18,91,128263
nation,England,E92000001,2021-12-17,112,128172
nation,England,E92000001,2021-12-16,87,128060
nation,England,E92000001,2021-12-15,92,127973
nation,England,E92000001,2021-12-14,110,127881
nation,England,E92000001,2021-12-13,88,127771
nation,England,E92000001,2021-12-12,103,127683
nation,England,E92000001,2021-12-11,77,127580
nation,England,E92000001,2021-12-10,89,127503
nation,England,E92000001,2021-12-09,99,127414
nation,England,E92000001,2021-12-08,92,127315
nation,England,E92000001,2021-12-07,92,127223
nation,England,E92000001,2021-12-06,110,127131
nation,England,E92000001,2021-12-05,91,127021
nation,England,E92000001,2021-12-04,117,126930
nation,England,E92000001,2021-12-03,111,126813
nation,England,E92000001,2021-12-02,83,126702
nation,England,E92000001,2021-12-01,102,126619
nation,England,E92000001,2021-11-30,85,126517
nation,England,E92000001,2021-11-29,105,126432
nation,England,E92000001,2021-11-28,90,126327
nation,England,E92000001,2021-11-27,85,126237
nation,England,E92000001,2021-11-26,107,126152
nation,England,E92000001,2021-11-25,108,126045
nation,England,E92000001,2021-11-24,96,125937
nation,England,E92000001,2021-11-23,120,125841
nation,England,E92000001,2021-11-22,92,125721
nation,England,E92000001,2021-11-21,86,125629
nation,England,E92000001,2021-11-20,99,125543
nation,England,E92000001,2021-11-19,103,125444
nation,England,E92000001,2021-11-18,113,125341
nation,England,E92000001,2021-11-17,98,125228
nation,England,E92000001,2021-11-16,130,125130
