areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
nation,England,E92000001,2020-10-23,26,39628
nation,England,E92000001,2020-10-22,113,39602
nation,England,E92000001,2020-10-21,148,39489
nation,England,E92000001,2020-10-20,144,39341
nation,England,E92000001,2020-10-19,131,39197
nation,England,E92000001,2020-10-18,108,39066
nation,England,E92000001,2020-10-17,150,38958
nation,England,E92000001,2020-10-16,111,38808
nation,England,E92000001,2020-10-15,114,38697
nation,England,E92000001,2020-10-14,101,38583
nation,England,E92000001,2020-10-13,83,38482
nation,England,E92000001,2020-10-12,97,38399
nation,England,E92000001,2020-10-11,103,38302
nation,England,E92000001,2020-10-10,88,38199
nation,England,E92000001,2020-10-09,68,38111
nation,England,E92000001,2020-10-08,76,38043
nation,England,E92000001,2020-10-07,78,37967
nation,England,E92000001,2020-10-06,61,37889
nation,England,E92000001,2020-10-05,59,37828
nation,England,E92000001,2020-10-04,54,37769
nation,England,E92000001,2020-10-03,54,37715
nation,England,E92000001,2020-10-02,63,37661
nation,England,E92000001,2020-10-01,54,37598
nation,England,E92000001,2020-09-30,48,37544
nation,England,E92000001,2020-09-29,43,37496
nation,England,E92000001,2020-09-28,47,37453
nation,England,E92000001,2020-09-27,40,37406
nation,England,E92000001,2020-09-26,36,37366
nation,England,E92000001,2020-09-25,29,37330
nation,England,E92000001,2020-09-24,32,37301
nation,England,E92000001,2020-09-23,52,37269
nation,England,E92000001,2020-09-22,34,37217
nation,England,E92000001,2020-09-21,24,37183
nation,England,E92000001,2020-09-20,27,37159
nation,England,E92000001,2020-09-19,18,37132
nation,England,E92000001,2020-09-18,21,37114
nation,England,E92000001,2020-09-17,24,37093
nation,England,E92000001,2020-09-16,22,37069
nation,England,E92000001,2020-09-15,15,37047
nation,England,E92000001,2020-09-14,17,37032
nation,England,E92000001,2020-09-13,14,37015
nation,England,E92000001,2020-09-12,18,37001
nation,England,E92000001,2020-09-11,10,36983
nation,England,E92000001,2020-09-10,12,36973
nation,England,E92000001,2020-09-09,9,36961
nation,England,E92000001,2020-09-08,9,36952
nation,England,E92000001,2020-09-07,14,36943
nation,England,E92000001,2020-09-06,8,36929
nation,England,E92000001,2020-09-05,11,36921
nation,England,E92000001,2020-09-04,6,36910
nation,England,E92000001,2020-09-03,6,36904
nation,England,E92000001,2020-09-02,8,36898
nation,England,E92000001,2020-09-01,2,36890
nation,England,E92000001,2020-08-31,6,36888
nation,England,E92000001,2020-08-30,6,36882
nation,England,E92000001,2020-08-29,5,36876
nation,England,E92000001,2020-08-28,8,36871
nation,England,E92000001,2020-08-27,7,36863
nation,England,E92000001,2020-08-26,11,36856
nation,England,E92000001,2020-08-25,11,36845
nation,England,E92000001,2020-08-24,5,36834
nation,England,E92000001,2020-08-23,13,36829
nation,England,E92000001,2020-08-22,6,36816
nation,England,E92000001,2020-08-21,7,36810
nation,England,E92000001,2020-08-20,8,36803
nation,England,E92000001,2020-08-19,2,36795
nation,England,E92000001,2020-08-18,8,36793
nation,England,E92000001,2020-08-17,12,36785
nation,England,E92000001,2020-08-16,4,36773
nation,England,E92000001,2020-08-15,11,36769
nation,England,E92000001,2020-08-14,6,36758
nation,England,E92000001,2020-08-13,7,36752
nation,England,E92000001,2020-08-12,6,36745
nation,England,E92000001,2020-08-11,10,36739
nation,England,E92000001,2020-08-10,11,36729
nation,England,E92000001,2020-08-09,8,36718
nation,England,E92000001,2020-08-08,11,36710
nation,England,E92000001,2020-08-07,7,36699
nation,England,E92000001,2020-08-06,9,36692
nation,England,E92000001,2020-08-05,3,36683
nation,England,E92000001,2020-08-04,10,36680
nation,England,E92000001,2020-08-03,14,36670
nation,England,E92000001,2020-08-02,8,36656
nation,England,E92000001,2020-08-01,9,36648
nation,England,E92000001,2020-07-31,10,36639
nation,England,E92000001,2020-07-30,8,36629
nation,England,E92000001,2020-07-29,8,36621
nation,England,E92000001,2020-07-28,10,36613
nation,England,E92000001,2020-07-27,10,36603
nation,England,E92000001,2020-07-26,14,36593
nation,England,E92000001,2020-07-25,13,36579
nation,England,E92000001,2020-07-24,6,36566
nation,England,E92000001,2020-07-23,16,36560
nation,England,E92000001,2020-07-22,16,36544
nation,England,E92000001,2020-07-21,19,36528
nation,England,E92000001,2020-07-20,12,36509
nation,England,E92000001,2020-07-19,14,36497
nation,England,E92000001,2020-07-18,14,36483
nation,England,E92000001,2020-07-17,18,36469
nation,England,E92000001,2020-07-16,12,36451
nation,England,E92000001,2020-07-15,20,36439
nation,England,E92000001,2020-07-14,20,36419
nation,England,E92000001,2020-07-13,22,36399
nation,England,E92000001,2020-07-12,12,36377
nation,England,E92000001,2020-07-11,21,36365
nation,England,E92000001,2020-07-10,21,36344
nation,England,E92000001,2020-07-09,35,36323
nation,England,E92000001,2020-07-08,23,36288
nation,England,E92000001,2020-07-07,26,36265
nation,England,E92000001,2020-07-06,33,36239
nation,England,E92000001,2020-07-05,24,36206
nation,England,E92000001,2020-07-04,31,36182
nation,England,E92000001,2020-07-03,26,36151
nation,England,E92000001,2020-07-02,40,36125
nation,England,E92000001,2020-07-01,22,36085
nation,England,E92000001,2020-06-30,43,36063
nation,England,E92000001,2020-06-29,33,36020
nation,England,E92000001,2020-06-28,42,35987
nation,England,E92000001,2020-06-27,39,35945
nation,England,E92000001,2020-06-26,38,35906
nation,England,E92000001,2020-06-25,57,35868
nation,England,E92000001,2020-06-24,68,35811
nation,England,E92000001,2020-06-23,60,35743
nation,England,E92000001,2020-06-22,58,35683
nation,England,E92000001,2020-06-21,47,35625
nation,England,E92000001,2020-06-20,54,35578
nation,England,E92000001,2020-06-19,47,35524
nation,England,E92000001,2020-06-18,57,35477
nation,England,E92000001,2020-06-17,53,35420
nation,England,E92000001,2020-06-16,69,35367
nation,England,E92000001,2020-06-15,61,35298
nation,England,E92000001,2020-06-14,76,35237
nation,England,E92000001,2020-06-13,52,35161
nation,England,E92000001,2020-06-12,72,35109
nation,England,E92000001,2020-06-11,71,35037
nation,England,E92000001,2020-06-10,97,34966
nation,England,E92000001,2020-06-09,85,34869
nation,England,E92000001,2020-06-08,111,34784
nation,England,E92000001,2020-06-07,111,34673
nation,England,E92000001,2020-06-06,98,34562
nation,England,E92000001,2020-06-05,108,34464
nation,England,E92000001,2020-06-04,120,34356
nation,England,E92000001,2020-06-03,138,34236
nation,England,E92000001,2020-06-02,156,34098
nation,England,E92000001,2020-06-01,122,33942
nation,England,E92000001,2020-05-31,112,33820
nation,England,E92000001,2020-05-30,145,33708
nation,England,E92000001,2020-05-29,163,33563
nation,England,E92000001,2020-05-28,182,33400
nation,England,E92000001,2020-05-27,169,33218
nation,England,E92000001,2020-05-26,187,33049
nation,England,E92000001,2020-05-25,176,32862
nation,England,E92000001,2020-05-24,169,32686
nation,England,E92000001,2020-05-23,198,32517
nation,England,E92000001,2020-05-22,195,32319
nation,England,E92000001,2020-05-21,201,32124
nation,England,E92000001,2020-05-20,235,31923
nation,England,E92000001,2020-05-19,230,31688
nation,England,E92000001,2020-05-18,253,31458
nation,England,E92000001,2020-05-17,222,31205
nation,England,E92000001,2020-05-16,269,30983
nation,England,E92000001,2020-05-15,268,30714
nation,England,E92000001,2020-05-14,278,30446
