areaCode,areaName,areaType,date,capacityPillarFour
K02000001,United Kingdom,overview,2021-08-19,2400
K02000001,United Kingdom,overview,2021-08-18,2400
K02000001,United Kingdom,overview,2021-08-17,2400
K02000001,United Kingdom,overview,2021-08-16,2400
K02000001,United Kingdom,overview,2021-08-15,2400
K02000001,United Kingdom,overview,2021-08-14,2400
K02000001,United Kingdom,overview,2021-08-13,2400
K02000001,United Kingdom,overview,2021-08-12,2400
K02000001,United Kingdom,overview,2021-08-11,2400
K02000001,United Kingdom,overview,2021-08-10,2400
K02000001,United Kingdom,overview,2021-08-09,2400
K02000001,United Kingdom,overview,2021-08-08,2400
K02000001,United Kingdom,overview,2021-08-07,2400
K02000001,United Kingdom,overview,2021-08-06,2400
K02000001,United Kingdom,overview,2021-08-05,2400
K02000001,United Kingdom,overview,2021-08-04,2400
K02000001,United Kingdom,overview,2021-08-03,2400
K02000001,United Kingdom,overview,2021-08-02,2847
K02000001,United Kingdom,overview,2021-08-01,2400
K02000001,United Kingdom,overview,2021-07-31,2400
K02000001,United Kingdom,overview,2021-07-30,2400
K02000001,United Kingdom,overview,2021-07-29,2650
K02000001,United Kingdom,overview,2021-07-28,2691
K02000001,United Kingdom,overview,2021-07-27,2400
K02000001,United Kingdom,overview,2021-07-26,2400
K02000001,United Kingdom,overview,2021-07-25,2400
K02000001,United Kingdom,overview,2021-07-24,2400
K02000001,United Kingdom,overview,2021-07-23,2400
K02000001,United Kingdom,overview,2021-07-22,2400
K02000001,United Kingdom,overview,2021-07-21,2400
K02000001,United Kingdom,overview,2021-07-20,2400
K02000001,United Kingdom,overview,2021-07-19,2400
K02000001,United Kingdom,overview,2021-07-18,2400
K02000001,United Kingdom,overview,2021-07-17,2400
K02000001,United Kingdom,overview,2021-07-16,2400
K02000001,United Kingdom,overview,2021-07-15,2400
K02000001,United Kingdom,overview,2021-07-14,6457
K02000001,United Kingdom,overview,2021-07-13,5207
K02000001,United Kingdom,overview,2021-07-12,6712
K02000001,United Kingdom,overview,2021-07-11,7044
K02000001,United Kingdom,overview,2021-07-10,7815
K02000001,United Kingdom,overview,2021-07-09,9185
K02000001,United Kingdom,overview,2021-07-08,10395
K02000001,United Kingdom,overview,2021-07-07,11651
K02000001,United Kingdom,overview,2021-07-06,7670
K02000001,United Kingdom,overview,2021-07-05,9429
K02000001,United Kingdom,overview,2021-07-04,10576
K02000001,United Kingdom,overview,2021-07-03,9961
K02000001,United Kingdom,overview,2021-07-02,9287
K02000001,United Kingdom,overview,2021-07-01,8809
K02000001,United Kingdom,overview,2021-06-30,7748
K02000001,United Kingdom,overview,2021-06-29,5903
K02000001,United Kingdom,overview,2021-06-28,5477
K02000001,United Kingdom,overview,2021-06-27,2400
K02000001,United Kingdom,overview,2021-06-26,2400
K02000001,United Kingdom,overview,2021-06-25,2400
K02000001,United Kingdom,overview,2021-06-24,2400
K02000001,United Kingdom,overview,2021-06-23,2400
K02000001,United Kingdom,overview,2021-06-22,2400
K02000001,United Kingdom,overview,2021-06-21,2400
K02000001,United Kingdom,overview,2021-06-20,2400
K02000001,United Kingdom,overview,2021-06-19,2400
K02000001,United Kingdom,overview,2021-06-18,2400
K02000001,United Kingdom,overview,2021-06-17,2400
K02000001,United Kingdom,overview,2021-06-16,2400
K02000001,United Kingdom,overview,2021-06-15,2400
K02000001,United Kingdom,overview,2021-06-14,2400
K02000001,United Kingdom,overview,2021-06-13,2400
K02000001,United Kingdom,overview,2021-06-12,2400
K02000001,United Kingdom,overview,2021-06-11,2400
K02000001,United Kingdom,overview,2021-06-10,2400
K02000001,United Kingdom,overview,2021-06-09,7429
K02000001,United Kingdom,overview,2021-06-08,5707
K02000001,United Kingdom,overview,2021-06-07,6640
K02000001,United Kingdom,overview,2021-06-06,7922
K02000001,United Kingdom,overview,2021-06-05,8796
K02000001,United Kingdom,overview,2021-06-04,10080
K02000001,United Kingdom,overview,2021-06-03,9893
K02000001,United Kingdom,overview,2021-06-02,8772
K02000001,United Kingdom,overview,2021-06-01,5023
K02000001,United Kingdom,overview,2021-05-31,10670
K02000001,United Kingdom,overview,2021-05-30,12064
K02000001,United Kingdom,overview,2021-05-29,11640
K02000001,United Kingdom,overview,2021-05-28,11643
K02000001,United Kingdom,overview,2021-05-27,10017
K02000001,United Kingdom,overview,2021-05-26,9105
K02000001,United Kingdom,overview,2021-05-25,2400
K02000001,United Kingdom,overview,2021-05-24,2400
K02000001,United Kingdom,overview,2021-05-23,2400
K02000001,United Kingdom,overview,2021-05-22,2400
K02000001,United Kingdom,overview,2021-05-21,2400
K02000001,United Kingdom,overview,2021-05-20,2400
K02000001,United Kingdom,overview,2021-05-19,2400
K02000001,United Kingdom,overview,2021-05-18,2400
K02000001,United Kingdom,overview,2021-05-17,2400
K02000001,United Kingdom,overview,2021-05-16,2400
K02000001,United Kingdom,overview,2021-05-15,2400
K02000001,United Kingdom,overview,2021-05-14,2400
K02000001,United Kingdom,overview,2021-05-13,2400
K02000001,United Kingdom,overview,2021-05-12,2400
K02000001,United Kingdom,overview,2021-05-11,2400
K02000001,United Kingdom,overview,2021-05-10,2400
K02000001,United Kingdom,overview,2021-05-09,2400
K02000001,United Kingdom,overview,2021-05-08,2400
K02000001,United Kingdom,overview,2021-05-07,2400
K02000001,United Kingdom,overview,2021-05-06,2400
K02000001,United Kingdom,overview,2021-05-05,5460
K02000001,United Kingdom,overview,2021-05-04,4033
K02000001,United Kingdom,overview,2021-05-03,7608
K02000001,United Kingdom,overview,2021-05-02,7608
K02000001,United Kingdom,overview,2021-05-01,8280
K02000001,United Kingdom,overview,2021-04-30,9461
K02000001,United Kingdom,overview,2021-04-29,10831
K02000001,United Kingdom,overview,2021-04-28,11278
K02000001,United Kingdom,overview,2021-04-27,10982
K02000001,United Kingdom,overview,2021-04-26,12597
K02000001,United Kingdom,overview,2021-04-25,13914
