areaCode,areaName,areaType,date,capacityPillarOne
K02000001,United Kingdom,overview,2021-08-19,202508
K02000001,United Kingdom,overview,2021-08-18,202508
K02000001,United Kingdom,overview,2021-08-17,202508
K02000001,United Kingdom,overview,2021-08-16,202508
K02000001,United Kingdom,overview,2021-08-15,202508
K02000001,United Kingdom,overview,2021-08-14,202508
K02000001,United Kingdom,overview,2021-08-13,202508
K02000001,United Kingdom,overview,2021-08-12,202529
K02000001,United Kingdom,overview,2021-08-11,202513
K02000001,United Kingdom,overview,2021-08-10,202513
K02000001,United Kingdom,overview,2021-08-09,202513
K02000001,United Kingdom,overview,2021-08-08,202513
K02000001,United Kingdom,overview,2021-08-07,202513
K02000001,United Kingdom,overview,2021-08-06,202513
K02000001,United Kingdom,overview,2021-08-05,202513
K02000001,United Kingdom,overview,2021-08-04,202513
K02000001,United Kingdom,overview,2021-08-03,202513
K02000001,United Kingdom,overview,2021-08-02,202513
K02000001,United Kingdom,overview,2021-08-01,202513
K02000001,United Kingdom,overview,2021-07-31,202513
K02000001,United Kingdom,overview,2021-07-30,202513
K02000001,United Kingdom,overview,2021-07-29,202525
K02000001,United Kingdom,overview,2021-07-28,202525
K02000001,United Kingdom,overview,2021-07-27,202525
K02000001,United Kingdom,overview,2021-07-26,202525
K02000001,United Kingdom,overview,2021-07-25,202525
K02000001,United Kingdom,overview,2021-07-24,202525
K02000001,United Kingdom,overview,2021-07-23,202525
K02000001,United Kingdom,overview,2021-07-22,202385
K02000001,United Kingdom,overview,2021-07-21,202385
K02000001,United Kingdom,overview,2021-07-20,202385
K02000001,United Kingdom,overview,2021-07-19,202385
K02000001,United Kingdom,overview,2021-07-18,202385
K02000001,United Kingdom,overview,2021-07-17,202385
K02000001,United Kingdom,overview,2021-07-16,202385
K02000001,United Kingdom,overview,2021-07-15,202403
K02000001,United Kingdom,overview,2021-07-14,202403
K02000001,United Kingdom,overview,2021-07-13,202403
K02000001,United Kingdom,overview,2021-07-12,202403
K02000001,United Kingdom,overview,2021-07-11,202403
K02000001,United Kingdom,overview,2021-07-10,202403
K02000001,United Kingdom,overview,2021-07-09,202403
K02000001,United Kingdom,overview,2021-07-08,202389
K02000001,United Kingdom,overview,2021-07-07,202389
K02000001,United Kingdom,overview,2021-07-06,202389
K02000001,United Kingdom,overview,2021-07-05,200483
K02000001,United Kingdom,overview,2021-07-04,200483
K02000001,United Kingdom,overview,2021-07-03,200483
K02000001,United Kingdom,overview,2021-07-02,200483
K02000001,United Kingdom,overview,2021-07-01,200478
K02000001,United Kingdom,overview,2021-06-30,200478
K02000001,United Kingdom,overview,2021-06-29,199070
K02000001,United Kingdom,overview,2021-06-28,199070
K02000001,United Kingdom,overview,2021-06-27,199070
K02000001,United Kingdom,overview,2021-06-26,199070
K02000001,United Kingdom,overview,2021-06-25,199070
K02000001,United Kingdom,overview,2021-06-24,199073
K02000001,United Kingdom,overview,2021-06-23,199073
K02000001,United Kingdom,overview,2021-06-22,199073
K02000001,United Kingdom,overview,2021-06-21,199073
K02000001,United Kingdom,overview,2021-06-20,199073
K02000001,United Kingdom,overview,2021-06-19,199073
K02000001,United Kingdom,overview,2021-06-18,199073
K02000001,United Kingdom,overview,2021-06-17,199131
K02000001,United Kingdom,overview,2021-06-16,199131
K02000001,United Kingdom,overview,2021-06-15,199131
K02000001,United Kingdom,overview,2021-06-14,199462
K02000001,United Kingdom,overview,2021-06-13,199462
K02000001,United Kingdom,overview,2021-06-12,199462
K02000001,United Kingdom,overview,2021-06-11,199462
K02000001,United Kingdom,overview,2021-06-10,199459
K02000001,United Kingdom,overview,2021-06-09,199459
K02000001,United Kingdom,overview,2021-06-08,199459
K02000001,United Kingdom,overview,2021-06-07,203538
K02000001,United Kingdom,overview,2021-06-06,203538
K02000001,United Kingdom,overview,2021-06-05,203538
K02000001,United Kingdom,overview,2021-06-04,203538
K02000001,United Kingdom,overview,2021-06-03,203866
K02000001,United Kingdom,overview,2021-06-02,203866
K02000001,United Kingdom,overview,2021-06-01,203416
K02000001,United Kingdom,overview,2021-05-31,203413
K02000001,United Kingdom,overview,2021-05-30,203416
K02000001,United Kingdom,overview,2021-05-29,203416
K02000001,United Kingdom,overview,2021-05-28,203416
K02000001,United Kingdom,overview,2021-05-27,203411
K02000001,United Kingdom,overview,2021-05-26,203411
K02000001,United Kingdom,overview,2021-05-25,203411
K02000001,United Kingdom,overview,2021-05-24,203411
K02000001,United Kingdom,overview,2021-05-23,203411
K02000001,United Kingdom,overview,2021-05-22,203411
K02000001,United Kingdom,overview,2021-05-21,203410
K02000001,United Kingdom,overview,2021-05-20,203411
K02000001,United Kingdom,overview,2021-05-19,203411
K02000001,United Kingdom,overview,2021-05-18,203411
K02000001,United Kingdom,overview,2021-05-17,203411
K02000001,United Kingdom,overview,2021-05-16,203411
K02000001,United Kingdom,overview,2021-05-15,203411
K02000001,United Kingdom,overview,2021-05-14,203411
K02000001,United Kingdom,overview,2021-05-13,203438
K02000001,United Kingdom,overview,2021-05-12,203438
K02000001,United Kingdom,overview,2021-05-11,203438
K02000001,United Kingdom,overview,2021-05-10,203180
K02000001,United Kingdom,overview,2021-05-09,203180
K02000001,United Kingdom,overview,2021-05-08,203180
K02000001,United Kingdom,overview,2021-05-07,203180
K02000001,United Kingdom,overview,2021-05-06,203153
K02000001,United Kingdom,overview,2021-05-05,203153
K02000001,United Kingdom,overview,2021-05-04,203153
K02000001,United Kingdom,overview,2021-05-03,203153
K02000001,United Kingdom,overview,2021-05-02,203153
K02000001,United Kingdom,overview,2021-05-01,203153
K02000001,United Kingdom,overview,2021-04-30,203153
K02000001,United Kingdom,overview,2021-04-29,203151
K02000001,United Kingdom,overview,2021-04-28,203151
K02000001,United Kingdom,overview,2021-04-27,203151
K02000001,United Kingdom,overview,2021-04-26,203151
K02000001,United Kingdom,overview,2021-04-25,203141
K02000001,United Kingdom,overview,2021-04-24,203151
K02000001,United Kingdom,overview,2021-04-23,203151
K02000001,United Kingdom,overview,2021-04-22,203150
K02000001,United Kingdom,overview,2021-04-21,203150
K02000001,United Kingdom,overview,2021-04-20,203150
K02000001,United Kingdom,overview,2021-04-19,202938
K02000001,United Kingdom,overview,2021-04-18,202938
K02000001,United Kingdom,overview,2021-04-17,202938
K02000001,United Kingdom,overview,2021-04-16,202938
K02000001,United Kingdom,overview,2021-04-15,202938
K02000001,United Kingdom,overview,2021-04-14,202938
K02000001,United Kingdom,overview,2021-04-13,202938
K02000001,United Kingdom,overview,2021-04-12,202938
K02000001,United Kingdom,overview,2021-04-11,202938
K02000001,United Kingdom,overview,2021-04-10,202938
K02000001,United Kingdom,overview,2021-04-09,202938
K02000001,United Kingdom,overview,2021-04-08,202745
K02000001,United Kingdom,overview,2021-04-07,202745
K02000001,United Kingdom,overview,2021-04-06,202745
K02000001,United Kingdom,overview,2021-04-05,202745
K02000001,United Kingdom,overview,2021-04-04,202745
K02000001,United Kingdom,overview,2021-04-03,202745
K02000001,United Kingdom,overview,2021-04-02,202745
K02000001,United Kingdom,overview,2021-04-01,202628
K02000001,United Kingdom,overview,2021-03-31,202628
K02000001,United Kingdom,overview,2021-03-30,202628
K02000001,United Kingdom,overview,2021-03-29,202398
K02000001,United Kingdom,overview,2021-03-28,202398
K02000001,United Kingdom,overview,2021-03-27,202398
K02000001,United Kingdom,overview,2021-03-26,202398
K02000001,United Kingdom,overview,2021-03-25,202473
K02000001,United Kingdom,overview,2021-03-24,202473
K02000001,United Kingdom,overview,2021-03-23,202473
K02000001,United Kingdom,overview,2021-03-22,202473
K02000001,United Kingdom,overview,2021-03-21,202473
K02000001,United Kingdom,overview,2021-03-20,202473
K02000001,United Kingdom,overview,2021-03-19,202473
K02000001,United Kingdom,overview,2021-03-18,202313
K02000001,United Kingdom,overview,2021-03-17,202313
K02000001,United Kingdom,overview,2021-03-16,202313
K02000001,United Kingdom,overview,2021-03-15,202154
K02000001,United Kingdom,overview,2021-03-14,202154
K02000001,United Kingdom,overview,2021-03-13,202154
K02000001,United Kingdom,overview,2021-03-12,202154
K02000001,United Kingdom,overview,2021-03-11,202109
K02000001,United Kingdom,overview,2021-03-10,202109
K02000001,United Kingdom,overview,2021-03-09,202109
K02000001,United Kingdom,overview,2021-03-08,202109
K02000001,United Kingdom,overview,2021-03-07,201036
K02000001,United Kingdom,overview,2021-03-06,201524
K02000001,United Kingdom,overview,2021-03-05,201826
K02000001,United Kingdom,overview,2021-03-04,201826
K02000001,United Kingdom,overview,2021-03-03,201826
K02000001,United Kingdom,overview,2021-03-02,201826
K02000001,United Kingdom,overview,2021-03-01,202150
K02000001,United Kingdom,overview,2021-02-28,201736
K02000001,United Kingdom,overview,2021-02-27,202152
K02000001,United Kingdom,overview,2021-02-26,202724
K02000001,United Kingdom,overview,2021-02-25,202724
K02000001,United Kingdom,overview,2021-02-24,202724
K02000001,United Kingdom,overview,2021-02-23,202724
K02000001,United Kingdom,overview,2021-02-22,201222
K02000001,United Kingdom,overview,2021-02-21,200736
K02000001,United Kingdom,overview,2021-02-20,201152
K02000001,United Kingdom,overview,2021-02-19,201724
K02000001,United Kingdom,overview,2021-02-18,201724
K02000001,United Kingdom,overview,2021-02-17,201699
K02000001,United Kingdom,overview,2021-02-16,201699
K02000001,United Kingdom,overview,2021-02-15,201197
K02000001,United Kingdom,overview,2021-02-14,200783
K02000001,United Kingdom,overview,2021-02-13,200127
K02000001,United Kingdom,overview,2021-02-12,200627
K02000001,United Kingdom,overview,2021-02-11,200417
K02000001,United Kingdom,overview,2021-02-10,200511
K02000001,United Kingdom,overview,2021-02-09,199605
K02000001,United Kingdom,overview,2021-02-08,199009
K02000001,United Kingdom,overview,2021-02-07,198438
K02000001,United Kingdom,overview,2021-02-06,198845
K02000001,United Kingdom,overview,2021-02-05,199502
K02000001,United Kingdom,overview,2021-02-04,199511
K02000001,United Kingdom,overview,2021-02-03,199605
K02000001,United Kingdom,overview,2021-02-02,199251
K02000001,United Kingdom,overview,2021-02-01,198467
K02000001,United Kingdom,overview,2021-01-31,197990
K02000001,United Kingdom,overview,2021-01-30,198397
K02000001,United Kingdom,overview,2021-01-29,199063
K02000001,United Kingdom,overview,2021-01-28,198884
K02000001,United Kingdom,overview,2021-01-27,196116
K02000001,United Kingdom,overview,2021-01-26,196022
K02000001,United Kingdom,overview,2021-01-25,195520
K02000001,United Kingdom,overview,2021-01-24,195128
K02000001,United Kingdom,overview,2021-01-23,192638
K02000001,United Kingdom,overview,2021-01-22,193006
K02000001,United Kingdom,overview,2021-01-21,193116
K02000001,United Kingdom,overview,2021-01-20,192975
K02000001,United Kingdom,overview,2021-01-19,193210
