areaCode,areaName,areaType,date,capacityPillarThree
K02000001,United Kingdom,overview,2021-08-19,120000
K02000001,United Kingdom,overview,2021-08-18,120000
K02000001,United Kingdom,overview,2021-08-17,120000
K02000001,United Kingdom,overview,2021-08-16,120000
K02000001,United Kingdom,overview,2021-08-15,120000
K02000001,United Kingdom,overview,2021-08-14,120000
K02000001,United Kingdom,overview,2021-08-13,120000
K02000001,United Kingdom,overview,2021-08-12,120000
K02000001,United Kingdom,overview,2021-08-11,120000
K02000001,United Kingdom,overview,2021-08-10,120000
K02000001,United Kingdom,overview,2021-08-09,120000
K02000001,United Kingdom,overview,2021-08-08,120000
K02000001,United Kingdom,overview,2021-08-07,120000
K02000001,United Kingdom,overview,2021-08-06,120000
K02000001,United Kingdom,overview,2021-08-05,120000
K02000001,United Kingdom,overview,2021-08-04,120000
K02000001,United Kingdom,overview,2021-08-03,120000
K02000001,United Kingdom,overview,2021-08-02,120000
K02000001,United Kingdom,overview,2021-08-01,120000
K02000001,United Kingdom,overview,2021-07-31,120000
K02000001,United Kingdom,overview,2021-07-30,120000
K02000001,United Kingdom,overview,2021-07-29,120000
K02000001,United Kingdom,overview,2021-07-28,120000
K02000001,United Kingdom,overview,2021-07-27,120000
K02000001,United Kingdom,overview,2021-07-26,120000
K02000001,United Kingdom,overview,2021-07-25,120000
K02000001,United Kingdom,overview,2021-07-24,120000
K02000001,United Kingdom,overview,2021-07-23,120000
K02000001,United Kingdom,overview,2021-07-22,120000
K02000001,United Kingdom,overview,2021-07-21,120000
K02000001,United Kingdom,overview,2021-07-20,120000
K02000001,United Kingdom,overview,2021-07-19,120000
K02000001,United Kingdom,overview,2021-07-18,120000
K02000001,United Kingdom,overview,2021-07-17,120000
K02000001,United Kingdom,overview,2021-07-16,120000
K02000001,United Kingdom,overview,2021-07-15,120000
K02000001,United Kingdom,overview,2021-07-14,120000
K02000001,United Kingdom,overview,2021-07-13,120000
K02000001,United Kingdom,overview,2021-07-12,120000
K02000001,United Kingdom,overview,2021-07-11,120000
K02000001,United Kingdom,overview,2021-07-10,120000
K02000001,United Kingdom,overview,2021-07-09,120000
K02000001,United Kingdom,overview,2021-07-08,120000
K02000001,United Kingdom,overview,2021-07-07,120000
K02000001,United Kingdom,overview,2021-07-06,120000
K02000001,United Kingdom,overview,2021-07-05,120000
K02000001,United Kingdom,overview,2021-07-04,120000
K02000001,United Kingdom,overview,2021-07-03,120000
K02000001,United Kingdom,overview,2021-07-02,120000
K02000001,United Kingdom,overview,2021-07-01,120000
K02000001,United Kingdom,overview,2021-06-30,120000
K02000001,United Kingdom,overview,2021-06-29,120000
K02000001,United Kingdom,overview,2021-06-28,120000
K02000001,United Kingdom,overview,2021-06-27,120000
K02000001,United Kingdom,overview,2021-06-26,120000
K02000001,United Kingdom,overview,2021-06-25,120000
K02000001,United Kingdom,overview,2021-06-24,120000
K02000001,United Kingdom,overview,2021-06-23,120000
K02000001,United Kingdom,overview,2021-06-22,120000
