areaCode,areaName,areaType,date,capacityPillarTwo
K02000001,United Kingdom,overview,2021-08-19,520590
K02000001,United Kingdom,overview,2021-08-18,521360
K02000001,United Kingdom,overview,2021-08-17,520260
K02000001,United Kingdom,overview,2021-08-16,520420
K02000001,United Kingdom,overview,2021-08-15,517520
K02000001,United Kingdom,overview,2021-08-14,517460
K02000001,United Kingdom,overview,2021-08-13,507340
K02000001,United Kingdom,overview,2021-08-12,508090
K02000001,United Kingdom,overview,2021-08-11,508090
K02000001,United Kingdom,overview,2021-08-10,507590
K02000001,United Kingdom,overview,2021-08-09,507680
K02000001,United Kingdom,overview,2021-08-08,506230
K02000001,United Kingdom,overview,2021-08-07,506280
K02000001,United Kingdom,overview,2021-08-06,502230
K02000001,United Kingdom,overview,2021-08-05,502260
K02000001,United Kingdom,overview,2021-08-04,501380
K02000001,United Kingdom,overview,2021-08-03,501260
K02000001,United Kingdom,overview,2021-08-02,501000
K02000001,United Kingdom,overview,2021-08-01,496500
K02000001,United Kingdom,overview,2021-07-31,496500
K02000001,United Kingdom,overview,2021-07-30,496500
K02000001,United Kingdom,overview,2021-07-29,496500
K02000001,United Kingdom,overview,2021-07-28,492500
K02000001,United Kingdom,overview,2021-07-27,488500
K02000001,United Kingdom,overview,2021-07-26,500800
K02000001,United Kingdom,overview,2021-07-25,483500
K02000001,United Kingdom,overview,2021-07-24,483500
K02000001,United Kingdom,overview,2021-07-23,477500
K02000001,United Kingdom,overview,2021-07-22,457500
K02000001,United Kingdom,overview,2021-07-21,456700
K02000001,United Kingdom,overview,2021-07-20,443700
K02000001,United Kingdom,overview,2021-07-19,427000
K02000001,United Kingdom,overview,2021-07-18,450000
K02000001,United Kingdom,overview,2021-07-17,450000
K02000001,United Kingdom,overview,2021-07-16,444000
K02000001,United Kingdom,overview,2021-07-15,442000
K02000001,United Kingdom,overview,2021-07-14,442000
K02000001,United Kingdom,overview,2021-07-13,403000
K02000001,United Kingdom,overview,2021-07-12,372000
K02000001,United Kingdom,overview,2021-07-11,418000
K02000001,United Kingdom,overview,2021-07-10,418000
K02000001,United Kingdom,overview,2021-07-09,430000
K02000001,United Kingdom,overview,2021-07-08,404000
K02000001,United Kingdom,overview,2021-07-07,422000
K02000001,United Kingdom,overview,2021-07-06,422000
K02000001,United Kingdom,overview,2021-07-05,400000
K02000001,United Kingdom,overview,2021-07-04,400000
K02000001,United Kingdom,overview,2021-07-03,400000
K02000001,United Kingdom,overview,2021-07-02,394000
K02000001,United Kingdom,overview,2021-07-01,399000
K02000001,United Kingdom,overview,2021-06-30,389000
K02000001,United Kingdom,overview,2021-06-29,382000
K02000001,United Kingdom,overview,2021-06-28,377000
K02000001,United Kingdom,overview,2021-06-27,399000
K02000001,United Kingdom,overview,2021-06-26,397000
K02000001,United Kingdom,overview,2021-06-25,397000
K02000001,United Kingdom,overview,2021-06-24,385000
K02000001,United Kingdom,overview,2021-06-23,375000
K02000001,United Kingdom,overview,2021-06-22,375000
K02000001,United Kingdom,overview,2021-06-21,375000
K02000001,United Kingdom,overview,2021-06-20,380000
K02000001,United Kingdom,overview,2021-06-19,380000
K02000001,United Kingdom,overview,2021-06-18,380000
