areaCode,areaName,areaType,date,covidOccupiedMVBeds
K02000001,United Kingdom,overview,2021-08-19,928
K02000001,United Kingdom,overview,2021-08-18,909
K02000001,United Kingdom,overview,2021-08-17,925
K02000001,United Kingdom,overview,2021-08-16,918
K02000001,United Kingdom,overview,2021-08-15,898
K02000001,United Kingdom,overview,2021-08-14,892
K02000001,United Kingdom,overview,2021-08-13,892
K02000001,United Kingdom,overview,2021-08-12,882
K02000001,United Kingdom,overview,2021-08-11,871
K02000001,United Kingdom,overview,2021-08-10,874
K02000001,United Kingdom,overview,2021-08-09,859
K02000001,United Kingdom,overview,2021-08-08,856
K02000001,United Kingdom,overview,2021-08-07,854
K02000001,United Kingdom,overview,2021-08-06,870
K02000001,United Kingdom,overview,2021-08-05,871
K02000001,United Kingdom,overview,2021-08-04,881
K02000001,United Kingdom,overview,2021-08-03,887
K02000001,United Kingdom,overview,2021-08-02,895
K02000001,United Kingdom,overview,2021-08-01,877
K02000001,United Kingdom,overview,2021-07-31,893
K02000001,United Kingdom,overview,2021-07-30,889
K02000001,United Kingdom,overview,2021-07-29,869
K02000001,United Kingdom,overview,2021-07-28,853
K02000001,United Kingdom,overview,2021-07-27,848
K02000001,United Kingdom,overview,2021-07-26,820
K02000001,United Kingdom,overview,2021-07-25,779
K02000001,United Kingdom,overview,2021-07-24,755
K02000001,United Kingdom,overview,2021-07-23,715
K02000001,United Kingdom,overview,2021-07-22,699
K02000001,United Kingdom,overview,2021-07-21,647
K02000001,United Kingdom,overview,2021-07-20,618
K02000001,United Kingdom,overview,2021-07-19,611
K02000001,United Kingdom,overview,2021-07-18,582
K02000001,United Kingdom,overview,2021-07-17,583
K02000001,United Kingdom,overview,2021-07-16,573
K02000001,United Kingdom,overview,2021-07-15,551
K02000001,United Kingdom,overview,2021-07-14,545
K02000001,United Kingdom,overview,2021-07-13,522
K02000001,United Kingdom,overview,2021-07-12,482
K02000001,United Kingdom,overview,2021-07-11,454
K02000001,United Kingdom,overview,2021-07-10,448
K02000001,United Kingdom,overview,2021-07-09,437
K02000001,United Kingdom,overview,2021-07-08,417
K02000001,United Kingdom,overview,2021-07-07,417
K02000001,United Kingdom,overview,2021-07-06,392
K02000001,United Kingdom,overview,2021-07-05,369
K02000001,United Kingdom,overview,2021-07-04,336
K02000001,United Kingdom,overview,2021-07-03,327
K02000001,United Kingdom,overview,2021-07-02,321
K02000001,United Kingdom,overview,2021-07-01,300
K02000001,United Kingdom,overview,2021-06-30,287
K02000001,United Kingdom,overview,2021-06-29,283
K02000001,United Kingdom,overview,2021-06-28,297
K02000001,United Kingdom,overview,2021-06-27,263
K02000001,United Kingdom,overview,2021-06-26,256
K02000001,United Kingdom,overview,2021-06-25,257
K02000001,United Kingdom,overview,2021-06-24,259
K02000001,United Kingdom,overview,2021-06-23,246
K02000001,United Kingdom,overview,2021-06-22,250
K02000001,United Kingdom,overview,2021-06-21,228
K02000001,United Kingdom,overview,2021-06-20,210
K02000001,United Kingdom,overview,2021-06-19,215
K02000001,United Kingdom,overview,2021-06-18,223
K02000001,United Kingdom,overview,2021-06-17,210
K02000001,United Kingdom,overview,2021-06-16,208
K02000001,United Kingdom,overview,2021-06-15,206
K02000001,United Kingdom,overview,2021-06-14,188
K02000001,United Kingdom,overview,2021-06-13,188
K02000001,United Kingdom,overview,2021-06-12,169
K02000001,United Kingdom,overview,2021-06-11,161
K02000001,United Kingdom,overview,2021-06-10,158
K02000001,United Kingdom,overview,2021-06-09,159
K02000001,United Kingdom,overview,2021-06-08,154
K02000001,United Kingdom,overview,2021-06-07,148
K02000001,United Kingdom,overview,2021-06-06,145
K02000001,United Kingdom,overview,2021-06-05,135
K02000001,United Kingdom,overview,2021-06-04,130
K02000001,United Kingdom,overview,2021-06-03,134
K02000001,United Kingdom,overview,2021-06-02,129
K02000001,United Kingdom,overview,2021-06-01,136
K02000001,United Kingdom,overview,2021-05-31,122
K02000001,United Kingdom,overview,2021-05-30,124
K02000001,United Kingdom,overview,2021-05-29,119
K02000001,United Kingdom,overview,2021-05-28,124
K02000001,United Kingdom,overview,2021-05-27,120
