areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,2021-08-19,6441
K02000001,United Kingdom,overview,2021-08-18,6415
K02000001,United Kingdom,overview,2021-08-17,6360
K02000001,United Kingdom,overview,2021-08-16,6345
K02000001,United Kingdom,overview,2021-08-15,6012
K02000001,United Kingdom,overview,2021-08-14,5849
K02000001,United Kingdom,overview,2021-08-13,5951
K02000001,United Kingdom,overview,2021-08-12,5927
K02000001,United Kingdom,overview,2021-08-11,5977
K02000001,United Kingdom,overview,2021-08-10,5994
K02000001,United Kingdom,overview,2021-08-09,5992
K02000001,United Kingdom,overview,2021-08-08,5832
K02000001,United Kingdom,overview,2021-08-07,5677
K02000001,United Kingdom,overview,2021-08-06,5726
K02000001,United Kingdom,overview,2021-08-05,5733
K02000001,United Kingdom,overview,2021-08-04,5770
K02000001,United Kingdom,overview,2021-08-03,5985
K02000001,United Kingdom,overview,2021-08-02,6193
K02000001,United Kingdom,overview,2021-08-01,5960
K02000001,United Kingdom,overview,2021-07-31,5936
K02000001,United Kingdom,overview,2021-07-30,5998
K02000001,United Kingdom,overview,2021-07-29,5965
K02000001,United Kingdom,overview,2021-07-28,6089
K02000001,United Kingdom,overview,2021-07-27,6079
K02000001,United Kingdom,overview,2021-07-26,5987
K02000001,United Kingdom,overview,2021-07-25,5631
K02000001,United Kingdom,overview,2021-07-24,5363
K02000001,United Kingdom,overview,2021-07-23,5297
K02000001,United Kingdom,overview,2021-07-22,5087
K02000001,United Kingdom,overview,2021-07-21,4916
K02000001,United Kingdom,overview,2021-07-20,4729
K02000001,United Kingdom,overview,2021-07-19,4638
K02000001,United Kingdom,overview,2021-07-18,4335
K02000001,United Kingdom,overview,2021-07-17,4220
K02000001,United Kingdom,overview,2021-07-16,4140
K02000001,United Kingdom,overview,2021-07-15,4027
K02000001,United Kingdom,overview,2021-07-14,3846
K02000001,United Kingdom,overview,2021-07-13,3663
K02000001,United Kingdom,overview,2021-07-12,3448
K02000001,United Kingdom,overview,2021-07-11,3174
K02000001,United Kingdom,overview,2021-07-10,3028
K02000001,United Kingdom,overview,2021-07-09,2931
K02000001,United Kingdom,overview,2021-07-08,2761
K02000001,United Kingdom,overview,2021-07-07,2674
K02000001,United Kingdom,overview,2021-07-06,2479
K02000001,United Kingdom,overview,2021-07-05,2357
K02000001,United Kingdom,overview,2021-07-04,2171
K02000001,United Kingdom,overview,2021-07-03,2052
K02000001,United Kingdom,overview,2021-07-02,2008
K02000001,United Kingdom,overview,2021-07-01,1930
K02000001,United Kingdom,overview,2021-06-30,1820
K02000001,United Kingdom,overview,2021-06-29,1742
K02000001,United Kingdom,overview,2021-06-28,1739
K02000001,United Kingdom,overview,2021-06-27,1601
K02000001,United Kingdom,overview,2021-06-26,1541
K02000001,United Kingdom,overview,2021-06-25,1535
K02000001,United Kingdom,overview,2021-06-24,1514
K02000001,United Kingdom,overview,2021-06-23,1493
K02000001,United Kingdom,overview,2021-06-22,1539
K02000001,United Kingdom,overview,2021-06-21,1516
K02000001,United Kingdom,overview,2021-06-20,1382
K02000001,United Kingdom,overview,2021-06-19,1347
K02000001,United Kingdom,overview,2021-06-18,1362
K02000001,United Kingdom,overview,2021-06-17,1320
K02000001,United Kingdom,overview,2021-06-16,1255
K02000001,United Kingdom,overview,2021-06-15,1230
K02000001,United Kingdom,overview,2021-06-14,1179
K02000001,United Kingdom,overview,2021-06-13,1138
K02000001,United Kingdom,overview,2021-06-12,1103
K02000001,United Kingdom,overview,2021-06-11,1074
K02000001,United Kingdom,overview,2021-06-10,1093
K02000001,United Kingdom,overview,2021-06-09,1062
K02000001,United Kingdom,overview,2021-06-08,1055
K02000001,United Kingdom,overview,2021-06-07,1033
K02000001,United Kingdom,overview,2021-06-06,962
K02000001,United Kingdom,overview,2021-06-05,936
K02000001,United Kingdom,overview,2021-06-04,963
K02000001,United Kingdom,overview,2021-06-03,936
K02000001,United Kingdom,overview,2021-06-02,959
K02000001,United Kingdom,overview,2021-06-01,928
K02000001,United Kingdom,overview,2021-05-31,927
K02000001,United Kingdom,overview,2021-05-30,905
K02000001,United Kingdom,overview,2021-05-29,885
K02000001,United Kingdom,overview,2021-05-28,884
K02000001,United Kingdom,overview,2021-05-27,871
K02000001,United Kingdom,overview,2021-05-26,894
K02000001,United Kingdom,overview,2021-05-25,920
K02000001,United Kingdom,overview,2021-05-24,959
K02000001,United Kingdom,overview,2021-05-23,923
K02000001,United Kingdom,overview,2021-05-22,886
K02000001,United Kingdom,overview,2021-05-21,921
K02000001,United Kingdom,overview,2021-05-20,911
K02000001,United Kingdom,overview,2021-05-19,917
K02000001,United Kingdom,overview,2021-05-18,897
K02000001,United Kingdom,overview,2021-05-17,942
K02000001,United Kingdom,overview,2021-05-16,940
K02000001,United Kingdom,overview,2021-05-15,965
K02000001,United Kingdom,overview,2021-05-14,975
K02000001,United Kingdom,overview,2021-05-13,1000
K02000001,United Kingdom,overview,2021-05-12,1067
K02000001,United Kingdom,overview,2021-05-11,1105
K02000001,United Kingdom,overview,2021-05-10,1128
K02000001,United Kingdom,overview,2021-05-09,1117
K02000001,United Kingdom,overview,2021-05-08,1136
K02000001,United Kingdom,overview,2021-05-07,1156
K02000001,United Kingdom,overview,2021-05-06,1158
K02000001,United Kingdom,overview,2021-05-05,1237
K02000001,United Kingdom,overview,2021-05-04,1294
K02000001,United Kingdom,overview,2021-05-03,1302
K02000001,United Kingdom,overview,2021-05-02,1284
K02000001,United Kingdom,overview,2021-05-01,1286
K02000001,United Kingdom,overview,2021-04-30,1366
K02000001,United Kingdom,overview,2021-04-29,1464
K02000001,United Kingdom,overview,2021-04-28,1515
K02000001,United Kingdom,overview,2021-04-27,1572
K02000001,United Kingdom,overview,2021-04-26,1649
K02000001,United Kingdom,overview,2021-04-25,1626
K02000001,United Kingdom,overview,2021-04-24,1673
K02000001,United Kingdom,overview,2021-04-23,1749
K02000001,United Kingdom,overview,2021-04-22,1791
K02000001,United Kingdom,overview,2021-04-21,1893
K02000001,United Kingdom,overview,2021-04-20,1926
K02000001,United Kingdom,overview,2021-04-19,2007
K02000001,United Kingdom,overview,2021-04-18,1983
K02000001,United Kingdom,overview,2021-04-17,2035
