areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2021-08-16,858
K02000001,United Kingdom,overview,2021-08-15,805
K02000001,United Kingdom,overview,2021-08-14,781
K02000001,United Kingdom,overview,2021-08-13,781
K02000001,United Kingdom,overview,2021-08-12,853
K02000001,United Kingdom,overview,2021-08-11,842
K02000001,United Kingdom,overview,2021-08-10,889
K02000001,United Kingdom,overview,2021-08-09,755
K02000001,United Kingdom,overview,2021-08-08,738
K02000001,United Kingdom,overview,2021-08-07,722
K02000001,United Kingdom,overview,2021-08-06,770
K02000001,United Kingdom,overview,2021-08-05,801
K02000001,United Kingdom,overview,2021-08-04,832
K02000001,United Kingdom,overview,2021-08-03,757
K02000001,United Kingdom,overview,2021-08-02,784
K02000001,United Kingdom,overview,2021-08-01,739
K02000001,United Kingdom,overview,2021-07-31,672
K02000001,United Kingdom,overview,2021-07-30,740
K02000001,United Kingdom,overview,2021-07-29,833
K02000001,United Kingdom,overview,2021-07-28,848
K02000001,United Kingdom,overview,2021-07-27,914
K02000001,United Kingdom,overview,2021-07-26,933
K02000001,United Kingdom,overview,2021-07-25,933
K02000001,United Kingdom,overview,2021-07-24,825
K02000001,United Kingdom,overview,2021-07-23,859
K02000001,United Kingdom,overview,2021-07-22,954
K02000001,United Kingdom,overview,2021-07-21,927
K02000001,United Kingdom,overview,2021-07-20,934
K02000001,United Kingdom,overview,2021-07-19,872
K02000001,United Kingdom,overview,2021-07-18,795
K02000001,United Kingdom,overview,2021-07-17,708
K02000001,United Kingdom,overview,2021-07-16,697
K02000001,United Kingdom,overview,2021-07-15,772
K02000001,United Kingdom,overview,2021-07-14,751
K02000001,United Kingdom,overview,2021-07-13,749
K02000001,United Kingdom,overview,2021-07-12,728
K02000001,United Kingdom,overview,2021-07-11,591
K02000001,United Kingdom,overview,2021-07-10,550
K02000001,United Kingdom,overview,2021-07-09,555
K02000001,United Kingdom,overview,2021-07-08,603
K02000001,United Kingdom,overview,2021-07-07,568
K02000001,United Kingdom,overview,2021-07-06,572
K02000001,United Kingdom,overview,2021-07-05,517
K02000001,United Kingdom,overview,2021-07-04,462
K02000001,United Kingdom,overview,2021-07-03,390
K02000001,United Kingdom,overview,2021-07-02,389
K02000001,United Kingdom,overview,2021-07-01,369
K02000001,United Kingdom,overview,2021-06-30,414
K02000001,United Kingdom,overview,2021-06-29,366
K02000001,United Kingdom,overview,2021-06-28,309
K02000001,United Kingdom,overview,2021-06-27,265
K02000001,United Kingdom,overview,2021-06-26,266
K02000001,United Kingdom,overview,2021-06-25,251
K02000001,United Kingdom,overview,2021-06-24,253
K02000001,United Kingdom,overview,2021-06-23,275
K02000001,United Kingdom,overview,2021-06-22,237
K02000001,United Kingdom,overview,2021-06-21,228
K02000001,United Kingdom,overview,2021-06-20,206
K02000001,United Kingdom,overview,2021-06-19,211
K02000001,United Kingdom,overview,2021-06-18,236
K02000001,United Kingdom,overview,2021-06-17,241
K02000001,United Kingdom,overview,2021-06-16,228
K02000001,United Kingdom,overview,2021-06-15,229
K02000001,United Kingdom,overview,2021-06-14,228
K02000001,United Kingdom,overview,2021-06-13,223
K02000001,United Kingdom,overview,2021-06-12,177
K02000001,United Kingdom,overview,2021-06-11,178
K02000001,United Kingdom,overview,2021-06-10,200
K02000001,United Kingdom,overview,2021-06-09,189
K02000001,United Kingdom,overview,2021-06-08,188
K02000001,United Kingdom,overview,2021-06-07,174
K02000001,United Kingdom,overview,2021-06-06,153
K02000001,United Kingdom,overview,2021-06-05,125
K02000001,United Kingdom,overview,2021-06-04,123
K02000001,United Kingdom,overview,2021-06-03,126
K02000001,United Kingdom,overview,2021-06-02,128
K02000001,United Kingdom,overview,2021-06-01,154
K02000001,United Kingdom,overview,2021-05-31,123
K02000001,United Kingdom,overview,2021-05-30,111
K02000001,United Kingdom,overview,2021-05-29,104
K02000001,United Kingdom,overview,2021-05-28,138
K02000001,United Kingdom,overview,2021-05-27,123
K02000001,United Kingdom,overview,2021-05-26,130
K02000001,United Kingdom,overview,2021-05-25,132
K02000001,United Kingdom,overview,2021-05-24,139
K02000001,United Kingdom,overview,2021-05-23,114
K02000001,United Kingdom,overview,2021-05-22,120
K02000001,United Kingdom,overview,2021-05-21,124
K02000001,United Kingdom,overview,2021-05-20,131
K02000001,United Kingdom,overview,2021-05-19,126
K02000001,United Kingdom,overview,2021-05-18,127
