areaCode,areaName,areaType,date,newAntibodyTestsByPublishDate
K02000001,United Kingdom,overview,2021-08-19,2539
K02000001,United Kingdom,overview,2021-08-18,2685
K02000001,United Kingdom,overview,2021-08-17,2061
K02000001,United Kingdom,overview,2021-08-16,1483
K02000001,United Kingdom,overview,2021-08-15,30
K02000001,United Kingdom,overview,2021-08-14,381
K02000001,United Kingdom,overview,2021-08-13,1948
K02000001,United Kingdom,overview,2021-08-12,1908
K02000001,United Kingdom,overview,2021-08-11,3204
K02000001,United Kingdom,overview,2021-08-10,2550
K02000001,United Kingdom,overview,2021-08-09,2247
K02000001,United Kingdom,overview,2021-08-08,63
K02000001,United Kingdom,overview,2021-08-07,551
K02000001,United Kingdom,overview,2021-08-06,3251
K02000001,United Kingdom,overview,2021-08-05,3366
K02000001,United Kingdom,overview,2021-08-04,4569
K02000001,United Kingdom,overview,2021-08-03,2167
K02000001,United Kingdom,overview,2021-08-02,3338
K02000001,United Kingdom,overview,2021-08-01,429
K02000001,United Kingdom,overview,2021-07-31,844
K02000001,United Kingdom,overview,2021-07-30,1442
K02000001,United Kingdom,overview,2021-07-29,2514
K02000001,United Kingdom,overview,2021-07-28,2440
K02000001,United Kingdom,overview,2021-07-27,2890
K02000001,United Kingdom,overview,2021-07-26,1667
K02000001,United Kingdom,overview,2021-07-25,53
K02000001,United Kingdom,overview,2021-07-24,619
K02000001,United Kingdom,overview,2021-07-23,2330
K02000001,United Kingdom,overview,2021-07-22,2873
K02000001,United Kingdom,overview,2021-07-21,3431
K02000001,United Kingdom,overview,2021-07-20,2625
K02000001,United Kingdom,overview,2021-07-19,2443
K02000001,United Kingdom,overview,2021-07-18,85
K02000001,United Kingdom,overview,2021-07-17,401
K02000001,United Kingdom,overview,2021-07-16,3443
K02000001,United Kingdom,overview,2021-07-15,3356
K02000001,United Kingdom,overview,2021-07-14,3178
K02000001,United Kingdom,overview,2021-07-13,3200
K02000001,United Kingdom,overview,2021-07-12,1798
K02000001,United Kingdom,overview,2021-07-11,162
K02000001,United Kingdom,overview,2021-07-10,651
K02000001,United Kingdom,overview,2021-07-09,3017
K02000001,United Kingdom,overview,2021-07-08,3694
K02000001,United Kingdom,overview,2021-07-07,2530
K02000001,United Kingdom,overview,2021-07-06,2688
K02000001,United Kingdom,overview,2021-07-05,1854
K02000001,United Kingdom,overview,2021-07-04,23
K02000001,United Kingdom,overview,2021-07-03,231
K02000001,United Kingdom,overview,2021-07-02,2341
K02000001,United Kingdom,overview,2021-07-01,1462
K02000001,United Kingdom,overview,2021-06-30,2881
K02000001,United Kingdom,overview,2021-06-29,2201
K02000001,United Kingdom,overview,2021-06-28,1348
K02000001,United Kingdom,overview,2021-06-27,40
K02000001,United Kingdom,overview,2021-06-26,322
K02000001,United Kingdom,overview,2021-06-25,2845
K02000001,United Kingdom,overview,2021-06-24,1666
K02000001,United Kingdom,overview,2021-06-23,2977
K02000001,United Kingdom,overview,2021-06-22,2129
K02000001,United Kingdom,overview,2021-06-21,1316
K02000001,United Kingdom,overview,2021-06-20,258
K02000001,United Kingdom,overview,2021-06-19,277
K02000001,United Kingdom,overview,2021-06-18,3382
K02000001,United Kingdom,overview,2021-06-17,3476
K02000001,United Kingdom,overview,2021-06-16,3995
K02000001,United Kingdom,overview,2021-06-15,2414
K02000001,United Kingdom,overview,2021-06-14,1289
K02000001,United Kingdom,overview,2021-06-13,435
K02000001,United Kingdom,overview,2021-06-12,273
K02000001,United Kingdom,overview,2021-06-11,2688
K02000001,United Kingdom,overview,2021-06-10,3426
K02000001,United Kingdom,overview,2021-06-09,2716
K02000001,United Kingdom,overview,2021-06-08,3959
K02000001,United Kingdom,overview,2021-06-07,2340
K02000001,United Kingdom,overview,2021-06-06,357
K02000001,United Kingdom,overview,2021-06-05,595
K02000001,United Kingdom,overview,2021-06-04,3382
K02000001,United Kingdom,overview,2021-06-03,4206
K02000001,United Kingdom,overview,2021-06-02,3713
K02000001,United Kingdom,overview,2021-06-01,2596
K02000001,United Kingdom,overview,2021-05-31,217
K02000001,United Kingdom,overview,2021-05-30,369
K02000001,United Kingdom,overview,2021-05-29,524
K02000001,United Kingdom,overview,2021-05-28,3421
K02000001,United Kingdom,overview,2021-05-27,4309
K02000001,United Kingdom,overview,2021-05-26,6346
K02000001,United Kingdom,overview,2021-05-25,6026
K02000001,United Kingdom,overview,2021-05-24,11628
K02000001,United Kingdom,overview,2021-05-23,5044
K02000001,United Kingdom,overview,2021-05-22,4580
K02000001,United Kingdom,overview,2021-05-21,9043
K02000001,United Kingdom,overview,2021-05-20,14429
K02000001,United Kingdom,overview,2021-05-19,13582
K02000001,United Kingdom,overview,2021-05-18,19663
K02000001,United Kingdom,overview,2021-05-17,26700
K02000001,United Kingdom,overview,2021-05-16,24545
K02000001,United Kingdom,overview,2021-05-15,27372
K02000001,United Kingdom,overview,2021-05-14,34212
K02000001,United Kingdom,overview,2021-05-13,40648
K02000001,United Kingdom,overview,2021-05-12,24528
K02000001,United Kingdom,overview,2021-05-11,2814
K02000001,United Kingdom,overview,2021-05-10,1800
K02000001,United Kingdom,overview,2021-05-09,358
K02000001,United Kingdom,overview,2021-05-08,1159
K02000001,United Kingdom,overview,2021-05-07,2686
K02000001,United Kingdom,overview,2021-05-06,3693
K02000001,United Kingdom,overview,2021-05-05,3802
K02000001,United Kingdom,overview,2021-05-04,1494
K02000001,United Kingdom,overview,2021-05-03,296
K02000001,United Kingdom,overview,2021-05-02,545
K02000001,United Kingdom,overview,2021-05-01,590
K02000001,United Kingdom,overview,2021-04-30,2182
K02000001,United Kingdom,overview,2021-04-29,3543
K02000001,United Kingdom,overview,2021-04-28,3403
K02000001,United Kingdom,overview,2021-04-27,2821
K02000001,United Kingdom,overview,2021-04-26,3049
K02000001,United Kingdom,overview,2021-04-25,499
K02000001,United Kingdom,overview,2021-04-24,984
K02000001,United Kingdom,overview,2021-04-23,3146
K02000001,United Kingdom,overview,2021-04-22,4224
K02000001,United Kingdom,overview,2021-04-21,4016
K02000001,United Kingdom,overview,2021-04-20,3469
K02000001,United Kingdom,overview,2021-04-19,3454
K02000001,United Kingdom,overview,2021-04-18,3297
K02000001,United Kingdom,overview,2021-04-17,927
K02000001,United Kingdom,overview,2021-04-16,2302
K02000001,United Kingdom,overview,2021-04-15,4496
K02000001,United Kingdom,overview,2021-04-14,5352
K02000001,United Kingdom,overview,2021-04-13,3753
K02000001,United Kingdom,overview,2021-04-12,3392
K02000001,United Kingdom,overview,2021-04-11,515
K02000001,United Kingdom,overview,2021-04-10,915
K02000001,United Kingdom,overview,2021-04-09,4990
K02000001,United Kingdom,overview,2021-04-08,5233
K02000001,United Kingdom,overview,2021-04-07,5104
K02000001,United Kingdom,overview,2021-04-06,2307
K02000001,United Kingdom,overview,2021-04-05,440
K02000001,United Kingdom,overview,2021-04-04,378
K02000001,United Kingdom,overview,2021-04-03,535
K02000001,United Kingdom,overview,2021-04-02,1215
K02000001,United Kingdom,overview,2021-04-01,4931
K02000001,United Kingdom,overview,2021-03-31,3675
K02000001,United Kingdom,overview,2021-03-30,4242
K02000001,United Kingdom,overview,2021-03-29,1419
K02000001,United Kingdom,overview,2021-03-28,2206
K02000001,United Kingdom,overview,2021-03-27,1832
K02000001,United Kingdom,overview,2021-03-26,2765
K02000001,United Kingdom,overview,2021-03-25,3889
K02000001,United Kingdom,overview,2021-03-24,4395
K02000001,United Kingdom,overview,2021-03-23,5084
K02000001,United Kingdom,overview,2021-03-22,5869
K02000001,United Kingdom,overview,2021-03-21,1524
K02000001,United Kingdom,overview,2021-03-20,2042
K02000001,United Kingdom,overview,2021-03-19,5950
K02000001,United Kingdom,overview,2021-03-18,4082
K02000001,United Kingdom,overview,2021-03-17,4953
K02000001,United Kingdom,overview,2021-03-16,3218
K02000001,United Kingdom,overview,2021-03-15,2389
K02000001,United Kingdom,overview,2021-03-14,265
K02000001,United Kingdom,overview,2021-03-13,711
K02000001,United Kingdom,overview,2021-03-12,5202
K02000001,United Kingdom,overview,2021-03-11,4214
K02000001,United Kingdom,overview,2021-03-10,5447
K02000001,United Kingdom,overview,2021-03-09,2545
K02000001,United Kingdom,overview,2021-03-08,2116
K02000001,United Kingdom,overview,2021-03-07,646
K02000001,United Kingdom,overview,2021-03-06,665
K02000001,United Kingdom,overview,2021-03-05,2806
K02000001,United Kingdom,overview,2021-03-04,2674
K02000001,United Kingdom,overview,2021-03-03,2394
K02000001,United Kingdom,overview,2021-03-02,2293
K02000001,United Kingdom,overview,2021-03-01,1666
K02000001,United Kingdom,overview,2021-02-28,485
K02000001,United Kingdom,overview,2021-02-27,1043
K02000001,United Kingdom,overview,2021-02-26,2995
K02000001,United Kingdom,overview,2021-02-25,3996
K02000001,United Kingdom,overview,2021-02-24,2540
K02000001,United Kingdom,overview,2021-02-23,2616
K02000001,United Kingdom,overview,2021-02-22,2263
K02000001,United Kingdom,overview,2021-02-21,537
K02000001,United Kingdom,overview,2021-02-20,956
K02000001,United Kingdom,overview,2021-02-19,3257
K02000001,United Kingdom,overview,2021-02-18,4724
K02000001,United Kingdom,overview,2021-02-17,3366
K02000001,United Kingdom,overview,2021-02-16,3546
K02000001,United Kingdom,overview,2021-02-15,2500
K02000001,United Kingdom,overview,2021-02-14,439
K02000001,United Kingdom,overview,2021-02-13,3015
K02000001,United Kingdom,overview,2021-02-12,4762
K02000001,United Kingdom,overview,2021-02-11,2861
K02000001,United Kingdom,overview,2021-02-10,3349
K02000001,United Kingdom,overview,2021-02-09,2545
K02000001,United Kingdom,overview,2021-02-08,4416
K02000001,United Kingdom,overview,2021-02-07,2340
K02000001,United Kingdom,overview,2021-02-06,2437
K02000001,United Kingdom,overview,2021-02-05,4848
K02000001,United Kingdom,overview,2021-02-04,7986
K02000001,United Kingdom,overview,2021-02-03,6886
K02000001,United Kingdom,overview,2021-02-02,8938
K02000001,United Kingdom,overview,2021-02-01,12449
K02000001,United Kingdom,overview,2021-01-31,8281
K02000001,United Kingdom,overview,2021-01-30,11602
K02000001,United Kingdom,overview,2021-01-29,16432
K02000001,United Kingdom,overview,2021-01-28,26428
K02000001,United Kingdom,overview,2021-01-27,46746
K02000001,United Kingdom,overview,2021-01-26,49300
K02000001,United Kingdom,overview,2021-01-25,3841
K02000001,United Kingdom,overview,2021-01-24,571
K02000001,United Kingdom,overview,2021-01-23,1940
K02000001,United Kingdom,overview,2021-01-22,2485
K02000001,United Kingdom,overview,2021-01-21,3659
K02000001,United Kingdom,overview,2021-01-20,4194
K02000001,United Kingdom,overview,2021-01-19,3744
K02000001,United Kingdom,overview,2021-01-18,3250
K02000001,United Kingdom,overview,2021-01-17,636
K02000001,United Kingdom,overview,2021-01-16,1437
K02000001,United Kingdom,overview,2021-01-15,4126
K02000001,United Kingdom,overview,2021-01-14,4231
K02000001,United Kingdom,overview,2021-01-13,3911
K02000001,United Kingdom,overview,2021-01-12,3384
K02000001,United Kingdom,overview,2021-01-11,1922
K02000001,United Kingdom,overview,2021-01-10,575
K02000001,United Kingdom,overview,2021-01-09,946
K02000001,United Kingdom,overview,2021-01-08,2578
K02000001,United Kingdom,overview,2021-01-07,3846
K02000001,United Kingdom,overview,2021-01-06,3776
K02000001,United Kingdom,overview,2021-01-05,2700
K02000001,United Kingdom,overview,2021-01-04,1989
K02000001,United Kingdom,overview,2021-01-03,718
K02000001,United Kingdom,overview,2021-01-02,550
K02000001,United Kingdom,overview,2021-01-01,596
K02000001,United Kingdom,overview,2020-12-31,3064
K02000001,United Kingdom,overview,2020-12-30,3090
K02000001,United Kingdom,overview,2020-12-29,2670
K02000001,United Kingdom,overview,2020-12-28,642
K02000001,United Kingdom,overview,2020-12-27,588
K02000001,United Kingdom,overview,2020-12-26,735
K02000001,United Kingdom,overview,2020-12-25,588
K02000001,United Kingdom,overview,2020-12-24,3150
K02000001,United Kingdom,overview,2020-12-23,3351
K02000001,United Kingdom,overview,2020-12-22,2349
K02000001,United Kingdom,overview,2020-12-21,2457
K02000001,United Kingdom,overview,2020-12-20,480
K02000001,United Kingdom,overview,2020-12-19,1662
K02000001,United Kingdom,overview,2020-12-18,4022
K02000001,United Kingdom,overview,2020-12-17,3094
K02000001,United Kingdom,overview,2020-12-16,4154
K02000001,United Kingdom,overview,2020-12-15,2679
K02000001,United Kingdom,overview,2020-12-14,2172
K02000001,United Kingdom,overview,2020-12-13,365
K02000001,United Kingdom,overview,2020-12-12,966
K02000001,United Kingdom,overview,2020-12-11,3979
K02000001,United Kingdom,overview,2020-12-10,3590
K02000001,United Kingdom,overview,2020-12-09,2860
K02000001,United Kingdom,overview,2020-12-08,2254
K02000001,United Kingdom,overview,2020-12-07,2074
K02000001,United Kingdom,overview,2020-12-06,335
K02000001,United Kingdom,overview,2020-12-05,1417
K02000001,United Kingdom,overview,2020-12-04,4228
K02000001,United Kingdom,overview,2020-12-03,3740
K02000001,United Kingdom,overview,2020-12-02,3528
K02000001,United Kingdom,overview,2020-12-01,2918
K02000001,United Kingdom,overview,2020-11-30,1674
K02000001,United Kingdom,overview,2020-11-29,478
K02000001,United Kingdom,overview,2020-11-28,729
K02000001,United Kingdom,overview,2020-11-27,3564
K02000001,United Kingdom,overview,2020-11-26,4424
K02000001,United Kingdom,overview,2020-11-25,3571
K02000001,United Kingdom,overview,2020-11-24,3037
K02000001,United Kingdom,overview,2020-11-23,2387
K02000001,United Kingdom,overview,2020-11-22,417
K02000001,United Kingdom,overview,2020-11-21,903
K02000001,United Kingdom,overview,2020-11-20,4214
K02000001,United Kingdom,overview,2020-11-19,4493
K02000001,United Kingdom,overview,2020-11-18,3136
K02000001,United Kingdom,overview,2020-11-17,3188
K02000001,United Kingdom,overview,2020-11-16,2440
K02000001,United Kingdom,overview,2020-11-15,796
K02000001,United Kingdom,overview,2020-11-14,895
K02000001,United Kingdom,overview,2020-11-13,3806
K02000001,United Kingdom,overview,2020-11-12,4044
K02000001,United Kingdom,overview,2020-11-11,4035
K02000001,United Kingdom,overview,2020-11-10,5298
K02000001,United Kingdom,overview,2020-11-09,7046
K02000001,United Kingdom,overview,2020-11-08,2967
