areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-08-19,7998
K02000001,United Kingdom,overview,2021-08-18,32137
K02000001,United Kingdom,overview,2021-08-17,35706
K02000001,United Kingdom,overview,2021-08-16,35908
K02000001,United Kingdom,overview,2021-08-15,24814
K02000001,United Kingdom,overview,2021-08-14,24535
K02000001,United Kingdom,overview,2021-08-13,28355
K02000001,United Kingdom,overview,2021-08-12,31007
K02000001,United Kingdom,overview,2021-08-11,32633
K02000001,United Kingdom,overview,2021-08-10,30819
K02000001,United Kingdom,overview,2021-08-09,31451
K02000001,United Kingdom,overview,2021-08-08,22336
K02000001,United Kingdom,overview,2021-08-07,22077
K02000001,United Kingdom,overview,2021-08-06,27493
K02000001,United Kingdom,overview,2021-08-05,31006
K02000001,United Kingdom,overview,2021-08-04,31630
K02000001,United Kingdom,overview,2021-08-03,29752
K02000001,United Kingdom,overview,2021-08-02,29190
K02000001,United Kingdom,overview,2021-08-01,20462
K02000001,United Kingdom,overview,2021-07-31,20123
K02000001,United Kingdom,overview,2021-07-30,24238
K02000001,United Kingdom,overview,2021-07-29,27824
K02000001,United Kingdom,overview,2021-07-28,29554
K02000001,United Kingdom,overview,2021-07-27,28960
K02000001,United Kingdom,overview,2021-07-26,29285
K02000001,United Kingdom,overview,2021-07-25,21730
K02000001,United Kingdom,overview,2021-07-24,22430
K02000001,United Kingdom,overview,2021-07-23,27210
K02000001,United Kingdom,overview,2021-07-22,30632
K02000001,United Kingdom,overview,2021-07-21,34865
K02000001,United Kingdom,overview,2021-07-20,39029
K02000001,United Kingdom,overview,2021-07-19,46832
K02000001,United Kingdom,overview,2021-07-18,35460
K02000001,United Kingdom,overview,2021-07-17,37813
K02000001,United Kingdom,overview,2021-07-16,54182
K02000001,United Kingdom,overview,2021-07-15,60682
K02000001,United Kingdom,overview,2021-07-14,53763
K02000001,United Kingdom,overview,2021-07-13,46699
K02000001,United Kingdom,overview,2021-07-12,43605
K02000001,United Kingdom,overview,2021-07-11,30005
K02000001,United Kingdom,overview,2021-07-10,27845
K02000001,United Kingdom,overview,2021-07-09,32202
K02000001,United Kingdom,overview,2021-07-08,33336
K02000001,United Kingdom,overview,2021-07-07,37802
K02000001,United Kingdom,overview,2021-07-06,35349
K02000001,United Kingdom,overview,2021-07-05,34170
K02000001,United Kingdom,overview,2021-07-04,24666
K02000001,United Kingdom,overview,2021-07-03,23554
K02000001,United Kingdom,overview,2021-07-02,25771
K02000001,United Kingdom,overview,2021-07-01,28104
K02000001,United Kingdom,overview,2021-06-30,28326
K02000001,United Kingdom,overview,2021-06-29,27586
K02000001,United Kingdom,overview,2021-06-28,27745
K02000001,United Kingdom,overview,2021-06-27,18124
K02000001,United Kingdom,overview,2021-06-26,15963
K02000001,United Kingdom,overview,2021-06-25,17767
K02000001,United Kingdom,overview,2021-06-24,18295
K02000001,United Kingdom,overview,2021-06-23,17904
K02000001,United Kingdom,overview,2021-06-22,16997
K02000001,United Kingdom,overview,2021-06-21,15951
K02000001,United Kingdom,overview,2021-06-20,9872
K02000001,United Kingdom,overview,2021-06-19,8253
K02000001,United Kingdom,overview,2021-06-18,10059
K02000001,United Kingdom,overview,2021-06-17,10771
K02000001,United Kingdom,overview,2021-06-16,10775
K02000001,United Kingdom,overview,2021-06-15,10493
K02000001,United Kingdom,overview,2021-06-14,10102
K02000001,United Kingdom,overview,2021-06-13,6955
K02000001,United Kingdom,overview,2021-06-12,6114
K02000001,United Kingdom,overview,2021-06-11,7442
K02000001,United Kingdom,overview,2021-06-10,7838
K02000001,United Kingdom,overview,2021-06-09,7989
K02000001,United Kingdom,overview,2021-06-08,7673
K02000001,United Kingdom,overview,2021-06-07,7739
K02000001,United Kingdom,overview,2021-06-06,5407
K02000001,United Kingdom,overview,2021-06-05,4622
K02000001,United Kingdom,overview,2021-06-04,5706
K02000001,United Kingdom,overview,2021-06-03,6097
K02000001,United Kingdom,overview,2021-06-02,6049
K02000001,United Kingdom,overview,2021-06-01,5235
K02000001,United Kingdom,overview,2021-05-31,3781
K02000001,United Kingdom,overview,2021-05-30,3094
K02000001,United Kingdom,overview,2021-05-29,2932
K02000001,United Kingdom,overview,2021-05-28,3491
K02000001,United Kingdom,overview,2021-05-27,3636
K02000001,United Kingdom,overview,2021-05-26,3799
K02000001,United Kingdom,overview,2021-05-25,3303
K02000001,United Kingdom,overview,2021-05-24,3236
K02000001,United Kingdom,overview,2021-05-23,2241
K02000001,United Kingdom,overview,2021-05-22,1925
K02000001,United Kingdom,overview,2021-05-21,2292
K02000001,United Kingdom,overview,2021-05-20,2424
K02000001,United Kingdom,overview,2021-05-19,2711
K02000001,United Kingdom,overview,2021-05-18,2708
K02000001,United Kingdom,overview,2021-05-17,2764
K02000001,United Kingdom,overview,2021-05-16,1854
K02000001,United Kingdom,overview,2021-05-15,1581
K02000001,United Kingdom,overview,2021-05-14,1850
K02000001,United Kingdom,overview,2021-05-13,2092
K02000001,United Kingdom,overview,2021-05-12,2230
K02000001,United Kingdom,overview,2021-05-11,2197
K02000001,United Kingdom,overview,2021-05-10,2651
K02000001,United Kingdom,overview,2021-05-09,2169
K02000001,United Kingdom,overview,2021-05-08,1512
K02000001,United Kingdom,overview,2021-05-07,1880
K02000001,United Kingdom,overview,2021-05-06,2162
K02000001,United Kingdom,overview,2021-05-05,2394
K02000001,United Kingdom,overview,2021-05-04,2398
K02000001,United Kingdom,overview,2021-05-03,1974
K02000001,United Kingdom,overview,2021-05-02,1425
K02000001,United Kingdom,overview,2021-05-01,1354
K02000001,United Kingdom,overview,2021-04-30,1703
K02000001,United Kingdom,overview,2021-04-29,2085
K02000001,United Kingdom,overview,2021-04-28,2361
K02000001,United Kingdom,overview,2021-04-27,2058
K02000001,United Kingdom,overview,2021-04-26,2442
K02000001,United Kingdom,overview,2021-04-25,1992
K02000001,United Kingdom,overview,2021-04-24,1466
K02000001,United Kingdom,overview,2021-04-23,1888
K02000001,United Kingdom,overview,2021-04-22,2250
K02000001,United Kingdom,overview,2021-04-21,2540
K02000001,United Kingdom,overview,2021-04-20,2365
K02000001,United Kingdom,overview,2021-04-19,2600
K02000001,United Kingdom,overview,2021-04-18,2440
K02000001,United Kingdom,overview,2021-04-17,1636
K02000001,United Kingdom,overview,2021-04-16,2352
K02000001,United Kingdom,overview,2021-04-15,2187
K02000001,United Kingdom,overview,2021-04-14,2396
K02000001,United Kingdom,overview,2021-04-13,2333
K02000001,United Kingdom,overview,2021-04-12,2714
K02000001,United Kingdom,overview,2021-04-11,2256
K02000001,United Kingdom,overview,2021-04-10,2259
K02000001,United Kingdom,overview,2021-04-09,2783
K02000001,United Kingdom,overview,2021-04-08,2982
K02000001,United Kingdom,overview,2021-04-07,3080
K02000001,United Kingdom,overview,2021-04-06,3115
K02000001,United Kingdom,overview,2021-04-05,2615
K02000001,United Kingdom,overview,2021-04-04,2294
K02000001,United Kingdom,overview,2021-04-03,2406
K02000001,United Kingdom,overview,2021-04-02,2625
K02000001,United Kingdom,overview,2021-04-01,3470
K02000001,United Kingdom,overview,2021-03-31,3765
K02000001,United Kingdom,overview,2021-03-30,3594
K02000001,United Kingdom,overview,2021-03-29,3973
K02000001,United Kingdom,overview,2021-03-28,4652
K02000001,United Kingdom,overview,2021-03-27,3532
K02000001,United Kingdom,overview,2021-03-26,4386
K02000001,United Kingdom,overview,2021-03-25,5398
K02000001,United Kingdom,overview,2021-03-24,6006
K02000001,United Kingdom,overview,2021-03-23,5250
K02000001,United Kingdom,overview,2021-03-22,6199
K02000001,United Kingdom,overview,2021-03-21,5231
K02000001,United Kingdom,overview,2021-03-20,4100
K02000001,United Kingdom,overview,2021-03-19,4994
K02000001,United Kingdom,overview,2021-03-18,5470
K02000001,United Kingdom,overview,2021-03-17,5772
K02000001,United Kingdom,overview,2021-03-16,5672
K02000001,United Kingdom,overview,2021-03-15,6501
K02000001,United Kingdom,overview,2021-03-14,4298
K02000001,United Kingdom,overview,2021-03-13,4241
K02000001,United Kingdom,overview,2021-03-12,5584
K02000001,United Kingdom,overview,2021-03-11,5768
K02000001,United Kingdom,overview,2021-03-10,6035
K02000001,United Kingdom,overview,2021-03-09,6220
K02000001,United Kingdom,overview,2021-03-08,6640
K02000001,United Kingdom,overview,2021-03-07,4284
K02000001,United Kingdom,overview,2021-03-06,4497
K02000001,United Kingdom,overview,2021-03-05,5298
K02000001,United Kingdom,overview,2021-03-04,5719
K02000001,United Kingdom,overview,2021-03-03,5968
K02000001,United Kingdom,overview,2021-03-02,6651
K02000001,United Kingdom,overview,2021-03-01,6874
K02000001,United Kingdom,overview,2021-02-28,4710
K02000001,United Kingdom,overview,2021-02-27,4815
K02000001,United Kingdom,overview,2021-02-26,6561
K02000001,United Kingdom,overview,2021-02-25,7710
K02000001,United Kingdom,overview,2021-02-24,8534
K02000001,United Kingdom,overview,2021-02-23,9379
K02000001,United Kingdom,overview,2021-02-22,11240
K02000001,United Kingdom,overview,2021-02-21,7867
K02000001,United Kingdom,overview,2021-02-20,8051
K02000001,United Kingdom,overview,2021-02-19,10380
K02000001,United Kingdom,overview,2021-02-18,11406
K02000001,United Kingdom,overview,2021-02-17,11554
K02000001,United Kingdom,overview,2021-02-16,12482
K02000001,United Kingdom,overview,2021-02-15,14265
K02000001,United Kingdom,overview,2021-02-14,8753
K02000001,United Kingdom,overview,2021-02-13,8753
K02000001,United Kingdom,overview,2021-02-12,12150
K02000001,United Kingdom,overview,2021-02-11,12737
K02000001,United Kingdom,overview,2021-02-10,13477
K02000001,United Kingdom,overview,2021-02-09,13793
K02000001,United Kingdom,overview,2021-02-08,15696
K02000001,United Kingdom,overview,2021-02-07,11374
K02000001,United Kingdom,overview,2021-02-06,11952
K02000001,United Kingdom,overview,2021-02-05,15834
K02000001,United Kingdom,overview,2021-02-04,17951
K02000001,United Kingdom,overview,2021-02-03,19393
K02000001,United Kingdom,overview,2021-02-02,19751
K02000001,United Kingdom,overview,2021-02-01,22334
K02000001,United Kingdom,overview,2021-01-31,15367
K02000001,United Kingdom,overview,2021-01-30,16663
K02000001,United Kingdom,overview,2021-01-29,21761
K02000001,United Kingdom,overview,2021-01-28,24130
K02000001,United Kingdom,overview,2021-01-27,25666
K02000001,United Kingdom,overview,2021-01-26,26968
K02000001,United Kingdom,overview,2021-01-25,29897
K02000001,United Kingdom,overview,2021-01-24,17154
K02000001,United Kingdom,overview,2021-01-23,21823
K02000001,United Kingdom,overview,2021-01-22,29517
K02000001,United Kingdom,overview,2021-01-21,31651
K02000001,United Kingdom,overview,2021-01-20,35068
K02000001,United Kingdom,overview,2021-01-19,39458
K02000001,United Kingdom,overview,2021-01-18,44759
K02000001,United Kingdom,overview,2021-01-17,28840
K02000001,United Kingdom,overview,2021-01-16,30526
K02000001,United Kingdom,overview,2021-01-15,40379
K02000001,United Kingdom,overview,2021-01-14,42355
K02000001,United Kingdom,overview,2021-01-13,45384
K02000001,United Kingdom,overview,2021-01-12,49368
K02000001,United Kingdom,overview,2021-01-11,57083
K02000001,United Kingdom,overview,2021-01-10,36330
K02000001,United Kingdom,overview,2021-01-09,39080
K02000001,United Kingdom,overview,2021-01-08,46975
K02000001,United Kingdom,overview,2021-01-07,51946
K02000001,United Kingdom,overview,2021-01-06,57373
K02000001,United Kingdom,overview,2021-01-05,65081
K02000001,United Kingdom,overview,2021-01-04,76142
K02000001,United Kingdom,overview,2021-01-03,55165
