areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2021-08-06,34
K02000001,United Kingdom,overview,2021-08-05,69
K02000001,United Kingdom,overview,2021-08-04,67
K02000001,United Kingdom,overview,2021-08-03,68
K02000001,United Kingdom,overview,2021-08-02,74
K02000001,United Kingdom,overview,2021-08-01,87
K02000001,United Kingdom,overview,2021-07-31,77
K02000001,United Kingdom,overview,2021-07-30,89
K02000001,United Kingdom,overview,2021-07-29,81
K02000001,United Kingdom,overview,2021-07-28,73
K02000001,United Kingdom,overview,2021-07-27,72
K02000001,United Kingdom,overview,2021-07-26,74
K02000001,United Kingdom,overview,2021-07-25,64
K02000001,United Kingdom,overview,2021-07-24,64
K02000001,United Kingdom,overview,2021-07-23,74
K02000001,United Kingdom,overview,2021-07-22,81
K02000001,United Kingdom,overview,2021-07-21,57
K02000001,United Kingdom,overview,2021-07-20,63
K02000001,United Kingdom,overview,2021-07-19,82
K02000001,United Kingdom,overview,2021-07-18,69
K02000001,United Kingdom,overview,2021-07-17,57
K02000001,United Kingdom,overview,2021-07-16,52
K02000001,United Kingdom,overview,2021-07-15,50
K02000001,United Kingdom,overview,2021-07-14,43
K02000001,United Kingdom,overview,2021-07-13,48
K02000001,United Kingdom,overview,2021-07-12,39
K02000001,United Kingdom,overview,2021-07-11,35
K02000001,United Kingdom,overview,2021-07-10,43
K02000001,United Kingdom,overview,2021-07-09,47
K02000001,United Kingdom,overview,2021-07-08,40
K02000001,United Kingdom,overview,2021-07-07,35
K02000001,United Kingdom,overview,2021-07-06,33
K02000001,United Kingdom,overview,2021-07-05,28
K02000001,United Kingdom,overview,2021-07-04,29
K02000001,United Kingdom,overview,2021-07-03,28
K02000001,United Kingdom,overview,2021-07-02,30
K02000001,United Kingdom,overview,2021-07-01,27
K02000001,United Kingdom,overview,2021-06-30,26
K02000001,United Kingdom,overview,2021-06-29,24
K02000001,United Kingdom,overview,2021-06-28,18
K02000001,United Kingdom,overview,2021-06-27,23
K02000001,United Kingdom,overview,2021-06-26,17
K02000001,United Kingdom,overview,2021-06-25,21
K02000001,United Kingdom,overview,2021-06-24,28
K02000001,United Kingdom,overview,2021-06-23,7
K02000001,United Kingdom,overview,2021-06-22,16
K02000001,United Kingdom,overview,2021-06-21,12
K02000001,United Kingdom,overview,2021-06-20,20
K02000001,United Kingdom,overview,2021-06-19,19
K02000001,United Kingdom,overview,2021-06-18,17
K02000001,United Kingdom,overview,2021-06-17,9
K02000001,United Kingdom,overview,2021-06-16,13
K02000001,United Kingdom,overview,2021-06-15,20
K02000001,United Kingdom,overview,2021-06-14,12
K02000001,United Kingdom,overview,2021-06-13,12
K02000001,United Kingdom,overview,2021-06-12,11
K02000001,United Kingdom,overview,2021-06-11,13
K02000001,United Kingdom,overview,2021-06-10,15
K02000001,United Kingdom,overview,2021-06-09,16
K02000001,United Kingdom,overview,2021-06-08,15
K02000001,United Kingdom,overview,2021-06-07,6
K02000001,United Kingdom,overview,2021-06-06,13
K02000001,United Kingdom,overview,2021-06-05,6
K02000001,United Kingdom,overview,2021-06-04,12
K02000001,United Kingdom,overview,2021-06-03,16
K02000001,United Kingdom,overview,2021-06-02,12
K02000001,United Kingdom,overview,2021-06-01,10
K02000001,United Kingdom,overview,2021-05-31,11
K02000001,United Kingdom,overview,2021-05-30,8
K02000001,United Kingdom,overview,2021-05-29,12
K02000001,United Kingdom,overview,2021-05-28,13
K02000001,United Kingdom,overview,2021-05-27,8
K02000001,United Kingdom,overview,2021-05-26,14
K02000001,United Kingdom,overview,2021-05-25,9
K02000001,United Kingdom,overview,2021-05-24,16
K02000001,United Kingdom,overview,2021-05-23,15
K02000001,United Kingdom,overview,2021-05-22,4
K02000001,United Kingdom,overview,2021-05-21,18
K02000001,United Kingdom,overview,2021-05-20,6
K02000001,United Kingdom,overview,2021-05-19,4
K02000001,United Kingdom,overview,2021-05-18,10
K02000001,United Kingdom,overview,2021-05-17,13
K02000001,United Kingdom,overview,2021-05-16,14
K02000001,United Kingdom,overview,2021-05-15,14
K02000001,United Kingdom,overview,2021-05-14,14
K02000001,United Kingdom,overview,2021-05-13,15
K02000001,United Kingdom,overview,2021-05-12,15
K02000001,United Kingdom,overview,2021-05-11,20
K02000001,United Kingdom,overview,2021-05-10,8
K02000001,United Kingdom,overview,2021-05-09,11
K02000001,United Kingdom,overview,2021-05-08,20
K02000001,United Kingdom,overview,2021-05-07,17
K02000001,United Kingdom,overview,2021-05-06,17
K02000001,United Kingdom,overview,2021-05-05,22
K02000001,United Kingdom,overview,2021-05-04,15
K02000001,United Kingdom,overview,2021-05-03,16
K02000001,United Kingdom,overview,2021-05-02,18
K02000001,United Kingdom,overview,2021-05-01,15
K02000001,United Kingdom,overview,2021-04-30,16
K02000001,United Kingdom,overview,2021-04-29,17
K02000001,United Kingdom,overview,2021-04-28,21
K02000001,United Kingdom,overview,2021-04-27,25
K02000001,United Kingdom,overview,2021-04-26,20
K02000001,United Kingdom,overview,2021-04-25,25
K02000001,United Kingdom,overview,2021-04-24,24
K02000001,United Kingdom,overview,2021-04-23,29
K02000001,United Kingdom,overview,2021-04-22,33
K02000001,United Kingdom,overview,2021-04-21,35
K02000001,United Kingdom,overview,2021-04-20,34
K02000001,United Kingdom,overview,2021-04-19,23
K02000001,United Kingdom,overview,2021-04-18,30
K02000001,United Kingdom,overview,2021-04-17,40
K02000001,United Kingdom,overview,2021-04-16,30
K02000001,United Kingdom,overview,2021-04-15,42
K02000001,United Kingdom,overview,2021-04-14,34
K02000001,United Kingdom,overview,2021-04-13,47
K02000001,United Kingdom,overview,2021-04-12,36
K02000001,United Kingdom,overview,2021-04-11,39
K02000001,United Kingdom,overview,2021-04-10,43
K02000001,United Kingdom,overview,2021-04-09,38
K02000001,United Kingdom,overview,2021-04-08,60
K02000001,United Kingdom,overview,2021-04-07,44
K02000001,United Kingdom,overview,2021-04-06,45
K02000001,United Kingdom,overview,2021-04-05,44
K02000001,United Kingdom,overview,2021-04-04,51
K02000001,United Kingdom,overview,2021-04-03,40
K02000001,United Kingdom,overview,2021-04-02,50
K02000001,United Kingdom,overview,2021-04-01,62
K02000001,United Kingdom,overview,2021-03-31,74
K02000001,United Kingdom,overview,2021-03-30,54
K02000001,United Kingdom,overview,2021-03-29,68
K02000001,United Kingdom,overview,2021-03-28,48
K02000001,United Kingdom,overview,2021-03-27,62
K02000001,United Kingdom,overview,2021-03-26,72
K02000001,United Kingdom,overview,2021-03-25,77
K02000001,United Kingdom,overview,2021-03-24,69
K02000001,United Kingdom,overview,2021-03-23,93
K02000001,United Kingdom,overview,2021-03-22,105
K02000001,United Kingdom,overview,2021-03-21,123
K02000001,United Kingdom,overview,2021-03-20,99
K02000001,United Kingdom,overview,2021-03-19,101
K02000001,United Kingdom,overview,2021-03-18,99
K02000001,United Kingdom,overview,2021-03-17,126
K02000001,United Kingdom,overview,2021-03-16,112
K02000001,United Kingdom,overview,2021-03-15,135
K02000001,United Kingdom,overview,2021-03-14,132
K02000001,United Kingdom,overview,2021-03-13,134
K02000001,United Kingdom,overview,2021-03-12,134
K02000001,United Kingdom,overview,2021-03-11,170
K02000001,United Kingdom,overview,2021-03-10,160
K02000001,United Kingdom,overview,2021-03-09,185
K02000001,United Kingdom,overview,2021-03-08,194
K02000001,United Kingdom,overview,2021-03-07,194
K02000001,United Kingdom,overview,2021-03-06,209
K02000001,United Kingdom,overview,2021-03-05,218
K02000001,United Kingdom,overview,2021-03-04,232
K02000001,United Kingdom,overview,2021-03-03,214
K02000001,United Kingdom,overview,2021-03-02,242
K02000001,United Kingdom,overview,2021-03-01,289
K02000001,United Kingdom,overview,2021-02-28,277
K02000001,United Kingdom,overview,2021-02-27,305
K02000001,United Kingdom,overview,2021-02-26,298
K02000001,United Kingdom,overview,2021-02-25,347
K02000001,United Kingdom,overview,2021-02-24,363
K02000001,United Kingdom,overview,2021-02-23,375
K02000001,United Kingdom,overview,2021-02-22,372
K02000001,United Kingdom,overview,2021-02-21,410
K02000001,United Kingdom,overview,2021-02-20,448
K02000001,United Kingdom,overview,2021-02-19,463
K02000001,United Kingdom,overview,2021-02-18,518
K02000001,United Kingdom,overview,2021-02-17,502
K02000001,United Kingdom,overview,2021-02-16,561
K02000001,United Kingdom,overview,2021-02-15,610
K02000001,United Kingdom,overview,2021-02-14,598
K02000001,United Kingdom,overview,2021-02-13,580
K02000001,United Kingdom,overview,2021-02-12,628
K02000001,United Kingdom,overview,2021-02-11,666
K02000001,United Kingdom,overview,2021-02-10,707
K02000001,United Kingdom,overview,2021-02-09,720
K02000001,United Kingdom,overview,2021-02-08,776
K02000001,United Kingdom,overview,2021-02-07,750
K02000001,United Kingdom,overview,2021-02-06,778
K02000001,United Kingdom,overview,2021-02-05,869
K02000001,United Kingdom,overview,2021-02-04,822
K02000001,United Kingdom,overview,2021-02-03,964
K02000001,United Kingdom,overview,2021-02-02,958
K02000001,United Kingdom,overview,2021-02-01,1000
K02000001,United Kingdom,overview,2021-01-31,990
K02000001,United Kingdom,overview,2021-01-30,1020
K02000001,United Kingdom,overview,2021-01-29,1152
K02000001,United Kingdom,overview,2021-01-28,1220
K02000001,United Kingdom,overview,2021-01-27,1226
K02000001,United Kingdom,overview,2021-01-26,1164
