areaCode,areaName,areaType,date,newPCRTestsByPublishDate
K02000001,United Kingdom,overview,2021-08-19,382217
K02000001,United Kingdom,overview,2021-08-18,384619
K02000001,United Kingdom,overview,2021-08-17,358585
K02000001,United Kingdom,overview,2021-08-16,210889
K02000001,United Kingdom,overview,2021-08-15,275266
K02000001,United Kingdom,overview,2021-08-14,305297
K02000001,United Kingdom,overview,2021-08-13,360840
K02000001,United Kingdom,overview,2021-08-12,357792
K02000001,United Kingdom,overview,2021-08-11,379475
K02000001,United Kingdom,overview,2021-08-10,346166
K02000001,United Kingdom,overview,2021-08-09,213339
K02000001,United Kingdom,overview,2021-08-08,270020
K02000001,United Kingdom,overview,2021-08-07,324674
K02000001,United Kingdom,overview,2021-08-06,340839
K02000001,United Kingdom,overview,2021-08-05,348938
K02000001,United Kingdom,overview,2021-08-04,386942
K02000001,United Kingdom,overview,2021-08-03,322684
K02000001,United Kingdom,overview,2021-08-02,198020
K02000001,United Kingdom,overview,2021-08-01,235493
K02000001,United Kingdom,overview,2021-07-31,330627
K02000001,United Kingdom,overview,2021-07-30,369088
K02000001,United Kingdom,overview,2021-07-29,366339
K02000001,United Kingdom,overview,2021-07-28,406008
K02000001,United Kingdom,overview,2021-07-27,368086
K02000001,United Kingdom,overview,2021-07-26,236613
K02000001,United Kingdom,overview,2021-07-25,280999
K02000001,United Kingdom,overview,2021-07-24,371822
K02000001,United Kingdom,overview,2021-07-23,387676
K02000001,United Kingdom,overview,2021-07-22,409825
K02000001,United Kingdom,overview,2021-07-21,420681
K02000001,United Kingdom,overview,2021-07-20,405005
K02000001,United Kingdom,overview,2021-07-19,342700
K02000001,United Kingdom,overview,2021-07-18,322297
K02000001,United Kingdom,overview,2021-07-17,406932
K02000001,United Kingdom,overview,2021-07-16,431977
K02000001,United Kingdom,overview,2021-07-15,457551
K02000001,United Kingdom,overview,2021-07-14,428639
K02000001,United Kingdom,overview,2021-07-13,408957
K02000001,United Kingdom,overview,2021-07-12,321953
K02000001,United Kingdom,overview,2021-07-11,366194
K02000001,United Kingdom,overview,2021-07-10,380307
K02000001,United Kingdom,overview,2021-07-09,397004
K02000001,United Kingdom,overview,2021-07-08,418106
K02000001,United Kingdom,overview,2021-07-07,436774
K02000001,United Kingdom,overview,2021-07-06,404356
K02000001,United Kingdom,overview,2021-07-05,324461
K02000001,United Kingdom,overview,2021-07-04,360131
K02000001,United Kingdom,overview,2021-07-03,342236
K02000001,United Kingdom,overview,2021-07-02,398070
K02000001,United Kingdom,overview,2021-07-01,415649
K02000001,United Kingdom,overview,2021-06-30,432660
K02000001,United Kingdom,overview,2021-06-29,382980
K02000001,United Kingdom,overview,2021-06-28,271492
K02000001,United Kingdom,overview,2021-06-27,316400
K02000001,United Kingdom,overview,2021-06-26,342155
K02000001,United Kingdom,overview,2021-06-25,387673
K02000001,United Kingdom,overview,2021-06-24,379424
K02000001,United Kingdom,overview,2021-06-23,373878
K02000001,United Kingdom,overview,2021-06-22,359907
K02000001,United Kingdom,overview,2021-06-21,250823
K02000001,United Kingdom,overview,2021-06-20,273937
K02000001,United Kingdom,overview,2021-06-19,328122
K02000001,United Kingdom,overview,2021-06-18,352974
K02000001,United Kingdom,overview,2021-06-17,355281
K02000001,United Kingdom,overview,2021-06-16,355553
K02000001,United Kingdom,overview,2021-06-15,334615
K02000001,United Kingdom,overview,2021-06-14,171417
K02000001,United Kingdom,overview,2021-06-13,234019
K02000001,United Kingdom,overview,2021-06-12,287715
K02000001,United Kingdom,overview,2021-06-11,320577
K02000001,United Kingdom,overview,2021-06-10,336760
K02000001,United Kingdom,overview,2021-06-09,334909
K02000001,United Kingdom,overview,2021-06-08,325724
K02000001,United Kingdom,overview,2021-06-07,198532
K02000001,United Kingdom,overview,2021-06-06,219158
K02000001,United Kingdom,overview,2021-06-05,259192
K02000001,United Kingdom,overview,2021-06-04,298865
K02000001,United Kingdom,overview,2021-06-03,313288
K02000001,United Kingdom,overview,2021-06-02,313630
K02000001,United Kingdom,overview,2021-06-01,219776
K02000001,United Kingdom,overview,2021-05-31,149061
