areaCode,areaName,areaType,date,newPillarFourTestsByPublishDate
K02000001,United Kingdom,overview,2021-08-19,8982
K02000001,United Kingdom,overview,2021-08-18,16199
K02000001,United Kingdom,overview,2021-08-17,11210
K02000001,United Kingdom,overview,2021-08-16,9707
K02000001,United Kingdom,overview,2021-08-15,13374
K02000001,United Kingdom,overview,2021-08-14,12528
K02000001,United Kingdom,overview,2021-08-13,13761
K02000001,United Kingdom,overview,2021-08-12,13359
K02000001,United Kingdom,overview,2021-08-11,16407
K02000001,United Kingdom,overview,2021-08-10,11336
K02000001,United Kingdom,overview,2021-08-09,11029
K02000001,United Kingdom,overview,2021-08-08,12763
K02000001,United Kingdom,overview,2021-08-07,12989
K02000001,United Kingdom,overview,2021-08-06,14769
K02000001,United Kingdom,overview,2021-08-05,15285
K02000001,United Kingdom,overview,2021-08-04,13062
K02000001,United Kingdom,overview,2021-08-03,11370
K02000001,United Kingdom,overview,2021-08-02,11287
K02000001,United Kingdom,overview,2021-08-01,12807
K02000001,United Kingdom,overview,2021-07-31,13613
K02000001,United Kingdom,overview,2021-07-30,13878
K02000001,United Kingdom,overview,2021-07-29,15723
K02000001,United Kingdom,overview,2021-07-28,14454
K02000001,United Kingdom,overview,2021-07-27,11183
K02000001,United Kingdom,overview,2021-07-26,10152
K02000001,United Kingdom,overview,2021-07-25,12327
K02000001,United Kingdom,overview,2021-07-24,12403
K02000001,United Kingdom,overview,2021-07-23,14808
K02000001,United Kingdom,overview,2021-07-22,14451
K02000001,United Kingdom,overview,2021-07-21,15995
K02000001,United Kingdom,overview,2021-07-20,10276
K02000001,United Kingdom,overview,2021-07-19,9205
K02000001,United Kingdom,overview,2021-07-18,12387
K02000001,United Kingdom,overview,2021-07-17,13130
K02000001,United Kingdom,overview,2021-07-16,15814
K02000001,United Kingdom,overview,2021-07-15,16512
K02000001,United Kingdom,overview,2021-07-14,20966
K02000001,United Kingdom,overview,2021-07-13,13191
K02000001,United Kingdom,overview,2021-07-12,20324
K02000001,United Kingdom,overview,2021-07-11,24682
K02000001,United Kingdom,overview,2021-07-10,19123
K02000001,United Kingdom,overview,2021-07-09,9100
K02000001,United Kingdom,overview,2021-07-08,27614
K02000001,United Kingdom,overview,2021-07-07,23430
K02000001,United Kingdom,overview,2021-07-06,16464
K02000001,United Kingdom,overview,2021-07-05,17085
K02000001,United Kingdom,overview,2021-07-04,20440
K02000001,United Kingdom,overview,2021-07-03,20003
K02000001,United Kingdom,overview,2021-07-02,21128
K02000001,United Kingdom,overview,2021-07-01,20329
K02000001,United Kingdom,overview,2021-06-30,22438
K02000001,United Kingdom,overview,2021-06-29,13691
K02000001,United Kingdom,overview,2021-06-28,17179
K02000001,United Kingdom,overview,2021-06-27,14899
K02000001,United Kingdom,overview,2021-06-26,16714
K02000001,United Kingdom,overview,2021-06-25,15617
K02000001,United Kingdom,overview,2021-06-24,15500
K02000001,United Kingdom,overview,2021-06-23,6423
K02000001,United Kingdom,overview,2021-06-22,10093
K02000001,United Kingdom,overview,2021-06-21,8117
K02000001,United Kingdom,overview,2021-06-20,15878
K02000001,United Kingdom,overview,2021-06-19,19182
K02000001,United Kingdom,overview,2021-06-18,19332
K02000001,United Kingdom,overview,2021-06-17,13197
K02000001,United Kingdom,overview,2021-06-16,15566
K02000001,United Kingdom,overview,2021-06-15,10977
K02000001,United Kingdom,overview,2021-06-14,8141
K02000001,United Kingdom,overview,2021-06-13,12974
K02000001,United Kingdom,overview,2021-06-12,17195
K02000001,United Kingdom,overview,2021-06-11,10956
K02000001,United Kingdom,overview,2021-06-10,17852
K02000001,United Kingdom,overview,2021-06-09,22551
K02000001,United Kingdom,overview,2021-06-08,13852
K02000001,United Kingdom,overview,2021-06-07,13655
K02000001,United Kingdom,overview,2021-06-06,16814
K02000001,United Kingdom,overview,2021-06-05,20178
K02000001,United Kingdom,overview,2021-06-04,21221
K02000001,United Kingdom,overview,2021-06-03,23430
K02000001,United Kingdom,overview,2021-06-02,19657
K02000001,United Kingdom,overview,2021-06-01,12555
K02000001,United Kingdom,overview,2021-05-31,16620
K02000001,United Kingdom,overview,2021-05-30,21710
K02000001,United Kingdom,overview,2021-05-29,23142
K02000001,United Kingdom,overview,2021-05-28,26596
K02000001,United Kingdom,overview,2021-05-27,25974
K02000001,United Kingdom,overview,2021-05-26,28724
K02000001,United Kingdom,overview,2021-05-25,18593
K02000001,United Kingdom,overview,2021-05-24,23862
K02000001,United Kingdom,overview,2021-05-23,17803
K02000001,United Kingdom,overview,2021-05-22,18875
K02000001,United Kingdom,overview,2021-05-21,22871
K02000001,United Kingdom,overview,2021-05-20,25531
K02000001,United Kingdom,overview,2021-05-19,28573
K02000001,United Kingdom,overview,2021-05-18,29222
K02000001,United Kingdom,overview,2021-05-17,33489
K02000001,United Kingdom,overview,2021-05-16,37304
K02000001,United Kingdom,overview,2021-05-15,39737
K02000001,United Kingdom,overview,2021-05-14,45755
K02000001,United Kingdom,overview,2021-05-13,53869
K02000001,United Kingdom,overview,2021-05-12,39570
K02000001,United Kingdom,overview,2021-05-11,13773
K02000001,United Kingdom,overview,2021-05-10,8895
K02000001,United Kingdom,overview,2021-05-09,15557
K02000001,United Kingdom,overview,2021-05-08,14624
K02000001,United Kingdom,overview,2021-05-07,14779
K02000001,United Kingdom,overview,2021-05-06,18026
K02000001,United Kingdom,overview,2021-05-05,17948
K02000001,United Kingdom,overview,2021-05-04,14366
K02000001,United Kingdom,overview,2021-05-03,13951
K02000001,United Kingdom,overview,2021-05-02,17918
K02000001,United Kingdom,overview,2021-05-01,17075
K02000001,United Kingdom,overview,2021-04-30,19710
K02000001,United Kingdom,overview,2021-04-29,25122
K02000001,United Kingdom,overview,2021-04-28,27264
K02000001,United Kingdom,overview,2021-04-27,20487
K02000001,United Kingdom,overview,2021-04-26,24505
K02000001,United Kingdom,overview,2021-04-25,24330
K02000001,United Kingdom,overview,2021-04-24,25346
K02000001,United Kingdom,overview,2021-04-23,25387
K02000001,United Kingdom,overview,2021-04-22,33946
K02000001,United Kingdom,overview,2021-04-21,17290
K02000001,United Kingdom,overview,2021-04-20,18629
K02000001,United Kingdom,overview,2021-04-19,15788
K02000001,United Kingdom,overview,2021-04-18,5385
K02000001,United Kingdom,overview,2021-04-17,13182
K02000001,United Kingdom,overview,2021-04-16,12190
K02000001,United Kingdom,overview,2021-04-15,14601
K02000001,United Kingdom,overview,2021-04-14,20135
K02000001,United Kingdom,overview,2021-04-13,12279
K02000001,United Kingdom,overview,2021-04-12,12612
K02000001,United Kingdom,overview,2021-04-11,11474
K02000001,United Kingdom,overview,2021-04-10,13247
K02000001,United Kingdom,overview,2021-04-09,16179
K02000001,United Kingdom,overview,2021-04-08,19511
K02000001,United Kingdom,overview,2021-04-07,21088
K02000001,United Kingdom,overview,2021-04-06,11162
K02000001,United Kingdom,overview,2021-04-05,559
K02000001,United Kingdom,overview,2021-04-04,10769
K02000001,United Kingdom,overview,2021-04-03,12903
K02000001,United Kingdom,overview,2021-04-02,12718
K02000001,United Kingdom,overview,2021-04-01,16227
K02000001,United Kingdom,overview,2021-03-31,23462
K02000001,United Kingdom,overview,2021-03-30,17368
K02000001,United Kingdom,overview,2021-03-29,15021
K02000001,United Kingdom,overview,2021-03-28,19295
K02000001,United Kingdom,overview,2021-03-27,21092
K02000001,United Kingdom,overview,2021-03-26,25554
K02000001,United Kingdom,overview,2021-03-25,24090
K02000001,United Kingdom,overview,2021-03-24,30571
K02000001,United Kingdom,overview,2021-03-23,22844
K02000001,United Kingdom,overview,2021-03-22,25275
K02000001,United Kingdom,overview,2021-03-21,25407
K02000001,United Kingdom,overview,2021-03-20,27218
K02000001,United Kingdom,overview,2021-03-19,28959
K02000001,United Kingdom,overview,2021-03-18,28478
K02000001,United Kingdom,overview,2021-03-17,31039
K02000001,United Kingdom,overview,2021-03-16,19470
K02000001,United Kingdom,overview,2021-03-15,18331
K02000001,United Kingdom,overview,2021-03-14,14374
K02000001,United Kingdom,overview,2021-03-13,14451
K02000001,United Kingdom,overview,2021-03-12,16419
K02000001,United Kingdom,overview,2021-03-11,18347
K02000001,United Kingdom,overview,2021-03-10,20961
K02000001,United Kingdom,overview,2021-03-09,12722
K02000001,United Kingdom,overview,2021-03-08,11565
K02000001,United Kingdom,overview,2021-03-07,12692
K02000001,United Kingdom,overview,2021-03-06,13593
K02000001,United Kingdom,overview,2021-03-05,15402
K02000001,United Kingdom,overview,2021-03-04,18337
K02000001,United Kingdom,overview,2021-03-03,19497
K02000001,United Kingdom,overview,2021-03-02,13101
K02000001,United Kingdom,overview,2021-03-01,12372
K02000001,United Kingdom,overview,2021-02-28,15751
K02000001,United Kingdom,overview,2021-02-27,16248
K02000001,United Kingdom,overview,2021-02-26,16437
K02000001,United Kingdom,overview,2021-02-25,15516
K02000001,United Kingdom,overview,2021-02-24,22958
K02000001,United Kingdom,overview,2021-02-23,15528
K02000001,United Kingdom,overview,2021-02-22,17273
K02000001,United Kingdom,overview,2021-02-21,23133
K02000001,United Kingdom,overview,2021-02-20,23954
K02000001,United Kingdom,overview,2021-02-19,26091
K02000001,United Kingdom,overview,2021-02-18,31304
K02000001,United Kingdom,overview,2021-02-17,33368
K02000001,United Kingdom,overview,2021-02-16,23179
K02000001,United Kingdom,overview,2021-02-15,26584
K02000001,United Kingdom,overview,2021-02-14,28302
K02000001,United Kingdom,overview,2021-02-13,35754
K02000001,United Kingdom,overview,2021-02-12,34033
K02000001,United Kingdom,overview,2021-02-11,31218
K02000001,United Kingdom,overview,2021-02-10,32288
