areaCode,areaName,areaType,date,newPillarOneTestsByPublishDate
K02000001,United Kingdom,overview,2021-08-19,86196
K02000001,United Kingdom,overview,2021-08-18,104843
K02000001,United Kingdom,overview,2021-08-17,106826
K02000001,United Kingdom,overview,2021-08-16,84488
K02000001,United Kingdom,overview,2021-08-15,69050
K02000001,United Kingdom,overview,2021-08-14,71158
K02000001,United Kingdom,overview,2021-08-13,87929
K02000001,United Kingdom,overview,2021-08-12,87448
K02000001,United Kingdom,overview,2021-08-11,104011
K02000001,United Kingdom,overview,2021-08-10,104142
K02000001,United Kingdom,overview,2021-08-09,81785
K02000001,United Kingdom,overview,2021-08-08,70106
K02000001,United Kingdom,overview,2021-08-07,71815
K02000001,United Kingdom,overview,2021-08-06,85017
K02000001,United Kingdom,overview,2021-08-05,90718
K02000001,United Kingdom,overview,2021-08-04,109893
K02000001,United Kingdom,overview,2021-08-03,103558
K02000001,United Kingdom,overview,2021-08-02,81066
K02000001,United Kingdom,overview,2021-08-01,72470
K02000001,United Kingdom,overview,2021-07-31,76179
K02000001,United Kingdom,overview,2021-07-30,86452
K02000001,United Kingdom,overview,2021-07-29,90410
K02000001,United Kingdom,overview,2021-07-28,106158
K02000001,United Kingdom,overview,2021-07-27,106519
K02000001,United Kingdom,overview,2021-07-26,90184
K02000001,United Kingdom,overview,2021-07-25,68052
K02000001,United Kingdom,overview,2021-07-24,76535
K02000001,United Kingdom,overview,2021-07-23,82709
K02000001,United Kingdom,overview,2021-07-22,98469
K02000001,United Kingdom,overview,2021-07-21,106055
K02000001,United Kingdom,overview,2021-07-20,102109
K02000001,United Kingdom,overview,2021-07-19,82578
K02000001,United Kingdom,overview,2021-07-18,66507
K02000001,United Kingdom,overview,2021-07-17,64599
K02000001,United Kingdom,overview,2021-07-16,78801
K02000001,United Kingdom,overview,2021-07-15,85855
K02000001,United Kingdom,overview,2021-07-14,108556
K02000001,United Kingdom,overview,2021-07-13,106837
K02000001,United Kingdom,overview,2021-07-12,83597
K02000001,United Kingdom,overview,2021-07-11,64844
K02000001,United Kingdom,overview,2021-07-10,69826
K02000001,United Kingdom,overview,2021-07-09,87223
K02000001,United Kingdom,overview,2021-07-08,96144
K02000001,United Kingdom,overview,2021-07-07,110459
K02000001,United Kingdom,overview,2021-07-06,105380
K02000001,United Kingdom,overview,2021-07-05,90719
K02000001,United Kingdom,overview,2021-07-04,74756
K02000001,United Kingdom,overview,2021-07-03,73619
K02000001,United Kingdom,overview,2021-07-02,89827
K02000001,United Kingdom,overview,2021-07-01,95618
K02000001,United Kingdom,overview,2021-06-30,100763
K02000001,United Kingdom,overview,2021-06-29,107736
K02000001,United Kingdom,overview,2021-06-28,86690
K02000001,United Kingdom,overview,2021-06-27,70862
K02000001,United Kingdom,overview,2021-06-26,71279
K02000001,United Kingdom,overview,2021-06-25,87596
K02000001,United Kingdom,overview,2021-06-24,91495
K02000001,United Kingdom,overview,2021-06-23,103892
K02000001,United Kingdom,overview,2021-06-22,112019
K02000001,United Kingdom,overview,2021-06-21,88888
K02000001,United Kingdom,overview,2021-06-20,70139
K02000001,United Kingdom,overview,2021-06-19,72135
K02000001,United Kingdom,overview,2021-06-18,87485
K02000001,United Kingdom,overview,2021-06-17,94760
K02000001,United Kingdom,overview,2021-06-16,105760
K02000001,United Kingdom,overview,2021-06-15,112942
K02000001,United Kingdom,overview,2021-06-14,79687
K02000001,United Kingdom,overview,2021-06-13,68211
K02000001,United Kingdom,overview,2021-06-12,70252
K02000001,United Kingdom,overview,2021-06-11,85249
K02000001,United Kingdom,overview,2021-06-10,87616
K02000001,United Kingdom,overview,2021-06-09,102760
K02000001,United Kingdom,overview,2021-06-08,107575
K02000001,United Kingdom,overview,2021-06-07,80408
K02000001,United Kingdom,overview,2021-06-06,72075
K02000001,United Kingdom,overview,2021-06-05,71820
K02000001,United Kingdom,overview,2021-06-04,80109
K02000001,United Kingdom,overview,2021-06-03,82389
K02000001,United Kingdom,overview,2021-06-02,98077
K02000001,United Kingdom,overview,2021-06-01,94458
K02000001,United Kingdom,overview,2021-05-31,63547
K02000001,United Kingdom,overview,2021-05-30,65988
K02000001,United Kingdom,overview,2021-05-29,61074
K02000001,United Kingdom,overview,2021-05-28,79188
K02000001,United Kingdom,overview,2021-05-27,84897
K02000001,United Kingdom,overview,2021-05-26,104066
K02000001,United Kingdom,overview,2021-05-25,107642
K02000001,United Kingdom,overview,2021-05-24,89434
K02000001,United Kingdom,overview,2021-05-23,68889
K02000001,United Kingdom,overview,2021-05-22,77062
K02000001,United Kingdom,overview,2021-05-21,82626
K02000001,United Kingdom,overview,2021-05-20,85774
K02000001,United Kingdom,overview,2021-05-19,106365
K02000001,United Kingdom,overview,2021-05-18,105360
K02000001,United Kingdom,overview,2021-05-17,81894
K02000001,United Kingdom,overview,2021-05-16,69144
K02000001,United Kingdom,overview,2021-05-15,74921
K02000001,United Kingdom,overview,2021-05-14,84354
K02000001,United Kingdom,overview,2021-05-13,87577
K02000001,United Kingdom,overview,2021-05-12,101533
K02000001,United Kingdom,overview,2021-05-11,106103
K02000001,United Kingdom,overview,2021-05-10,84504
K02000001,United Kingdom,overview,2021-05-09,73216
K02000001,United Kingdom,overview,2021-05-08,74415
K02000001,United Kingdom,overview,2021-05-07,89166
