areaCode,areaName,areaType,date,newPillarThreeTestsByPublishDate
K02000001,United Kingdom,overview,2021-08-19,1179
K02000001,United Kingdom,overview,2021-08-18,1113
K02000001,United Kingdom,overview,2021-08-17,1300
K02000001,United Kingdom,overview,2021-08-16,905
K02000001,United Kingdom,overview,2021-08-15,30
K02000001,United Kingdom,overview,2021-08-14,381
K02000001,United Kingdom,overview,2021-08-13,1051
K02000001,United Kingdom,overview,2021-08-12,1312
K02000001,United Kingdom,overview,2021-08-11,1338
K02000001,United Kingdom,overview,2021-08-10,1336
K02000001,United Kingdom,overview,2021-08-09,981
K02000001,United Kingdom,overview,2021-08-08,63
K02000001,United Kingdom,overview,2021-08-07,551
K02000001,United Kingdom,overview,2021-08-06,1588
K02000001,United Kingdom,overview,2021-08-05,1362
K02000001,United Kingdom,overview,2021-08-04,1720
K02000001,United Kingdom,overview,2021-08-03,1010
K02000001,United Kingdom,overview,2021-08-02,1136
K02000001,United Kingdom,overview,2021-08-01,47
K02000001,United Kingdom,overview,2021-07-31,175
K02000001,United Kingdom,overview,2021-07-30,986
K02000001,United Kingdom,overview,2021-07-29,1453
K02000001,United Kingdom,overview,2021-07-28,1018
K02000001,United Kingdom,overview,2021-07-27,1710
K02000001,United Kingdom,overview,2021-07-26,764
K02000001,United Kingdom,overview,2021-07-25,53
K02000001,United Kingdom,overview,2021-07-24,619
K02000001,United Kingdom,overview,2021-07-23,1038
K02000001,United Kingdom,overview,2021-07-22,1283
K02000001,United Kingdom,overview,2021-07-21,1334
K02000001,United Kingdom,overview,2021-07-20,1167
K02000001,United Kingdom,overview,2021-07-19,1007
K02000001,United Kingdom,overview,2021-07-18,85
K02000001,United Kingdom,overview,2021-07-17,401
K02000001,United Kingdom,overview,2021-07-16,1746
K02000001,United Kingdom,overview,2021-07-15,1409
K02000001,United Kingdom,overview,2021-07-14,1338
K02000001,United Kingdom,overview,2021-07-13,1593
K02000001,United Kingdom,overview,2021-07-12,734
K02000001,United Kingdom,overview,2021-07-11,162
K02000001,United Kingdom,overview,2021-07-10,651
K02000001,United Kingdom,overview,2021-07-09,1699
K02000001,United Kingdom,overview,2021-07-08,1796
K02000001,United Kingdom,overview,2021-07-07,1697
K02000001,United Kingdom,overview,2021-07-06,1296
K02000001,United Kingdom,overview,2021-07-05,886
K02000001,United Kingdom,overview,2021-07-04,23
K02000001,United Kingdom,overview,2021-07-03,231
K02000001,United Kingdom,overview,2021-07-02,1472
K02000001,United Kingdom,overview,2021-07-01,864
K02000001,United Kingdom,overview,2021-06-30,1238
K02000001,United Kingdom,overview,2021-06-29,1383
K02000001,United Kingdom,overview,2021-06-28,889
K02000001,United Kingdom,overview,2021-06-27,40
K02000001,United Kingdom,overview,2021-06-26,322
K02000001,United Kingdom,overview,2021-06-25,1359
K02000001,United Kingdom,overview,2021-06-24,1429
K02000001,United Kingdom,overview,2021-06-23,1234
K02000001,United Kingdom,overview,2021-06-22,1426
K02000001,United Kingdom,overview,2021-06-21,1125
K02000001,United Kingdom,overview,2021-06-20,88
K02000001,United Kingdom,overview,2021-06-19,277
K02000001,United Kingdom,overview,2021-06-18,1815
K02000001,United Kingdom,overview,2021-06-17,1812
K02000001,United Kingdom,overview,2021-06-16,1660
K02000001,United Kingdom,overview,2021-06-15,1707
K02000001,United Kingdom,overview,2021-06-14,792
K02000001,United Kingdom,overview,2021-06-13,435
K02000001,United Kingdom,overview,2021-06-12,273
K02000001,United Kingdom,overview,2021-06-11,1562
K02000001,United Kingdom,overview,2021-06-10,1725
K02000001,United Kingdom,overview,2021-06-09,1785
K02000001,United Kingdom,overview,2021-06-08,1729
K02000001,United Kingdom,overview,2021-06-07,1706
K02000001,United Kingdom,overview,2021-06-06,357
K02000001,United Kingdom,overview,2021-06-05,595
K02000001,United Kingdom,overview,2021-06-04,2386
K02000001,United Kingdom,overview,2021-06-03,2201
K02000001,United Kingdom,overview,2021-06-02,1856
K02000001,United Kingdom,overview,2021-06-01,1402
K02000001,United Kingdom,overview,2021-05-31,217
K02000001,United Kingdom,overview,2021-05-30,260
K02000001,United Kingdom,overview,2021-05-29,524
K02000001,United Kingdom,overview,2021-05-28,2105
K02000001,United Kingdom,overview,2021-05-27,1989
K02000001,United Kingdom,overview,2021-05-26,1862
