areaCode,areaName,areaType,date,newPillarTwoTestsByPublishDate
K02000001,United Kingdom,overview,2021-08-19,728959
K02000001,United Kingdom,overview,2021-08-18,688765
K02000001,United Kingdom,overview,2021-08-17,611038
K02000001,United Kingdom,overview,2021-08-16,605849
K02000001,United Kingdom,overview,2021-08-15,592055
K02000001,United Kingdom,overview,2021-08-14,572123
K02000001,United Kingdom,overview,2021-08-13,723621
K02000001,United Kingdom,overview,2021-08-12,713167
K02000001,United Kingdom,overview,2021-08-11,724039
K02000001,United Kingdom,overview,2021-08-10,634634
K02000001,United Kingdom,overview,2021-08-09,634216
K02000001,United Kingdom,overview,2021-08-08,606505
K02000001,United Kingdom,overview,2021-08-07,576734
K02000001,United Kingdom,overview,2021-08-06,694284
K02000001,United Kingdom,overview,2021-08-05,721502
K02000001,United Kingdom,overview,2021-08-04,725574
K02000001,United Kingdom,overview,2021-08-03,606481
K02000001,United Kingdom,overview,2021-08-02,634148
K02000001,United Kingdom,overview,2021-08-01,586018
K02000001,United Kingdom,overview,2021-07-31,587404
K02000001,United Kingdom,overview,2021-07-30,738873
K02000001,United Kingdom,overview,2021-07-29,758482
K02000001,United Kingdom,overview,2021-07-28,791822
K02000001,United Kingdom,overview,2021-07-27,681253
K02000001,United Kingdom,overview,2021-07-26,711026
K02000001,United Kingdom,overview,2021-07-25,710665
K02000001,United Kingdom,overview,2021-07-24,668412
K02000001,United Kingdom,overview,2021-07-23,813198
K02000001,United Kingdom,overview,2021-07-22,901931
K02000001,United Kingdom,overview,2021-07-21,919001
K02000001,United Kingdom,overview,2021-07-20,774526
K02000001,United Kingdom,overview,2021-07-19,984146
K02000001,United Kingdom,overview,2021-07-18,962205
K02000001,United Kingdom,overview,2021-07-17,706493
K02000001,United Kingdom,overview,2021-07-16,882685
K02000001,United Kingdom,overview,2021-07-15,1077296
K02000001,United Kingdom,overview,2021-07-14,1082320
K02000001,United Kingdom,overview,2021-07-13,813801
K02000001,United Kingdom,overview,2021-07-12,972603
K02000001,United Kingdom,overview,2021-07-11,1035257
K02000001,United Kingdom,overview,2021-07-10,653961
K02000001,United Kingdom,overview,2021-07-09,806972
K02000001,United Kingdom,overview,2021-07-08,992374
K02000001,United Kingdom,overview,2021-07-07,1104936
K02000001,United Kingdom,overview,2021-07-06,848136
K02000001,United Kingdom,overview,2021-07-05,1053902
K02000001,United Kingdom,overview,2021-07-04,1181397
K02000001,United Kingdom,overview,2021-07-03,565716
K02000001,United Kingdom,overview,2021-07-02,766560
K02000001,United Kingdom,overview,2021-07-01,1006329
K02000001,United Kingdom,overview,2021-06-30,1130138
K02000001,United Kingdom,overview,2021-06-29,761196
K02000001,United Kingdom,overview,2021-06-28,992563
K02000001,United Kingdom,overview,2021-06-27,1130921
K02000001,United Kingdom,overview,2021-06-26,534253
K02000001,United Kingdom,overview,2021-06-25,749080
K02000001,United Kingdom,overview,2021-06-24,961330
K02000001,United Kingdom,overview,2021-06-23,1042262
K02000001,United Kingdom,overview,2021-06-22,700176
K02000001,United Kingdom,overview,2021-06-21,922925
K02000001,United Kingdom,overview,2021-06-20,1063265
K02000001,United Kingdom,overview,2021-06-19,500554
K02000001,United Kingdom,overview,2021-06-18,685969
K02000001,United Kingdom,overview,2021-06-17,928122
K02000001,United Kingdom,overview,2021-06-16,982750
K02000001,United Kingdom,overview,2021-06-15,654065
K02000001,United Kingdom,overview,2021-06-14,842792
K02000001,United Kingdom,overview,2021-06-13,971037
K02000001,United Kingdom,overview,2021-06-12,446362
K02000001,United Kingdom,overview,2021-06-11,641575
K02000001,United Kingdom,overview,2021-06-10,841323
K02000001,United Kingdom,overview,2021-06-09,961619
K02000001,United Kingdom,overview,2021-06-08,608077
K02000001,United Kingdom,overview,2021-06-07,834996
K02000001,United Kingdom,overview,2021-06-06,1153179
K02000001,United Kingdom,overview,2021-06-05,396844
K02000001,United Kingdom,overview,2021-06-04,570381
K02000001,United Kingdom,overview,2021-06-03,702458
K02000001,United Kingdom,overview,2021-06-02,738820
K02000001,United Kingdom,overview,2021-06-01,559030
K02000001,United Kingdom,overview,2021-05-31,521852
K02000001,United Kingdom,overview,2021-05-30,538188
