areaCode,areaName,areaType,date,newTestsByPublishDate
K02000001,United Kingdom,overview,2021-08-19,825316
K02000001,United Kingdom,overview,2021-08-18,810920
K02000001,United Kingdom,overview,2021-08-17,730374
K02000001,United Kingdom,overview,2021-08-16,700949
K02000001,United Kingdom,overview,2021-08-15,674509
K02000001,United Kingdom,overview,2021-08-14,656190
K02000001,United Kingdom,overview,2021-08-13,826362
K02000001,United Kingdom,overview,2021-08-12,815286
K02000001,United Kingdom,overview,2021-08-11,845795
K02000001,United Kingdom,overview,2021-08-10,751448
K02000001,United Kingdom,overview,2021-08-09,728011
K02000001,United Kingdom,overview,2021-08-08,689437
K02000001,United Kingdom,overview,2021-08-07,662089
K02000001,United Kingdom,overview,2021-08-06,795658
K02000001,United Kingdom,overview,2021-08-05,828867
K02000001,United Kingdom,overview,2021-08-04,850249
K02000001,United Kingdom,overview,2021-08-03,722419
K02000001,United Kingdom,overview,2021-08-02,727637
K02000001,United Kingdom,overview,2021-08-01,671342
K02000001,United Kingdom,overview,2021-07-31,677371
K02000001,United Kingdom,overview,2021-07-30,840189
K02000001,United Kingdom,overview,2021-07-29,866068
K02000001,United Kingdom,overview,2021-07-28,913452
K02000001,United Kingdom,overview,2021-07-27,800665
K02000001,United Kingdom,overview,2021-07-26,812126
K02000001,United Kingdom,overview,2021-07-25,791097
K02000001,United Kingdom,overview,2021-07-24,757969
K02000001,United Kingdom,overview,2021-07-23,911753
K02000001,United Kingdom,overview,2021-07-22,1016134
K02000001,United Kingdom,overview,2021-07-21,1042385
K02000001,United Kingdom,overview,2021-07-20,888078
K02000001,United Kingdom,overview,2021-07-19,1076936
K02000001,United Kingdom,overview,2021-07-18,1041184
K02000001,United Kingdom,overview,2021-07-17,784623
K02000001,United Kingdom,overview,2021-07-16,979046
K02000001,United Kingdom,overview,2021-07-15,1181072
K02000001,United Kingdom,overview,2021-07-14,1213180
K02000001,United Kingdom,overview,2021-07-13,935422
K02000001,United Kingdom,overview,2021-07-12,1077258
K02000001,United Kingdom,overview,2021-07-11,1124945
K02000001,United Kingdom,overview,2021-07-10,743561
K02000001,United Kingdom,overview,2021-07-09,904994
K02000001,United Kingdom,overview,2021-07-08,1117928
K02000001,United Kingdom,overview,2021-07-07,1240522
K02000001,United Kingdom,overview,2021-07-06,971276
K02000001,United Kingdom,overview,2021-07-05,1162592
K02000001,United Kingdom,overview,2021-07-04,1276616
K02000001,United Kingdom,overview,2021-07-03,659569
K02000001,United Kingdom,overview,2021-07-02,878987
K02000001,United Kingdom,overview,2021-07-01,1123140
K02000001,United Kingdom,overview,2021-06-30,1254577
K02000001,United Kingdom,overview,2021-06-29,884006
K02000001,United Kingdom,overview,2021-06-28,1097321
K02000001,United Kingdom,overview,2021-06-27,1216722
K02000001,United Kingdom,overview,2021-06-26,622568
K02000001,United Kingdom,overview,2021-06-25,853652
K02000001,United Kingdom,overview,2021-06-24,1069754
K02000001,United Kingdom,overview,2021-06-23,1153811
K02000001,United Kingdom,overview,2021-06-22,823714
K02000001,United Kingdom,overview,2021-06-21,1021055
K02000001,United Kingdom,overview,2021-06-20,1149370
K02000001,United Kingdom,overview,2021-06-19,592148
