areaCode,areaName,areaType,date,newVaccinesGivenByPublishDate
K02000001,United Kingdom,overview,2021-08-19,231038
K02000001,United Kingdom,overview,2021-08-18,216507
K02000001,United Kingdom,overview,2021-08-17,189699
K02000001,United Kingdom,overview,2021-08-16,174106
K02000001,United Kingdom,overview,2021-08-15,157640
K02000001,United Kingdom,overview,2021-08-14,246187
K02000001,United Kingdom,overview,2021-08-13,212075
K02000001,United Kingdom,overview,2021-08-12,236943
K02000001,United Kingdom,overview,2021-08-11,215329
K02000001,United Kingdom,overview,2021-08-10,188654
K02000001,United Kingdom,overview,2021-08-09,169278
K02000001,United Kingdom,overview,2021-08-08,144913
K02000001,United Kingdom,overview,2021-08-07,251573
K02000001,United Kingdom,overview,2021-08-06,205332
K02000001,United Kingdom,overview,2021-08-05,208192
K02000001,United Kingdom,overview,2021-08-04,199003
K02000001,United Kingdom,overview,2021-08-03,172051
K02000001,United Kingdom,overview,2021-08-02,152284
K02000001,United Kingdom,overview,2021-08-01,139276
K02000001,United Kingdom,overview,2021-07-31,250840
K02000001,United Kingdom,overview,2021-07-30,207820
K02000001,United Kingdom,overview,2021-07-29,222271
K02000001,United Kingdom,overview,2021-07-28,215020
K02000001,United Kingdom,overview,2021-07-27,187052
K02000001,United Kingdom,overview,2021-07-26,178955
K02000001,United Kingdom,overview,2021-07-25,142507
K02000001,United Kingdom,overview,2021-07-24,247691
K02000001,United Kingdom,overview,2021-07-23,232315
K02000001,United Kingdom,overview,2021-07-22,232333
K02000001,United Kingdom,overview,2021-07-21,228439
K02000001,United Kingdom,overview,2021-07-20,200314
K02000001,United Kingdom,overview,2021-07-19,179230
K02000001,United Kingdom,overview,2021-07-18,147064
K02000001,United Kingdom,overview,2021-07-17,292431
K02000001,United Kingdom,overview,2021-07-16,271805
K02000001,United Kingdom,overview,2021-07-15,263574
K02000001,United Kingdom,overview,2021-07-14,246035
K02000001,United Kingdom,overview,2021-07-13,217349
K02000001,United Kingdom,overview,2021-07-12,179656
K02000001,United Kingdom,overview,2021-07-11,149620
K02000001,United Kingdom,overview,2021-07-10,305209
K02000001,United Kingdom,overview,2021-07-09,268902
K02000001,United Kingdom,overview,2021-07-08,271897
K02000001,United Kingdom,overview,2021-07-07,258430
K02000001,United Kingdom,overview,2021-07-06,238937
K02000001,United Kingdom,overview,2021-07-05,224776
K02000001,United Kingdom,overview,2021-07-04,188632
K02000001,United Kingdom,overview,2021-07-03,333598
K02000001,United Kingdom,overview,2021-07-02,301083
K02000001,United Kingdom,overview,2021-07-01,345591
K02000001,United Kingdom,overview,2021-06-30,316965
