areaCode,areaName,areaType,date,newVirusTests
K02000001,United Kingdom,overview,2021-08-19,822777
K02000001,United Kingdom,overview,2021-08-18,808235
K02000001,United Kingdom,overview,2021-08-17,728313
K02000001,United Kingdom,overview,2021-08-16,699466
K02000001,United Kingdom,overview,2021-08-15,674479
K02000001,United Kingdom,overview,2021-08-14,655809
K02000001,United Kingdom,overview,2021-08-13,824414
K02000001,United Kingdom,overview,2021-08-12,813378
K02000001,United Kingdom,overview,2021-08-11,842591
K02000001,United Kingdom,overview,2021-08-10,748898
K02000001,United Kingdom,overview,2021-08-09,725764
K02000001,United Kingdom,overview,2021-08-08,689374
K02000001,United Kingdom,overview,2021-08-07,661538
K02000001,United Kingdom,overview,2021-08-06,792407
K02000001,United Kingdom,overview,2021-08-05,825501
K02000001,United Kingdom,overview,2021-08-04,845680
K02000001,United Kingdom,overview,2021-08-03,720252
K02000001,United Kingdom,overview,2021-08-02,724299
K02000001,United Kingdom,overview,2021-08-01,670913
K02000001,United Kingdom,overview,2021-07-31,676527
K02000001,United Kingdom,overview,2021-07-30,838747
K02000001,United Kingdom,overview,2021-07-29,863554
K02000001,United Kingdom,overview,2021-07-28,911012
K02000001,United Kingdom,overview,2021-07-27,797775
K02000001,United Kingdom,overview,2021-07-26,810459
K02000001,United Kingdom,overview,2021-07-25,791044
K02000001,United Kingdom,overview,2021-07-24,757350
K02000001,United Kingdom,overview,2021-07-23,909423
K02000001,United Kingdom,overview,2021-07-22,1013261
K02000001,United Kingdom,overview,2021-07-21,1038954
K02000001,United Kingdom,overview,2021-07-20,885453
K02000001,United Kingdom,overview,2021-07-19,1074493
K02000001,United Kingdom,overview,2021-07-18,1041099
K02000001,United Kingdom,overview,2021-07-17,784222
K02000001,United Kingdom,overview,2021-07-16,975603
K02000001,United Kingdom,overview,2021-07-15,1177716
K02000001,United Kingdom,overview,2021-07-14,1210002
K02000001,United Kingdom,overview,2021-07-13,932222
K02000001,United Kingdom,overview,2021-07-12,1075460
