areaCode,areaName,areaType,date,plannedAntibodyCapacityByPublishDate
K02000001,United Kingdom,overview,2021-08-19,122400
K02000001,United Kingdom,overview,2021-08-18,122400
K02000001,United Kingdom,overview,2021-08-17,122400
K02000001,United Kingdom,overview,2021-08-16,122400
K02000001,United Kingdom,overview,2021-08-15,122400
K02000001,United Kingdom,overview,2021-08-14,122400
K02000001,United Kingdom,overview,2021-08-13,122400
K02000001,United Kingdom,overview,2021-08-12,122400
K02000001,United Kingdom,overview,2021-08-11,122400
K02000001,United Kingdom,overview,2021-08-10,122400
K02000001,United Kingdom,overview,2021-08-09,122400
K02000001,United Kingdom,overview,2021-08-08,122400
K02000001,United Kingdom,overview,2021-08-07,122400
K02000001,United Kingdom,overview,2021-08-06,122400
K02000001,United Kingdom,overview,2021-08-05,122400
K02000001,United Kingdom,overview,2021-08-04,122400
K02000001,United Kingdom,overview,2021-08-03,122400
K02000001,United Kingdom,overview,2021-08-02,122400
K02000001,United Kingdom,overview,2021-08-01,122400
K02000001,United Kingdom,overview,2021-07-31,122400
K02000001,United Kingdom,overview,2021-07-30,122400
K02000001,United Kingdom,overview,2021-07-29,122400
K02000001,United Kingdom,overview,2021-07-28,122400
K02000001,United Kingdom,overview,2021-07-27,122400
K02000001,United Kingdom,overview,2021-07-26,122400
K02000001,United Kingdom,overview,2021-07-25,122400
K02000001,United Kingdom,overview,2021-07-24,122400
K02000001,United Kingdom,overview,2021-07-23,122400
K02000001,United Kingdom,overview,2021-07-22,122400
K02000001,United Kingdom,overview,2021-07-21,122400
K02000001,United Kingdom,overview,2021-07-20,122400
K02000001,United Kingdom,overview,2021-07-19,122400
K02000001,United Kingdom,overview,2021-07-18,122400
K02000001,United Kingdom,overview,2021-07-17,122400
K02000001,United Kingdom,overview,2021-07-16,122400
K02000001,United Kingdom,overview,2021-07-15,122400
K02000001,United Kingdom,overview,2021-07-14,122400
K02000001,United Kingdom,overview,2021-07-13,122400
K02000001,United Kingdom,overview,2021-07-12,122400
K02000001,United Kingdom,overview,2021-07-11,122400
K02000001,United Kingdom,overview,2021-07-10,122400
K02000001,United Kingdom,overview,2021-07-09,122400
K02000001,United Kingdom,overview,2021-07-08,122400
K02000001,United Kingdom,overview,2021-07-07,122400
K02000001,United Kingdom,overview,2021-07-06,122400
K02000001,United Kingdom,overview,2021-07-05,122400
K02000001,United Kingdom,overview,2021-07-04,122400
K02000001,United Kingdom,overview,2021-07-03,122400
K02000001,United Kingdom,overview,2021-07-02,122400
K02000001,United Kingdom,overview,2021-07-01,122400
K02000001,United Kingdom,overview,2021-06-30,122400
K02000001,United Kingdom,overview,2021-06-29,122400
K02000001,United Kingdom,overview,2021-06-28,122400
K02000001,United Kingdom,overview,2021-06-27,122400
K02000001,United Kingdom,overview,2021-06-26,122400
K02000001,United Kingdom,overview,2021-06-25,122400
K02000001,United Kingdom,overview,2021-06-24,122400
K02000001,United Kingdom,overview,2021-06-23,122400
K02000001,United Kingdom,overview,2021-06-22,122400
K02000001,United Kingdom,overview,2021-06-21,122400
K02000001,United Kingdom,overview,2021-06-20,122400
K02000001,United Kingdom,overview,2021-06-19,122400
K02000001,United Kingdom,overview,2021-06-18,122400
K02000001,United Kingdom,overview,2021-06-17,122400
K02000001,United Kingdom,overview,2021-06-16,122400
K02000001,United Kingdom,overview,2021-06-15,122400
K02000001,United Kingdom,overview,2021-06-14,122400
K02000001,United Kingdom,overview,2021-06-13,122400
K02000001,United Kingdom,overview,2021-06-12,122400
K02000001,United Kingdom,overview,2021-06-11,122400
K02000001,United Kingdom,overview,2021-06-10,122400
K02000001,United Kingdom,overview,2021-06-09,122400
K02000001,United Kingdom,overview,2021-06-08,122400
K02000001,United Kingdom,overview,2021-06-07,122400
K02000001,United Kingdom,overview,2021-06-06,122400
K02000001,United Kingdom,overview,2021-06-05,122400
K02000001,United Kingdom,overview,2021-06-04,122400
K02000001,United Kingdom,overview,2021-06-03,122400
K02000001,United Kingdom,overview,2021-06-02,122400
K02000001,United Kingdom,overview,2021-06-01,122400
K02000001,United Kingdom,overview,2021-05-31,122400
K02000001,United Kingdom,overview,2021-05-30,122400
K02000001,United Kingdom,overview,2021-05-29,122400
K02000001,United Kingdom,overview,2021-05-28,122400
K02000001,United Kingdom,overview,2021-05-27,122400
K02000001,United Kingdom,overview,2021-05-26,122400
K02000001,United Kingdom,overview,2021-05-25,122400
K02000001,United Kingdom,overview,2021-05-24,122400
