areaCode,areaName,areaType,date,plannedCapacityByPublishDate
K02000001,United Kingdom,overview,2021-08-19,845498
K02000001,United Kingdom,overview,2021-08-18,846268
K02000001,United Kingdom,overview,2021-08-17,845168
K02000001,United Kingdom,overview,2021-08-16,845328
K02000001,United Kingdom,overview,2021-08-15,842428
K02000001,United Kingdom,overview,2021-08-14,842368
K02000001,United Kingdom,overview,2021-08-13,832248
K02000001,United Kingdom,overview,2021-08-12,833019
K02000001,United Kingdom,overview,2021-08-11,833003
K02000001,United Kingdom,overview,2021-08-10,832503
K02000001,United Kingdom,overview,2021-08-09,832593
K02000001,United Kingdom,overview,2021-08-08,831143
K02000001,United Kingdom,overview,2021-08-07,831193
K02000001,United Kingdom,overview,2021-08-06,827143
K02000001,United Kingdom,overview,2021-08-05,827173
K02000001,United Kingdom,overview,2021-08-04,826293
K02000001,United Kingdom,overview,2021-08-03,826173
K02000001,United Kingdom,overview,2021-08-02,826360
K02000001,United Kingdom,overview,2021-08-01,821413
K02000001,United Kingdom,overview,2021-07-31,821413
K02000001,United Kingdom,overview,2021-07-30,821413
K02000001,United Kingdom,overview,2021-07-29,821675
K02000001,United Kingdom,overview,2021-07-28,817716
K02000001,United Kingdom,overview,2021-07-27,813425
K02000001,United Kingdom,overview,2021-07-26,825725
K02000001,United Kingdom,overview,2021-07-25,808425
K02000001,United Kingdom,overview,2021-07-24,808425
K02000001,United Kingdom,overview,2021-07-23,802425
K02000001,United Kingdom,overview,2021-07-22,782285
K02000001,United Kingdom,overview,2021-07-21,781485
K02000001,United Kingdom,overview,2021-07-20,768485
K02000001,United Kingdom,overview,2021-07-19,751785
K02000001,United Kingdom,overview,2021-07-18,774785
K02000001,United Kingdom,overview,2021-07-17,774785
K02000001,United Kingdom,overview,2021-07-16,768785
K02000001,United Kingdom,overview,2021-07-15,766803
K02000001,United Kingdom,overview,2021-07-14,770860
K02000001,United Kingdom,overview,2021-07-13,730610
K02000001,United Kingdom,overview,2021-07-12,701115
K02000001,United Kingdom,overview,2021-07-11,747447
K02000001,United Kingdom,overview,2021-07-10,748218
K02000001,United Kingdom,overview,2021-07-09,761588
K02000001,United Kingdom,overview,2021-07-08,736784
