areaCode,areaName,areaType,date,plannedPCRCapacityByPublishDate
K02000001,United Kingdom,overview,2021-08-19,723098
K02000001,United Kingdom,overview,2021-08-18,723868
K02000001,United Kingdom,overview,2021-08-17,722768
K02000001,United Kingdom,overview,2021-08-16,722928
K02000001,United Kingdom,overview,2021-08-15,720028
K02000001,United Kingdom,overview,2021-08-14,719968
K02000001,United Kingdom,overview,2021-08-13,709848
K02000001,United Kingdom,overview,2021-08-12,710619
K02000001,United Kingdom,overview,2021-08-11,710603
K02000001,United Kingdom,overview,2021-08-10,710103
K02000001,United Kingdom,overview,2021-08-09,710193
K02000001,United Kingdom,overview,2021-08-08,708743
K02000001,United Kingdom,overview,2021-08-07,708793
K02000001,United Kingdom,overview,2021-08-06,704743
K02000001,United Kingdom,overview,2021-08-05,704773
K02000001,United Kingdom,overview,2021-08-04,703893
K02000001,United Kingdom,overview,2021-08-03,703773
K02000001,United Kingdom,overview,2021-08-02,703513
K02000001,United Kingdom,overview,2021-08-01,699013
K02000001,United Kingdom,overview,2021-07-31,699013
K02000001,United Kingdom,overview,2021-07-30,699013
K02000001,United Kingdom,overview,2021-07-29,699025
K02000001,United Kingdom,overview,2021-07-28,695025
K02000001,United Kingdom,overview,2021-07-27,691025
K02000001,United Kingdom,overview,2021-07-26,703325
K02000001,United Kingdom,overview,2021-07-25,686025
K02000001,United Kingdom,overview,2021-07-24,686025
K02000001,United Kingdom,overview,2021-07-23,680025
K02000001,United Kingdom,overview,2021-07-22,659885
K02000001,United Kingdom,overview,2021-07-21,659085
K02000001,United Kingdom,overview,2021-07-20,646085
K02000001,United Kingdom,overview,2021-07-19,629385
K02000001,United Kingdom,overview,2021-07-18,652385
K02000001,United Kingdom,overview,2021-07-17,652385
K02000001,United Kingdom,overview,2021-07-16,646385
K02000001,United Kingdom,overview,2021-07-15,644403
K02000001,United Kingdom,overview,2021-07-14,648460
K02000001,United Kingdom,overview,2021-07-13,608210
K02000001,United Kingdom,overview,2021-07-12,578715
K02000001,United Kingdom,overview,2021-07-11,625047
