journeydate,sex,ageband,ccgcode,ccgname,Total
06/07/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,1
06/07/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,1
06/07/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,1
06/07/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,2
06/07/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,3
06/07/2020,Female,0-18 years,E38000016,NHS Bolton CCG,1
06/07/2020,Female,0-18 years,E38000020,NHS Brent CCG,1
06/07/2020,Female,0-18 years,E38000024,NHS Bury CCG,1
06/07/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,3
06/07/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,8
06/07/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,1
06/07/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,1
06/07/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,4
06/07/2020,Female,0-18 years,E38000045,NHS Dorset CCG,3
06/07/2020,Female,0-18 years,E38000046,NHS Dudley CCG,1
06/07/2020,Female,0-18 years,E38000048,NHS Ealing CCG,1
06/07/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,1
06/07/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,2
06/07/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,1
06/07/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,1
06/07/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,2
06/07/2020,Female,0-18 years,E38000068,NHS Halton CCG,1
06/07/2020,Female,0-18 years,E38000070,NHS Hammersmith and Fulham CCG,1
06/07/2020,Female,0-18 years,E38000074,NHS Harrow CCG,2
06/07/2020,Female,0-18 years,E38000077,NHS Havering CCG,1
06/07/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,4
06/07/2020,Female,0-18 years,E38000080,NHS Heywood; Middleton and Rochdale CCG,1
06/07/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,1
06/07/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,2
06/07/2020,Female,0-18 years,E38000085,NHS Hull CCG,1
06/07/2020,Female,0-18 years,E38000089,NHS Kernow CCG,3
06/07/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,2
06/07/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,1
06/07/2020,Female,0-18 years,E38000102,NHS Luton CCG,1
06/07/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,2
06/07/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,1
06/07/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,1
06/07/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,1
06/07/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,1
06/07/2020,Female,0-18 years,E38000121,NHS North Kirklees CCG,1
