journeydate,sex,ageband,ccgcode,ccgname,Total
20/04/2020,Female,19-69 years,E38000004,NHS Barking and Dagenham CCG,47
20/04/2020,Female,19-69 years,E38000006,NHS Barnsley CCG,69
20/04/2020,Female,19-69 years,E38000007,NHS Basildon and Brentwood CCG,59
20/04/2020,Female,19-69 years,E38000008,NHS Bassetlaw CCG,29
20/04/2020,Female,19-69 years,E38000010,NHS Bedfordshire CCG,180
20/04/2020,Female,19-69 years,E38000014,NHS Blackburn with Darwen CCG,43
20/04/2020,Female,19-69 years,E38000015,NHS Blackpool CCG,37
20/04/2020,Female,19-69 years,E38000016,NHS Bolton CCG,88
20/04/2020,Female,19-69 years,E38000020,NHS Brent CCG,70
20/04/2020,Female,19-69 years,E38000021,NHS Brighton and Hove CCG,54
20/04/2020,Female,19-69 years,E38000024,NHS Bury CCG,56
20/04/2020,Female,19-69 years,E38000025,NHS Calderdale CCG,43
20/04/2020,Female,19-69 years,E38000026,NHS Cambridgeshire and Peterborough CCG,217
20/04/2020,Female,19-69 years,E38000028,NHS Cannock Chase CCG,26
20/04/2020,Female,19-69 years,E38000030,NHS Castle Point and Rochford CCG,28
20/04/2020,Female,19-69 years,E38000031,NHS Central London (Westminster) CCG,18
20/04/2020,Female,19-69 years,E38000034,NHS Chorley and South Ribble CCG,47
20/04/2020,Female,19-69 years,E38000035,NHS City and Hackney CCG,39
20/04/2020,Female,19-69 years,E38000038,NHS Coventry and Rugby CCG,103
20/04/2020,Female,19-69 years,E38000044,NHS Doncaster CCG,65
20/04/2020,Female,19-69 years,E38000045,NHS Dorset CCG,156
20/04/2020,Female,19-69 years,E38000046,NHS Dudley CCG,75
20/04/2020,Female,19-69 years,E38000048,NHS Ealing CCG,65
20/04/2020,Female,19-69 years,E38000049,NHS East and North Hertfordshire CCG,119
20/04/2020,Female,19-69 years,E38000050,NHS East Lancashire CCG,94
20/04/2020,Female,19-69 years,E38000051,NHS East Leicestershire and Rutland CCG,82
20/04/2020,Female,19-69 years,E38000052,NHS East Riding of Yorkshire CCG,59
20/04/2020,Female,19-69 years,E38000053,NHS East Staffordshire CCG,32
20/04/2020,Female,19-69 years,E38000059,NHS Fareham and Gosport CCG,52
20/04/2020,Female,19-69 years,E38000062,NHS Gloucestershire CCG,132
20/04/2020,Female,19-69 years,E38000064,NHS Greater Huddersfield CCG,56
20/04/2020,Female,19-69 years,E38000068,NHS Halton CCG,32
20/04/2020,Female,19-69 years,E38000070,NHS Hammersmith and Fulham CCG,31
20/04/2020,Female,19-69 years,E38000074,NHS Harrow CCG,45
20/04/2020,Female,19-69 years,E38000077,NHS Havering CCG,48
20/04/2020,Female,19-69 years,E38000079,NHS Herts Valleys CCG,107
20/04/2020,Female,19-69 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",39
20/04/2020,Female,19-69 years,E38000082,NHS Hillingdon CCG,53
20/04/2020,Female,19-69 years,E38000084,NHS Hounslow CCG,51
20/04/2020,Female,19-69 years,E38000085,NHS Hull CCG,58
20/04/2020,Female,19-69 years,E38000086,NHS Ipswich and East Suffolk CCG,84
20/04/2020,Female,19-69 years,E38000087,NHS Isle of Wight CCG,26
20/04/2020,Female,19-69 years,E38000089,NHS Kernow CCG,85
20/04/2020,Female,19-69 years,E38000091,NHS Knowsley CCG,52
20/04/2020,Female,19-69 years,E38000097,NHS Leicester City CCG,110
20/04/2020,Female,19-69 years,E38000101,NHS Liverpool CCG,140
20/04/2020,Female,19-69 years,E38000102,NHS Luton CCG,56
20/04/2020,Female,19-69 years,E38000106,NHS Mid Essex CCG,87
20/04/2020,Female,19-69 years,E38000107,NHS Milton Keynes CCG,67
20/04/2020,Female,19-69 years,E38000113,NHS Newham CCG,62
20/04/2020,Female,19-69 years,E38000117,NHS North East Essex CCG,84
20/04/2020,Female,19-69 years,E38000118,NHS North East Hampshire and Farnham CCG,44
20/04/2020,Female,19-69 years,E38000119,NHS North East Lincolnshire CCG,19
20/04/2020,Female,19-69 years,E38000120,NHS North Hampshire CCG,55
20/04/2020,Female,19-69 years,E38000121,NHS North Kirklees CCG,34
20/04/2020,Female,19-69 years,E38000122,NHS North Lincolnshire CCG,27
20/04/2020,Female,19-69 years,E38000126,NHS North Staffordshire CCG,52
20/04/2020,Female,19-69 years,E38000127,NHS North Tyneside CCG,79
20/04/2020,Female,19-69 years,E38000130,NHS Northumberland CCG,68
20/04/2020,Female,19-69 years,E38000135,NHS Oldham CCG,56
20/04/2020,Female,19-69 years,E38000136,NHS Oxfordshire CCG,135
20/04/2020,Female,19-69 years,E38000137,NHS Portsmouth CCG,51
20/04/2020,Female,19-69 years,E38000138,NHS Redbridge CCG,61
20/04/2020,Female,19-69 years,E38000141,NHS Rotherham CCG,71
20/04/2020,Female,19-69 years,E38000143,NHS Salford CCG,84
20/04/2020,Female,19-69 years,E38000144,NHS Sandwell and West Birmingham CCG,90
20/04/2020,Female,19-69 years,E38000146,NHS Sheffield CCG,110
20/04/2020,Female,19-69 years,E38000147,NHS Shropshire CCG,60
20/04/2020,Female,19-69 years,E38000150,NHS Somerset CCG,74
20/04/2020,Female,19-69 years,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,44
20/04/2020,Female,19-69 years,E38000154,NHS South Eastern Hampshire CCG,45
20/04/2020,Female,19-69 years,E38000161,NHS South Sefton CCG,52
20/04/2020,Female,19-69 years,E38000163,NHS South Tyneside CCG,43
20/04/2020,Female,19-69 years,E38000164,NHS South Warwickshire CCG,47
20/04/2020,Female,19-69 years,E38000167,NHS Southampton CCG,49
20/04/2020,Female,19-69 years,E38000168,NHS Southend CCG,65
20/04/2020,Female,19-69 years,E38000170,NHS Southport and Formby CCG,29
20/04/2020,Female,19-69 years,E38000172,NHS St Helens CCG,47
20/04/2020,Female,19-69 years,E38000173,NHS Stafford and Surrounds CCG,26
20/04/2020,Female,19-69 years,E38000174,NHS Stockport CCG,53
20/04/2020,Female,19-69 years,E38000175,NHS Stoke on Trent CCG,47
20/04/2020,Female,19-69 years,E38000176,NHS Sunderland CCG,101
20/04/2020,Female,19-69 years,E38000178,NHS Surrey Heath CCG,16
20/04/2020,Female,19-69 years,E38000182,NHS Tameside and Glossop CCG,84
20/04/2020,Female,19-69 years,E38000183,NHS Telford and Wrekin CCG,47
20/04/2020,Female,19-69 years,E38000185,NHS Thurrock CCG,44
20/04/2020,Female,19-69 years,E38000186,NHS Tower Hamlets CCG,67
20/04/2020,Female,19-69 years,E38000187,NHS Trafford CCG,50
20/04/2020,Female,19-69 years,E38000188,NHS Vale of York CCG,65
20/04/2020,Female,19-69 years,E38000190,NHS Wakefield CCG,102
20/04/2020,Female,19-69 years,E38000191,NHS Walsall CCG,70
20/04/2020,Female,19-69 years,E38000192,NHS Waltham Forest CCG,60
20/04/2020,Female,19-69 years,E38000194,NHS Warrington CCG,46
