SiteType,Call Date,Sex,AgeBand,CCGCode,CCGName,TriageCount
111,24/05/2021,Female,,NULL,NULL,1
111,24/05/2021,Female,0-18 years,E38000026,"NHS Cambridgeshire and Peterborough CCG",3
111,24/05/2021,Female,0-18 years,E38000028,"NHS Cannock Chase CCG",1
111,24/05/2021,Female,0-18 years,E38000034,"NHS Chorley and South Ribble CCG",1
111,24/05/2021,Female,0-18 years,E38000049,"NHS East and North Hertfordshire CCG",1
111,24/05/2021,Female,0-18 years,E38000050,"NHS East Lancashire CCG",1
111,24/05/2021,Female,0-18 years,E38000052,"NHS East Riding of Yorkshire CCG",2
111,24/05/2021,Female,0-18 years,E38000062,"NHS Gloucestershire CCG",2
111,24/05/2021,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",2
111,24/05/2021,Female,0-18 years,E38000085,"NHS Hull CCG",1
111,24/05/2021,Female,0-18 years,E38000097,"NHS Leicester City CCG",2
111,24/05/2021,Female,0-18 years,E38000106,"NHS Mid Essex CCG",2
111,24/05/2021,Female,0-18 years,E38000117,"NHS North East Essex CCG",1
111,24/05/2021,Female,0-18 years,E38000122,"NHS North Lincolnshire CCG",1
111,24/05/2021,Female,0-18 years,E38000135,"NHS Oldham CCG",2
111,24/05/2021,Female,0-18 years,E38000136,"NHS Oxfordshire CCG",3
111,24/05/2021,Female,0-18 years,E38000137,"NHS Portsmouth CCG",2
111,24/05/2021,Female,0-18 years,E38000143,"NHS Salford CCG",1
111,24/05/2021,Female,0-18 years,E38000150,"NHS Somerset CCG",1
111,24/05/2021,Female,0-18 years,E38000172,"NHS St Helens CCG",1
111,24/05/2021,Female,0-18 years,E38000174,"NHS Stockport CCG",2
111,24/05/2021,Female,0-18 years,E38000176,"NHS Sunderland CCG",1
111,24/05/2021,Female,0-18 years,E38000182,"NHS Tameside and Glossop CCG",2
111,24/05/2021,Female,0-18 years,E38000187,"NHS Trafford CCG",1
111,24/05/2021,Female,0-18 years,E38000190,"NHS Wakefield CCG",1
111,24/05/2021,Female,0-18 years,E38000205,"NHS Wigan Borough CCG",2
111,24/05/2021,Female,0-18 years,E38000208,"NHS Wirral CCG",1
111,24/05/2021,Female,0-18 years,E38000215,"NHS North Cumbria CCG",1
111,24/05/2021,Female,0-18 years,E38000217,"NHS Manchester CCG",1
111,24/05/2021,Female,0-18 years,E38000220,"NHS Birmingham and Solihull CCG",1
111,24/05/2021,Female,0-18 years,E38000221,"NHS Berkshire West CCG",1
