SiteType,CallDate,UTLACode,UTLAName,TriageCount
111,2020-03-18,E06000001,Hartlepool,44
111,2020-03-18,E06000002,Middlesbrough,37
111,2020-03-18,E06000003,Redcar and Cleveland,56
111,2020-03-18,E06000004,Stockton-on-Tees,59
111,2020-03-18,E06000005,Darlington,33
111,2020-03-18,E06000006,Halton,38
111,2020-03-18,E06000007,Warrington,53
111,2020-03-18,E06000008,Blackburn with Darwen,43
111,2020-03-18,E06000009,Blackpool,40
111,2020-03-18,E06000010,"Kingston upon Hull, City of",63
111,2020-03-18,E06000011,East Riding of Yorkshire,51
111,2020-03-18,E06000012,North East Lincolnshire,14
111,2020-03-18,E06000013,North Lincolnshire,26
111,2020-03-18,E06000014,York,37
111,2020-03-18,E06000015,Derby,180
111,2020-03-18,E06000016,Leicester,209
111,2020-03-18,E06000017,Rutland,12
111,2020-03-18,E06000018,Nottingham,134
111,2020-03-18,E06000019,"Herefordshire, County of",48
111,2020-03-18,E06000020,Telford and Wrekin,77
111,2020-03-18,E06000021,Stoke-on-Trent,82
111,2020-03-18,E06000022,Bath and North East Somerset,56
111,2020-03-18,E06000023,"Bristol, City of",119
111,2020-03-18,E06000024,North Somerset,52
111,2020-03-18,E06000025,South Gloucestershire,75
111,2020-03-18,E06000026,Plymouth,95
111,2020-03-18,E06000027,Torbay,48
111,2020-03-18,E06000030,Swindon,91
111,2020-03-18,E06000031,Peterborough,76
111,2020-03-18,E06000032,Luton,117
111,2020-03-18,E06000033,Southend-on-Sea,83
111,2020-03-18,E06000034,Thurrock,79
111,2020-03-18,E06000035,Medway,73
111,2020-03-18,E06000036,Bracknell Forest,46
111,2020-03-18,E06000037,West Berkshire,61
111,2020-03-18,E06000038,Reading,52
111,2020-03-18,E06000039,Slough,84
111,2020-03-18,E06000040,Windsor and Maidenhead,48
111,2020-03-18,E06000041,Wokingham,66
111,2020-03-18,E06000042,Milton Keynes,166
111,2020-03-18,E06000043,Brighton and Hove,75
111,2020-03-18,E06000044,Portsmouth,95
111,2020-03-18,E06000045,Southampton,100
111,2020-03-18,E06000046,Isle of Wight,70
111,2020-03-18,E06000047,County Durham,145
111,2020-03-18,E06000049,Cheshire East,81
111,2020-03-18,E06000050,Cheshire West and Chester,80
111,2020-03-18,E06000051,Shropshire,82
111,2020-03-18,E06000052,Cornwall,119
111,2020-03-18,E06000054,Wiltshire,123
111,2020-03-18,E06000055,Bedford,75
111,2020-03-18,E06000056,Central Bedfordshire,91
111,2020-03-18,E06000057,Northumberland,98
111,2020-03-18,E06000058,"Bournemouth, Christchurch and Poole",99
111,2020-03-18,E06000059,Dorset,76
