Table 1: The number of deaths registered was above the five-year average in the majority of the English regions and Wales
"Number of deaths in Wales and the regions in England, registered week ending 25 September 2020"

Region name,"Number of
deaths","Five-year
average",Difference,"Percentage
above average"
South East," 1,521 "," 1,426 ",95,6.7
Yorkshire and The Humber," 965 "," 909 ",56,6.2
West Midlands,1036,984,52,5.3
East Midlands,825,794,31,3.9
North East,514,497,17,3.4
South West,1041,1011,30,3.0
Wales,617,604,13,2.2
North West,1271,1270,1,0.1
London,869,872,-3,-0.3
East,963,980,-17,-1.7

Source: ,Office for National Statistics - Deaths registered weekly in England and Wales
Notes
1,Based on area of usual residence boundaries correct as of August 2020.
2,Figures exclude deaths of non-residents.
3,Based on date a death was registered rather than occurred.
4,All figures for 2020 are provisional.
5,"The averages are based on the number of death registrations in each region, recorded for each corresponding week over the previous five years. Moveable public holidays, when register offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years."
