Table 1: The number of deaths registered was above the five-year average in most of the English regions and Wales
"Number of deaths in Wales and the regions in England, registered week ending 9 October 2020"

Region name,Number of deaths,Five-year average,Difference,Percentage above average
Yorkshire and The Humber,"1,067",967,100,10.3
East Midlands,884,824,60,7.3
West Midlands,"1,053",985,68,6.9
North East,544,510,34,6.7
Wales,638,615,23,3.7
North West,"1,367","1,328",39,2.9
London,902,914,-12,-1.3
South East,"1,462","1,505",-43,-2.9
South West,"1,010","1,054",-44,-4.2
East,"1,019","1,081",-62,-5.7

Source: ,Office for National Statistics – Deaths registered weekly in England and Wales
Notes
1,Based on area of usual residence. Geographical boundaries are based on the most up-to-date information available at the time of publication.   
2,Figures exclude deaths of non-residents. 
3,Based on date a death was registered rather than occurred. 
4,All figures for 2020 are provisional. 
5,"The averages are based on the number of death registrations in each region, recorded for each corresponding week over the previous five years. Moveable public holidays, when register offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years. "
