OBJECTID,LAD20CD,LAD20NM,LAD20NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,93712619.8178558,71011.9338501167
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,53881564.2714233,44481.6912420955
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,245069508.91684,96703.9897012835
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.55691,204932953.781616,123408.985927677
5,E06000005,Darlington, ,428029,515648,-1.56835,54.53534,197475688.992432,107206.401677287
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,79084035.4341736,77771.1033589916
7,E06000007,Warrington, ,362744,388456,-2.56167,53.39163,180627983.826439,114690.861715145
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,137022079.724258,65284.9709825299
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,34870886.4554291,34483.4874941581
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.7692,71583611.6877289,64681.1195108782
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.88112,2404995299.25143,504148.429232314
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,192622956.447922,93248.7198118338
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,846499243.952927,244632.768773184
14,E06000014,York, ,460864,452589,-1.07375,53.96582,271936983.743546,101957.593922078
15,E06000015,Derby, ,435609,335375,-1.47189,52.91464,78031124.2976074,50037.7355262197
16,E06000016,Leicester, ,458946,304594,-1.1304,52.63592,73342074.1904449,51932.0033485036
17,E06000017,Rutland, ,492992,308655,-0.6263,52.66765,393748908.229767,125885.233889928
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.95419,74613560.4822235,58724.236525949
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.08154,2179709443.6361,349889.440291664
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.71417,290313545.189056,118780.033274165
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707,93448483.350769,63974.629003771
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.35604,351123213.756172,141684.814205707
23,E06000023,"Bristol, City of", ,359990,174846,-3,50,109678752.570869,109504.27376731
24,E06000024,North Somerset, ,347614,166718,-3,50,374606124.386845,154585.310458239
25,E06000025,South Gloucestershire, ,367559,183198,-2.46922,51.54673,497056353.995598,144500.558346152
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.40494,79849713.7202606,92645.7718821434
27,E06000027,Torbay, ,289730,64613,-3.55523,50.47092,62886695.8939114,77911.4989755301
28,E06000030,Swindon, ,418551,186564,-1.73367,51.57763,230093374.742195,103014.940246214
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,343378151.164078,112678.124727893
30,E06000032,Luton, ,508606,222559,-0.42319,51.89102,43352491.6456223,34569.6531192547
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.54917,41673935.6083069,57783.269057812
32,E06000034,Thurrock, ,562123,181590,0.334861,51.50998,163837048.646019,115992.466452315
33,E06000035,Medway, ,578207,175198,0.563174,51.44772,193714281.10218,249509.74161654
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,109384210.265579,62508.0775037021
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.44559,704169402.351822,166802.031523965
36,E06000038,Reading, ,470226,173154,-0.99071,51.45302,40397991.8301926,39330.820465747
37,E06000039,Slough, ,498920,179246,-0.57617,51.5035,32542008.9563904,44181.3937034479
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.48034,198427175.066078,114829.420890264
39,E06000041,Wokingham, ,476624,169902,-0.89935,51.42296,178965481.003845,86865.9015855573
40,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.07241,308626789.34494,102960.590212706
41,E06000043,Brighton and Hove, ,530279,106850,-0.15079,50.8465,82832958.778244,59519.4569407267
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.808,40394491.3645287,62506.6764172905
43,E06000045,Southampton, ,442303,113700,-1.39952,50.9212,49880646.3647995,61544.0619572362
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.67129,379614785.758991,210106.29941009
45,E06000047,County Durham, ,410381,532242,-1.8405,54.68513,2231459817.94682,314911.224386944
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.16793,1166357379.55325,301225.377394864
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.16336,920017992.227188,335615.350047188
48,E06000051,Shropshire, ,350227,302960,-2.73667,52.62212,3197275381.12701,580650.678546698
49,E06000052,Cornwall, ,212497,64493,-4.64254,50.45022,3548934061.3079,1241482.93644071
50,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.92332,16332665.4138643,116282.009689783
51,E06000054,Wiltshire, ,405209,158863,-1.92661,51.32883,3255338123.71702,402006.968203754
52,E06000055,Bedford, ,505721,256463,-0.45463,52.19628,476408299.165596,131721.268581354
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.99903,715665302.20034,232692.717694514
54,E06000057,Northumberland, ,395322,600699,-2.07523,55.30037,5030751708.14143,601230.810060573
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94066,-1.84807,50.74609,162070065.513142,169172.238128128
56,E06000059,Dorset, ,370871,99796,-2.41467,50.79697,2490956587.49797,594358.35000352
57,E06000060,Buckinghamshire,,482506,208561,-0.80569,51.76966,1564949144.27444,361853.598103104
58,E07000008,Cambridge, ,545420,257901,0.126436,52.20017,40698794.9378357,37170.4431684224
59,E07000009,East Cambridgeshire, ,555576,275765,0.283149,52.35788,651286023.596588,234187.982641903
60,E07000010,Fenland, ,536361,294959,0.009016,52.53544,546450057.39743,187882.168085419
61,E07000011,Huntingdonshire, ,521008,274269,-0.2247,52.35315,912455239.158745,223338.133370289
62,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.10805,901624810.460724,257078.232674115
63,E07000026,Allerdale, ,317520,532997,-3.2809,54.68524,1258291719.61417,326945.35689251
64,E07000027,Barrow-in-Furness, ,321741,474165,-3.1999,54.15731,77897001.8654633,146480.186634252
65,E07000028,Carlisle, ,348576,565154,-2.80498,54.97833,1038300028.98418,278415.523023174
66,E07000029,Copeland, ,310871,508739,-3.37664,54.46617,737631222.40834,252311.6869998
67,E07000030,Eden, ,359636,526396,-2.62678,54.63107,2156474495.37575,268725.444007917
68,E07000031,South Lakeland, ,349265,489555,-2.78108,54.29908,1554923591.81802,381861.979487717
69,E07000032,Amber Valley, ,436166,348084,-1.46219,53.02884,265437867.658676,109036.520389866
70,E07000033,Bolsover, ,448666,371548,-1.27228,53.23875,160334649.783722,96239.2025655061
71,E07000034,Chesterfield, ,440049,373359,-1.40115,53.25575,66035290.6851349,52617.7672509432
72,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.12326,795318063.283791,245475.846641527
73,E07000036,Erewash, ,443721,338063,-1.3509,52.9382,109630046.234665,73547.5600218709
74,E07000037,High Peak, ,410474,387660,-1.84398,53.38569,540253999.811874,159632.998758142
75,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.16243,275623524.396667,161243.879502128
76,E07000039,South Derbyshire, ,431443,325363,-1.5348,52.8249,338126970.261383,166693.264756748
77,E07000040,East Devon, ,313790,96050,-3.22359,50.7576,814227311.153116,219544.921202019
78,E07000041,Exeter, ,293239,92005,-3.51368,50.71782,47033052.7919159,50238.5061138254
79,E07000042,Mid Devon, ,288064,108911,-3.59212,50.86882,912897719.729147,246408.793542254
80,E07000043,North Devon, ,265110,132532,-3.92691,51.07621,1085857679.3049,308999.636077937
81,E07000044,South Hams, ,270676,54036,-3.81996,50.37195,886509462.57198,478388.611164491
82,E07000045,Teignbridge, ,283144,80205,-3.65289,50.60981,673770656.969179,191464.02785335
83,E07000046,Torridge, ,244206,114334,-4.21728,50.90739,985293648.563044,315627.907057768
84,E07000047,West Devon, ,256376,86999,-4.03361,50.66489,1161107060.90437,254068.377875136
85,E07000061,Eastbourne, ,559339,99575,0.258516,50.77387,44161432.4838181,38032.2810407959
86,E07000062,Hastings, ,581528,110694,0.578395,50.86724,29796091.996479,34102.1075516755
87,E07000063,Lewes, ,541474,105686,0.007671,50.83341,292106798.641685,168359.913078748
88,E07000064,Rother, ,578721,119666,0.542937,50.94871,511753820.137012,180531.964127629
89,E07000065,Wealden, ,555048,117180,0.205156,50.93322,834948417.645164,225878.103797447
90,E07000066,Basildon, ,571548,190848,0.475055,51.59036,110001023.654617,85631.2104981443
91,E07000067,Braintree, ,577253,227335,0.575911,51.91634,611707973.504532,168686.435910163
92,E07000068,Brentwood, ,558560,196070,0.290091,51.64108,153124048.30471,72339.4999846342
93,E07000069,Castle Point, ,579490,187920,0.588084,51.56159,44673525.2907104,163452.23141536
94,E07000070,Chelmsford, ,572116,206972,0.491177,51.73503,342227520.457054,126395.550324625
95,E07000071,Colchester, ,596944,223693,0.859777,51.87702,332325214.70285,318168.311412226
96,E07000072,Epping Forest, ,548919,203758,0.154147,51.71279,338984123.905182,123273.197785467
97,E07000073,Harlow, ,545276,209589,0.103888,51.76614,30537916.289032,28515.4568027146
98,E07000074,Maldon, ,591413,212072,0.773106,51.77458,357815660.3106,469757.895285972
99,E07000075,Rochford, ,585979,191417,0.683442,51.5909,167274180.771774,232955.632621145
100,E07000076,Tendring, ,614190,222141,1.108981,51.85674,336295380.411949,442501.365025431
101,E07000077,Uttlesford, ,557832,228865,0.294485,51.93592,641182922.73539,166507.865260072
102,E07000078,Cheltenham, ,394925,222232,-2.07515,51.89861,46596069.2173843,38231.0639602267
103,E07000079,Cotswold, ,402125,208209,-1.97059,51.77255,1164524415.18058,332445.324069324
104,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.81249,525899257.725487,190005.278236892
105,E07000081,Gloucester, ,384071,216449,-2.23263,51.84641,40553089.2745819,33539.6843710176
106,E07000082,Stroud, ,378807,202410,-2.30818,51.72001,460541975.213142,172782.192867585
107,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.93485,414414321.091774,204835.933707647
108,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.25937,633817172.00264,143437.384228917
109,E07000085,East Hampshire, ,474404,129237,-0.93971,51.05765,514432074.86327,144540.791479266
110,E07000086,Eastleigh, ,447202,116802,-1.32943,50.94872,79678662.3917503,75889.8885924889
111,E07000087,Fareham, ,453774,106319,-1.23742,50.85388,74256780.7455902,66342.6511269314
112,E07000088,Gosport, ,458769,101088,-1.16731,50.80636,25373863.8126488,40199.047390281
113,E07000089,Hart, ,477985,154240,-0.88321,51.28197,215265080.341194,77847.8295539031
114,E07000090,Havant, ,470178,108564,-1.00398,50.87231,55739600.0495796,115626.17029891
115,E07000091,New Forest, ,428748,106521,-1.59293,50.85748,752175262.268353,332044.023198835
116,E07000092,Rushmoor, ,486022,153944,-0.76807,51.27815,39045039.7608566,31893.0015033179
117,E07000093,Test Valley, ,434930,137329,-1.50214,51.13417,627595190.718628,190816.352698024
118,E07000094,Winchester, ,453115,125901,-1.24393,51.03002,660970090.904594,172158.212213579
119,E07000095,Broxbourne, ,534742,204251,-0.05073,51.7208,51442303.5951157,39068.7457937671
120,E07000096,Dacorum, ,500084,208745,-0.55098,51.76845,212476397.683411,110103.830872473
121,E07000098,Hertsmere, ,519774,199352,-0.26899,51.68017,101128162.74398,61228.1638486128
122,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.95738,375382315.818092,168316.826377509
123,E07000102,Three Rivers, ,507313,196418,-0.45005,51.65632,88824172.1165085,74112.6323982523
124,E07000103,Watford, ,510441,198197,-0.40429,51.6717,21430351.4039917,26392.3637917563
125,E07000105,Ashford, ,597640,140644,0.823374,51.13096,580617312.65593,149446.491111581
126,E07000106,Canterbury, ,616032,158096,1.096342,51.28102,308752567.217728,134481.878863405
127,E07000107,Dartford, ,556167,172917,0.245276,51.43373,72725577.0930023,57309.4061272109
128,E07000108,Dover, ,628964,150942,1.276887,51.21176,315337967.025993,148160.889608644
129,E07000109,Gravesham, ,566969,169114,0.398744,51.39649,98991345.0272446,60516.799156089
130,E07000110,Maidstone, ,580489,151670,0.584061,51.23566,393329520.923592,122980.730512035
131,E07000111,Sevenoaks, ,552776,155218,0.188936,51.27563,370346872.084991,134435.514922542
132,E07000112,Folkestone and Hythe, ,610318,134595,1.000795,51.07213,356921037.577881,148969.584540585
133,E07000113,Swale, ,593583,161818,0.776893,51.32251,373436671.264297,347838.123543425
134,E07000114,Thanet, ,631839,166752,1.328226,51.35252,103609165.852509,65350.7692378741
135,E07000115,Tonbridge and Malling, ,564014,153898,0.349306,51.26064,240114268.776772,133211.401830683
136,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.10254,331328854.676559,150590.455017113
137,E07000117,Burnley, ,384886,430882,-2.2308,53.77406,110684000.23999,57764.5705752294
138,E07000118,Chorley, ,359189,419724,-2.61921,53.6724,202762137.791382,114515.91905975
139,E07000119,Fylde, ,339554,433811,-2.91914,53.79709,165696809.26857,138118.575679066
140,E07000120,Hyndburn, ,374407,428971,-2.38964,53.75648,72997474.3942413,42655.4911054249
141,E07000121,Lancaster, ,356896,464988,-2.6603,54.07901,566935933.4991,345349.753588738
142,E07000122,Pendle, ,387637,443368,-2.18957,53.88636,169380092.197495,79243.8077162668
143,E07000123,Preston, ,352825,436432,-2.71809,53.82202,142284180.476227,82804.9719060606
144,E07000124,Ribble Valley, ,372687,447676,-2.4174,53.9245,584471489.092773,150499.986105046
145,E07000125,Rossendale, ,382827,420955,-2.26149,53.68478,138040909.285782,71149.8048128719
146,E07000126,South Ribble, ,352017,425840,-2.72871,53.72675,113141865.943283,105352.200645433
147,E07000127,West Lancashire, ,342611,413270,-2.86893,53.61283,346632973.146576,227324.791251255
148,E07000128,Wyre, ,347295,445159,-2.80359,53.89991,282164815.237427,212730.866956259
149,E07000129,Blaby, ,454385,297994,-1.19887,52.57706,130468676.86573,100819.966891319
150,E07000130,Charnwood, ,458365,316155,-1.13694,52.7399,279042271.327164,115474.39092268
151,E07000131,Harborough, ,474549,293875,-0.90229,52.53766,592692049.69767,185950.911968039
152,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41755,52.60877,297351486.799583,111546.302486751
153,E07000133,Melton, ,477328,323472,-0.8544,52.80329,481380515.19165,140629.640964373
154,E07000134,North West Leicestershire, ,439111,316252,-1.42209,52.7425,279328072.743774,116453.203897831
155,E07000135,Oadby and Wigston, ,461543,299379,-1.093,52.58875,23526096.6869583,31172.0311908166
156,E07000136,Boston, ,526851,343953,-0.11218,52.97794,364889918.61557,156197.447302869
157,E07000137,East Lindsey, ,534861,376064,0.020516,53.26446,1766773253.82513,373207.484381735
158,E07000138,Lincoln, ,496347,370096,-0.55848,53.21921,35690272.5781708,32969.8765973622
159,E07000139,North Kesteven, ,502135,354788,-0.4767,53.08058,922471388.54306,181807.859532353
160,E07000140,South Holland, ,532909,322928,-0.03058,52.78758,750908591.673477,198138.771631415
161,E07000141,South Kesteven, ,501406,328986,-0.49565,52.84885,942585797.656952,209816.520260681
162,E07000142,West Lindsey, ,499314,390326,-0.50774,53.40044,1155731959.77597,249630.856354361
163,E07000143,Breckland, ,591015,303330,0.818716,52.59421,1305116639.16765,239527.75362879
164,E07000144,Broadland, ,619864,315909,1.252317,52.69622,552060636.329758,219128.240393652
165,E07000145,Great Yarmouth, ,646761,315881,1.64951,52.68439,174328762.873123,145971.266775876
166,E07000146,King's Lynn and West Norfolk, ,571219,315805,0.533243,52.71283,1439480389.44014,694956.727048649
167,E07000147,North Norfolk, ,611076,330857,1.132099,52.83389,967553236.501144,600214.34970625
168,E07000148,Norwich, ,622355,309773,1.284979,52.64013,39021966.3122101,52686.6307778265
169,E07000149,South Norfolk, ,628990,295823,1.373233,52.51218,907576579.764832,266872.668293848
170,E07000150,Corby, ,487862,290681,-0.7069,52.50697,80280903.1351471,66291.6315252914
171,E07000151,Daventry, ,467286,268437,-1.01447,52.30994,665600468.850784,181982.944966609
172,E07000152,East Northamptonshire, ,501344,287839,-0.5092,52.47909,509787257.634796,163229.120046975
173,E07000153,Kettering, ,483866,282852,-0.76773,52.43723,233489923.713371,100689.501131667
174,E07000154,Northampton, ,476495,260539,-0.88121,52.23775,80771938.7917023,46341.5244265946
175,E07000155,South Northamptonshire, ,463000,247077,-1.08129,52.11844,634023185.055504,225304.988901924
