Table 1: The number of deaths registered was above the five-year average in the majority of the English regions and Wales
"Number of deaths in Wales and the regions in England, registered week ending 2 October 2020"

Region name,"Number
of deaths","Five-year
average",Difference,"Percentage
above
average"
Wales,671,587,84,14.3
North East,558,493,65,13.2
South East,"1,577","1,471",106,7.2
West Midlands,"1,045",985,60,6.1
Yorkshire and the Humber,978,931,47,5.0
East,"1,054","1,007",47,4.7
East Midlands,842,813,29,3.6
London,899,890,9,1.0
North West,"1,301","1,301",0,0.0
South West,"1,003","1,050",-47,-4.5

Source: ,Office for National Statistics - Deaths registered weekly in England and Wales
Notes
1,Based on area of usual residence. Geographic boundaries are based on the most up-to-date information available at the time of publication.
2,Figures exclude deaths of non-residents.
3,Based on date a death was registered rather than occurred.
4,All figures for 2020 are provisional.
5,"The averages are based on the number of death registrations in each region, recorded for each corresponding week over the previous five years. Moveable public holidays, when register offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years."
