areaType,areaName,areaCode,date,plannedCapacityByPublishDate,capacityPillarOne,capacityPillarTwo,capacityPillarThree,capacityPillarFour
overview,United Kingdom,K02000001,2021-01-07,899482,191882,586500,120000,1100
overview,United Kingdom,K02000001,2021-01-06,889982,191882,577000,120000,1100
overview,United Kingdom,K02000001,2021-01-05,895338,191788,582450,120000,1100
overview,United Kingdom,K02000001,2021-01-04,882052,191694,569258,120000,1100
overview,United Kingdom,K02000001,2021-01-03,874853,190906,562847,120000,1100
overview,United Kingdom,K02000001,2021-01-02,879104,191304,566700,120000,1100
overview,United Kingdom,K02000001,2021-01-01,831106,191506,518500,120000,1100
overview,United Kingdom,K02000001,2020-12-31,841846,191696,529050,120000,1100
overview,United Kingdom,K02000001,2020-12-30,842614,191964,529550,120000,1100
overview,United Kingdom,K02000001,2020-12-29,859214,191964,546150,120000,1100
overview,United Kingdom,K02000001,2020-12-28,876506,191306,564100,120000,1100
overview,United Kingdom,K02000001,2020-12-27,869722,191122,557500,120000,1100
overview,United Kingdom,K02000001,2020-12-26,840316,191216,528000,120000,1100
overview,United Kingdom,K02000001,2020-12-25,821406,191306,509000,120000,1100
overview,United Kingdom,K02000001,2020-12-24,841071,191871,528100,120000,1100
overview,United Kingdom,K02000001,2020-12-23,832364,191964,519300,120000,1100
overview,United Kingdom,K02000001,2020-12-22,836214,188964,526150,120000,1100
overview,United Kingdom,K02000001,2020-12-21,803994,188494,494400,120000,1100
overview,United Kingdom,K02000001,2020-12-20,784650,188050,475500,120000,1100
overview,United Kingdom,K02000001,2020-12-19,767736,181336,465300,120000,1100
overview,United Kingdom,K02000001,2020-12-18,693880,181780,391000,120000,1100
overview,United Kingdom,K02000001,2020-12-17,705380,181780,402500,120000,1100
overview,United Kingdom,K02000001,2020-12-16,670580,181780,367700,120000,1100
overview,United Kingdom,K02000001,2020-12-15,655064,181780,352184,120000,1100
overview,United Kingdom,K02000001,2020-12-14,673910,181310,371500,120000,1100
overview,United Kingdom,K02000001,2020-12-13,663466,180866,361500,120000,1100
overview,United Kingdom,K02000001,2020-12-12,663936,181336,361500,120000,1100
overview,United Kingdom,K02000001,2020-12-11,658263,180663,356500,120000,1100
overview,United Kingdom,K02000001,2020-12-10,658078,181078,355900,120000,1100
overview,United Kingdom,K02000001,2020-12-09,673286,181686,370500,120000,1100
overview,United Kingdom,K02000001,2020-12-08,680786,181686,378000,120000,1100
overview,United Kingdom,K02000001,2020-12-07,682816,177716,384000,120000,1100
overview,United Kingdom,K02000001,2020-12-06,677060,177460,378500,120000,1100
overview,United Kingdom,K02000001,2020-12-05,683209,177836,384000,120000,1373
overview,United Kingdom,K02000001,2020-12-04,685132,178039,382550,120000,4543
overview,United Kingdom,K02000001,2020-12-03,703338,177998,400100,120000,5240
overview,United Kingdom,K02000001,2020-12-02,703549,178187,400100,120000,5262
overview,United Kingdom,K02000001,2020-12-01,704060,178187,399950,120000,5923
overview,United Kingdom,K02000001,2020-11-30,695495,178165,390250,120000,7080
overview,United Kingdom,K02000001,2020-11-29,662259,177909,363250,120000,1100
overview,United Kingdom,K02000001,2020-11-28,657362,177337,358925,120000,1100
overview,United Kingdom,K02000001,2020-11-27,655426,178226,356100,120000,1100
overview,United Kingdom,K02000001,2020-11-26,654900,178200,355600,120000,1100
overview,United Kingdom,K02000001,2020-11-25,655225,178200,355925,120000,1100
overview,United Kingdom,K02000001,2020-11-24,649225,178200,349925,120000,1100
overview,United Kingdom,K02000001,2020-11-23,646956,176431,349425,120000,1100
overview,United Kingdom,K02000001,2020-11-22,657006,175981,359925,120000,1100
overview,United Kingdom,K02000001,2020-11-21,659188,176663,361425,120000,1100
overview,United Kingdom,K02000001,2020-11-20,658426,176901,360425,120000,1100
overview,United Kingdom,K02000001,2020-11-19,658871,176971,360800,120000,1100
overview,United Kingdom,K02000001,2020-11-18,657571,176971,359500,120000,1100
overview,United Kingdom,K02000001,2020-11-17,650791,177891,351800,120000,1100
overview,United Kingdom,K02000001,2020-11-16,640517,177417,342000,120000,1100
overview,United Kingdom,K02000001,2020-11-15,625695,176995,327600,120000,1100
overview,United Kingdom,K02000001,2020-11-14,635518,176418,338000,120000,1100
overview,United Kingdom,K02000001,2020-11-13,641235,176735,343400,120000,1100
overview,United Kingdom,K02000001,2020-11-12,641051,176651,343300,120000,1100
overview,United Kingdom,K02000001,2020-11-11,640057,176557,342400,120000,1100
overview,United Kingdom,K02000001,2020-11-10,632551,176651,334800,120000,1100
overview,United Kingdom,K02000001,2020-11-09,625591,176591,327900,120000,1100
overview,United Kingdom,K02000001,2020-11-08,639057,175457,342500,120000,1100
overview,United Kingdom,K02000001,2020-11-07,648861,175761,352000,120000,1100
overview,United Kingdom,K02000001,2020-11-06,651146,176446,353600,120000,1100
overview,United Kingdom,K02000001,2020-11-05,651212,176468,352800,120000,1944
overview,United Kingdom,K02000001,2020-11-04,649345,176468,347000,120000,5877
overview,United Kingdom,K02000001,2020-11-03,647467,176418,347450,120000,3599
overview,United Kingdom,K02000001,2020-11-02,642116,176334,337000,120000,8782
overview,United Kingdom,K02000001,2020-11-01,640870,173007,336000,120000,11863
overview,United Kingdom,K02000001,2020-10-31,646382,172789,346500,120000,7093
overview,United Kingdom,K02000001,2020-10-30,599541,173392,299200,120000,6949
overview,United Kingdom,K02000001,2020-10-29,602061,167879,301100,120000,13082
overview,United Kingdom,K02000001,2020-10-28,588612,161869,297200,120000,9543
overview,United Kingdom,K02000001,2020-10-27,560641,137574,295900,120000,7167
overview,United Kingdom,K02000001,2020-10-26,566823,134112,293200,120000,19511
overview,United Kingdom,K02000001,2020-10-25,499096,83164,281000,120000,14932
overview,United Kingdom,K02000001,2020-10-24,495439,83246,278000,120000,14193
overview,United Kingdom,K02000001,2020-10-23,490248,83668,273000,120000,13580
overview,United Kingdom,K02000001,2020-10-22,482673,83574,264100,120000,14999
overview,United Kingdom,K02000001,2020-10-21,501149,83108,284000,120000,14041
overview,United Kingdom,K02000001,2020-10-20,494633,83574,281000,120000,10059
overview,United Kingdom,K02000001,2020-10-19,483221,83220,276000,120000,4001
