areaType,areaName,areaCode,date,newPillarOneTestsByPublishDate,newPillarTwoTestsByPublishDate,newPillarThreeTestsByPublishDate,newPillarFourTestsByPublishDate,newTestsByPublishDate,cumPillarOneTestsByPublishDate,cumPillarTwoTestsByPublishDate,cumPillarThreeTestsByPublishDate,cumPillarFourTestsByPublishDate,cumTestsByPublishDate
overview,United Kingdom,K02000001,2022-05-19,,,497,12362,,,,4726045,15007969,
overview,United Kingdom,K02000001,2022-05-18,54812,149372,536,12644,217364,59936726,442868595,4725548,14995607,522526476
overview,United Kingdom,K02000001,2022-05-17,62070,156714,513,7363,226660,59881914,442708043,4724685,14982963,522297605
overview,United Kingdom,K02000001,2022-05-16,65814,218507,405,7533,292259,59819844,442536740,4724172,14975600,522056356
overview,United Kingdom,K02000001,2022-05-15,42910,116263,662,10855,170690,59754030,442303153,4723767,14968067,521749017
overview,United Kingdom,K02000001,2022-05-14,44835,110135,180,10855,166005,59711120,442186890,4723105,14957212,521578327
overview,United Kingdom,K02000001,2022-05-13,64077,174142,82,11482,249783,59666285,442076755,4722925,14946357,521412322
overview,United Kingdom,K02000001,2022-05-12,54050,183577,670,11775,250072,59566468,441888577,4722843,14934875,521112763
overview,United Kingdom,K02000001,2022-05-11,57549,169923,615,13375,241462,59495350,441692628,4722173,14923100,520833251
overview,United Kingdom,K02000001,2022-05-10,66434,175449,465,8897,251245,59437801,441508902,4721357,14909725,520577785
overview,United Kingdom,K02000001,2022-05-09,69623,234189,384,7798,311994,59321518,441317149,4720892,14900828,520260387
overview,United Kingdom,K02000001,2022-05-08,49562,128323,160,9937,187982,59251895,441066327,4720225,14893030,519931477
overview,United Kingdom,K02000001,2022-05-07,49507,128541,272,9853,188173,59202333,440938004,4720065,14883093,519743495
overview,United Kingdom,K02000001,2022-05-06,61748,186807,1157,12248,261960,59152826,440809463,4719793,14873240,519555322
overview,United Kingdom,K02000001,2022-05-05,60656,208167,751,13150,282724,59091078,440606334,4718636,14860992,519277040
overview,United Kingdom,K02000001,2022-05-04,70784,200437,707,10245,282173,59015635,440383752,4717885,14847842,518965114
overview,United Kingdom,K02000001,2022-05-03,74799,231187,543,7649,314178,58944851,440166000,4717063,14837597,518665511
overview,United Kingdom,K02000001,2022-05-02,55341,188812,136,12482,256771,58870052,439914153,4716520,14807410,518308135
overview,United Kingdom,K02000001,2022-05-01,48023,139114,168,9210,196515,58814711,439725341,4716384,14794928,518051364
overview,United Kingdom,K02000001,2022-04-30,46234,146975,360,10941,204510,58766688,439586227,4716216,14785718,517854849
overview,United Kingdom,K02000001,2022-04-29,55573,211136,625,12403,279737,58720454,439439252,4715856,14774777,517650339
overview,United Kingdom,K02000001,2022-04-28,62227,238402,692,14483,315804,58664881,439210591,4715231,14762374,517353077
overview,United Kingdom,K02000001,2022-04-27,68080,230056,576,14039,312751,58577875,438955465,4714539,14747891,516995770
overview,United Kingdom,K02000001,2022-04-26,82913,236917,812,10545,331187,58509795,438708810,4713470,14733852,516665927
overview,United Kingdom,K02000001,2022-04-25,76639,296537,494,12445,386115,58426882,438451767,4712658,14667040,516258347
overview,United Kingdom,K02000001,2022-04-24,49787,181605,162,13456,245010,58350243,438133152,4712164,14654595,515850154
overview,United Kingdom,K02000001,2022-04-23,51237,185650,255,13407,250549,58300456,437951547,4712002,14641137,515605142
overview,United Kingdom,K02000001,2022-04-22,59771,253176,886,16075,329908,58249219,437765897,4711747,14627730,515354593
overview,United Kingdom,K02000001,2022-04-21,66256,276805,1199,17429,361689,58189448,437492871,4710861,14611655,515004835
overview,United Kingdom,K02000001,2022-04-20,73039,274412,896,13373,361720,58099146,437197437,4709662,14594226,514600471
overview,United Kingdom,K02000001,2022-04-19,86599,300600,642,5516,393357,58026107,436901451,4708384,14580853,514216795
overview,United Kingdom,K02000001,2022-04-18,70332,265208,161,202,335903,57939508,436573819,4707742,14544387,513765456
overview,United Kingdom,K02000001,2022-04-17,49701,200078,283,10893,260955,57841419,436308611,4707581,14544095,513401706
overview,United Kingdom,K02000001,2022-04-16,45594,200108,352,12112,258166,57791718,436108533,4707298,14533127,513140676
overview,United Kingdom,K02000001,2022-04-15,46758,241177,413,13239,301587,57746124,435908425,4706946,14521015,512882510
overview,United Kingdom,K02000001,2022-04-14,58028,318499,1087,16008,393622,57699366,435667248,4706533,14507776,512580923
overview,United Kingdom,K02000001,2022-04-13,70297,329049,825,17716,417887,57641338,435325191,4705446,14491768,512163743
overview,United Kingdom,K02000001,2022-04-12,77239,329234,969,8752,416194,57571041,434972830,4704195,14474052,511722118
overview,United Kingdom,K02000001,2022-04-11,86352,376964,753,9616,473685,57493802,434616185,4703226,14465300,511278513
overview,United Kingdom,K02000001,2022-04-10,58472,255846,247,11774,326339,57407630,434209371,4702473,14455684,510775158
overview,United Kingdom,K02000001,2022-04-09,60211,276754,454,9337,346756,57349158,433953525,4702226,14443852,510448761
overview,United Kingdom,K02000001,2022-04-08,69034,364764,1128,12403,447329,57288947,433676771,4701772,14434515,510102005
overview,United Kingdom,K02000001,2022-04-07,75472,395892,1276,13150,485790,57219913,433284456,4700644,14422112,509627125
overview,United Kingdom,K02000001,2022-04-06,87329,428394,1396,12913,530032,57131106,432858381,4695750,14408962,509094199
overview,United Kingdom,K02000001,2022-04-05,94385,435447,1055,9323,540210,57021648,432399023,4693884,14396049,508510604
