Date,DailyCases,CumulativeCases,Deaths
20200228,1,2,0
20200229,0,2,0
20200301,2,4,0
20200302,1,5,0
20200303,3,8,0
20200304,6,14,0
20200305,2,16,0
20200306,6,22,0
20200307,5,27,0
20200308,3,30,0
20200309,16,46,0
20200310,21,67,0
20200311,25,92,0
20200312,38,130,1
20200313,48,178,1
20200314,19,197,3
20200315,12,209,3
20200316,21,230,4
20200317,42,272,6
20200318,42,314,6
20200319,50,364,9
20200320,84,448,14
20200321,67,515,20
20200322,74,589,25
20200323,136,725,29
20200324,165,890,36
20200325,190,1080,47
20200326,221,1301,59
20200327,272,1573,70
20200328,204,1777,99
20200329,197,1974,119
20200330,317,2291,149
20200331,341,2632,187
20200401,385,3017,233
20200402,355,3372,269
20200403,381,3753,327
20200404,260,4013,355
20200405,225,4238,402
20200406,404,4642,465
20200407,351,4993,514
20200408,343,5336,568
20200409,304,5640,634
20200410,329,5969,692
20200411,182,6151,743
20200412,220,6371,791
20200413,359,6730,832
20200414,346,7076,883
20200415,331,7407,925
20200416,428,7835,968
20200417,394,8229,1006
20200418,264,8493,1058
20200419,159,8652,1104
20200420,348,9000,1165
20200421,400,9400,1216
20200422,340,9740,1262
20200423,313,10053,1311
20200424,306,10359,1349
20200425,184,10543,1397
20200426,171,10714,1440
20200427,434,11148,1500
20200428,383,11531,1541
20200429,431,11962,1579
20200430,337,12299,1622
20200501,375,12674,1670
20200502,222,12896,1714
20200503,197,13093,1751
20200504,333,13426,1791
20200505,288,13714,1841
20200506,307,14021,1884
20200507,297,14318,1924
20200508,257,14575,1958
20200509,180,14755,1992
20200510,153,14908,2020
20200511,264,15172,2052
20200512,231,15403,2083
20200513,198,15601,2125
20200514,211,15812,2160
20200515,151,15963,2186
20200516,103,16066,2215
20200517,93,16159,2241
20200518,141,16300,2264
20200519,182,16482,2292
20200520,121,16603,2314
20200521,111,16714,2338
20200522,91,16805,2355
20200523,50,16855,2366
20200524,53,16908,2374
20200525,96,17004,2388
20200526,478,17482,2402
20200527,66,17548,2418
20200528,55,17603,2434
20200529,30,17633,2445
20200530,40,17673,2451
20200531,23,17696,2457
20200601,38,17734,2460
20200602,46,17780,2466
20200603,34,17814,2474
20200604,35,17849,2475
20200605,24,17873,2484
20200606,22,17895,2487
20200607,17,17912,2494
20200608,18,17930,2500
20200609,27,17957,2501
20200610,29,17986,2506
20200611,21,18007,2508
20200612,30,18037,2510
20200613,22,18059,2513
20200614,13,18072,2517
20200615,21,18093,2520
20200616,17,18110,2526
20200617,33,18143,2529
20200618,14,18157,2532
20200619,24,18181,2532
20200620,6,18187,2535
20200621,9,18196,2537
20200622,10,18206,2540
20200623,20,18226,2541
20200624,8,18234,2542
20200625,19,18253,2542
20200626,6,18259,2542
20200627,4,18263,2546
20200628,3,18266,2547
20200629,14,18280,2548
20200630,8,18288,2548
20200701,11,18299,2548
20200702,13,18312,2548
20200703,6,18318,2549
20200704,5,18323,2549
20200705,2,18325,2550
20200706,8,18333,2550
20200707,11,18344,2550
20200708,10,18354,2550
20200709,8,18362,2550
20200710,12,18374,2550
20200711,9,18383,2550
20200712,2,18385,2550
20200713,18,18403,2550
20200714,10,18413,2550
20200715,16,18429,2550
20200716,21,18450,2550
20200717,8,18458,2550
20200718,13,18471,2550
20200719,17,18488,2550
20200720,13,18501,2550
20200721,19,18520,2550
20200722,16,18536,2550
20200723,23,18559,2550
20200724,11,18570,2550
20200725,3,18573,2551
20200726,7,18580,2551
20200727,13,18593,2551
20200728,22,18615,2551
20200729,28,18643,2551
20200730,27,18670,2551
20200731,21,18691,2551
20200801,22,18713,2551
20200802,19,18732,2551
20200803,60,18792,2551
20200804,57,18849,2551
20200805,64,18913,2551
20200806,62,18975,2551
20200807,46,19021,2551
20200808,27,19048,2551
20200809,26,19074,2551
20200810,57,19131,2551
20200811,64,19195,2551
20200812,48,19243,2551
20200813,52,19295,2551
20200814,50,19345,2551
20200815,20,19365,2551
20200816,30,19395,2551
20200817,72,19467,2551
20200818,77,19544,2551
20200819,91,19635,2552
20200820,140,19775,2552
20200821,90,19865,2552
20200822,47,19912,2553
20200823,65,19977,2554
20200824,60,20037,2554
20200825,69,20106,2554
20200826,97,20203,2554
20200827,99,20302,2554
20200828,104,20406,2555
20200829,95,20501,2555
20200830,102,20603,2555
20200831,144,20747,2555
20200901,199,20946,2555
20200902,191,21137,2556
20200903,200,21337,2557
20200904,171,21508,2558
20200905,136,21644,2558
20200906,153,21797,2558
20200907,167,21964,2558
20200908,102,22066,2558
20200909,222,22288,2558
20200910,216,22504,2558
20200911,210,22714,2558
20200912,207,22921,2558
20200913,166,23087,2559
20200914,177,23264,2562
20200915,227,23491,2562
20200916,268,23759,2562
20200917,254,24013,2563
20200918,269,24282,2565
20200919,232,24514,2565
20200920,315,24829,2568
20200921,454,25283,2570
20200922,493,25776,2572
20200923,567,26343,2574
20200924,715,27058,2576
20200925,577,27635,2577
20200926,434,28069,2579
20200927,357,28426,2581
20200928,624,29050,2584
20200929,659,29709,2585
20200930,794,30503,2589
20201001,778,31281,2594
20201002,817,32098,2595
20201003,695,32793,2598
20201004,742,33535,2601
20201005,1099,34634,2603
20201006,1189,35823,2607
20201007,1252,37075,2616
20201008,1170,38245,2627
20201009,1095,39340,2633
20201010,938,40278,2644
20201011,957,41235,2655
20201012,1352,42587,2663
20201013,1420,44007,2675
20201014,1288,45295,2681
20201015,1292,46587,2697
20201016,1250,47837,2717
20201017,854,48691,2727
20201018,832,49523,2749
20201019,1354,50877,2765
20201020,1688,52565,2784
20201021,1578,54143,2795
20201022,1491,55634,2812
20201023,1280,56914,2830
20201024,948,57862,2850
20201025,937,58799,2873
20201026,1344,60143,2904
20201027,1301,61444,2920
20201028,1265,62709,2949
20201029,1098,63807,2978
20201030,1089,64896,3013
20201031,741,65637,3037
20201101,971,66608,3072
20201102,1474,68082,3101
20201103,1388,69470,3136
20201104,1300,70770,3155
20201105,1292,72062,3196
20201106,1131,73193,3223
20201107,837,74030,3260
20201108,873,74903,3296
20201109,1295,76198,3338
20201110,1285,77483,3374
20201111,1248,78731,3411
20201112,1194,79925,3443
20201113,1053,80978,3481
20201114,905,81883,3522
20201115,812,82695,3556
20201116,1274,83969,3589
20201117,1224,85193,3625
20201118,1111,86304,3649
20201119,980,87284,3674
20201120,858,88142,3704
20201121,762,88904,3737
20201122,706,89610,3773
20201123,1153,90763,3804
20201124,990,91753,3834
20201125,930,92683,3866
20201126,799,93482,3889
20201127,735,94217,3913
20201128,571,94788,3954
20201129,555,95343,3982
20201130,972,96315,4014
20201201,923,97238,4041
20201202,948,98186,4060
20201203,803,98989,4096
20201204,646,99635,4125
20201205,662,100297,4144
20201206,643,100940,4173
20201207,949,101889,4202
20201208,1040,102929,4230
