Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20201208,S92000003,Female,"",16 - 17,"",53579,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",16 - 17,"",53579,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",16 years and over,d,2354012,"",Dose 1,"",1515,"",0.1,"",1515,"",0.1,""
20201208,S92000003,Female,"",16 years and over,d,2354012,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",18 - 29,"",413185,"",Dose 1,"",166,"",0.0401757082178685,"",166,"",0.0401757082178685,""
20201208,S92000003,Female,"",18 - 29,"",413185,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",30 - 39,"",370019,"",Dose 1,"",295,"",0.0797256357105987,"",295,"",0.0797256357105987,""
20201208,S92000003,Female,"",30 - 39,"",370019,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",40 - 49,"",345328,"",Dose 1,"",389,"",0.112646527359496,"",389,"",0.112646527359496,""
20201208,S92000003,Female,"",40 - 49,"",345328,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",50 - 54,"",203758,"",Dose 1,"",231,"",0.113369781799978,"",231,"",0.113369781799978,""
20201208,S92000003,Female,"",50 - 54,"",203758,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",55 - 59,"",205996,"",Dose 1,"",270,"",0.131070506223422,"",270,"",0.131070506223422,""
20201208,S92000003,Female,"",55 - 59,"",205996,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",60 - 64,"",181868,"",Dose 1,"",130,"",0.0714804143664636,"",130,"",0.0714804143664636,""
20201208,S92000003,Female,"",60 - 64,"",181868,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",65 - 69,"",155904,"",Dose 1,"",27,"",0.0173183497536946,"",27,"",0.0173183497536946,""
20201208,S92000003,Female,"",65 - 69,"",155904,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",70 - 74,"",149920,"",Dose 1,"",5,"",0.00333511205976521,"",5,"",0.00333511205976521,""
20201208,S92000003,Female,"",70 - 74,"",149920,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",75 - 79,"",109004,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",75 - 79,"",109004,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",80 years and over,d,165451,"",Dose 1,"",2,"",0.00120881711201504,"",2,"",0.00120881711201504,""
20201208,S92000003,Female,"",80 years and over,d,165451,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",16 - 17,"",56560,"",Dose 1,"",1,"",0.00176803394625177,"",1,"",0.00176803394625177,""
20201208,S92000003,Male,"",16 - 17,"",56560,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",16 years and over,d,2195205,"",Dose 1,"",409,"",0,"",409,"",0,""
20201208,S92000003,Male,"",16 years and over,d,2195205,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",18 - 29,"",420762,"",Dose 1,"",37,"",0.00879356976152789,"",37,"",0.00879356976152789,""
20201208,S92000003,Male,"",18 - 29,"",420762,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",30 - 39,"",359716,"",Dose 1,"",86,"",0.0239077494467858,"",86,"",0.0239077494467858,""
20201208,S92000003,Male,"",30 - 39,"",359716,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",40 - 49,"",328962,"",Dose 1,"",114,"",0.0346544585696828,"",114,"",0.0346544585696828,""
20201208,S92000003,Male,"",40 - 49,"",328962,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",50 - 54,"",189355,"",Dose 1,"",65,"",0.0343270576430514,"",65,"",0.0343270576430514,""
20201208,S92000003,Male,"",50 - 54,"",189355,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",55 - 59,"",193348,"",Dose 1,"",51,"",0.0263773093075698,"",51,"",0.0263773093075698,""
20201208,S92000003,Male,"",55 - 59,"",193348,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",60 - 64,"",170701,"",Dose 1,"",39,"",0.0228469663329447,"",39,"",0.0228469663329447,""
20201208,S92000003,Male,"",60 - 64,"",170701,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",65 - 69,"",144529,"",Dose 1,"",11,"",0.00761092929446686,"",11,"",0.00761092929446686,""
20201208,S92000003,Male,"",65 - 69,"",144529,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",70 - 74,"",135910,"",Dose 1,"",3,"",0.00220734309469502,"",3,"",0.00220734309469502,""
20201208,S92000003,Male,"",70 - 74,"",135910,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",75 - 79,"",89206,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",75 - 79,"",89206,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",80 years and over,d,106156,"",Dose 1,"",2,"",0.00188401974452692,"",2,"",0.00188401974452692,""
20201208,S92000003,Male,"",80 years and over,d,106156,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,16 - 17,"",110139,"",Dose 1,"",1,"",0.000907943598543658,"",1,"",0.000907943598543658,""
20201208,S92000003,Total,d,16 - 17,"",110139,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,16 years and over,d,4549217,"",Dose 1,"",1924,"",0,"",1924,"",0,""
20201208,S92000003,Total,d,16 years and over,d,4549217,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,18 - 29,"",833947,"",Dose 1,"",203,"",0.0243420744963409,"",203,"",0.0243420744963409,""
20201208,S92000003,Total,d,18 - 29,"",833947,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,18 years and over,d,4439078,"",Dose 1,"",1923,"",0.0433198065003589,"",1923,"",0.0433198065003589,""
20201208,S92000003,Total,d,18 years and over,d,4439078,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,30 - 39,"",729735,"",Dose 1,"",381,"",0.0522107340335875,"",381,"",0.0522107340335875,""
20201208,S92000003,Total,d,30 - 39,"",729735,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,40 - 49,"",674290,"",Dose 1,"",503,"",0.074596983493749,"",503,"",0.074596983493749,""
20201208,S92000003,Total,d,40 - 49,"",674290,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,40 years and over,d,2875396,"",Dose 1,"",1339,"",0.0465674988766765,"",1339,"",0.0465674988766765,""
