Date,Country,JCVIPriorityGroup,Population,PopulationQF,Dose,CumulativeNumberVaccinated,CumulativePercentCoverage,CumulativePercentCoverageQF,AgeBand
20210311,S92000003,1 - All Care Home Residents,,:,Dose 1,32736,,z,All vaccinations
20210311,S92000003,1 - All Care Home Residents,,:,Dose 2,21671,,z,All vaccinations
20210311,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 1,27119,95.546630025015,,All vaccinations
20210311,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 2,19058,67.1458267272663,,All vaccinations
20210311,S92000003,1 - Care Home Staff,50000,,Dose 1,47083,94.166,,All vaccinations
20210311,S92000003,1 - Care Home Staff,50000,,Dose 2,27452,54.904,,All vaccinations
20210311,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,312075,,z,All vaccinations
20210311,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,100908,,z,All vaccinations
20210311,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,177096,79.4234382918418,,All vaccinations
20210311,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,73777,33.087269090534,,All vaccinations
20210311,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 1,163410,91.5000839912649,,All vaccinations
20210311,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 2,5194,2.90833753289658,,All vaccinations
20210312,S92000003,1 - All Care Home Residents,,:,Dose 1,32838,,z,All vaccinations
20210312,S92000003,1 - All Care Home Residents,,:,Dose 2,22331,,z,All vaccinations
20210312,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 1,27141,95.6241412112884,,All vaccinations
20210312,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 2,19594,69.0342810837473,,All vaccinations
20210312,S92000003,1 - Care Home Staff,50000,,Dose 1,47302,94.604,,All vaccinations
20210312,S92000003,1 - Care Home Staff,50000,,Dose 2,28687,57.374,,All vaccinations
20210312,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,313604,,z,All vaccinations
20210312,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,105201,,z,All vaccinations
20210312,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,177518,79.6126954798029,,All vaccinations
20210312,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,76548,34.3299981612453,,All vaccinations
20210312,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 1,163701,91.6630270451873,,All vaccinations
20210312,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 2,5498,3.0785598297777,,All vaccinations
20210313,S92000003,1 - All Care Home Residents,,:,Dose 1,32849,,z,All vaccinations
20210313,S92000003,1 - All Care Home Residents,,:,Dose 2,22428,,z,All vaccinations
20210313,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 1,27142,95.6276644470282,,All vaccinations
20210313,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 2,19676,69.323186414403,,All vaccinations
20210313,S92000003,1 - Care Home Staff,50000,,Dose 1,47368,94.736,,All vaccinations
20210313,S92000003,1 - Care Home Staff,50000,,Dose 2,29008,58.016,,All vaccinations
20210313,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,314438,,z,All vaccinations
20210313,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,108059,,z,All vaccinations
20210313,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,177745,79.714499701763,,All vaccinations
20210313,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,77912,34.9417204465034,,All vaccinations
20210313,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 1,163895,91.7716557478022,,All vaccinations
20210313,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 2,5622,3.14799260876869,,All vaccinations
20210314,S92000003,1 - All Care Home Residents,,:,Dose 1,32879,,z,All vaccinations
20210314,S92000003,1 - All Care Home Residents,,:,Dose 2,22486,,z,All vaccinations
20210314,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 1,27156,95.676989747384,,All vaccinations
20210314,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 2,19728,69.5063946728676,,All vaccinations
20210314,S92000003,1 - Care Home Staff,50000,,Dose 1,47738,95.476,,All vaccinations
20210314,S92000003,1 - Care Home Staff,50000,,Dose 2,29163,58.326,,All vaccinations
20210314,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,318125,,z,All vaccinations
20210314,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,109816,,z,All vaccinations
20210314,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,179126,80.3338460917494,,All vaccinations
20210314,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,78781,35.3314467411437,,All vaccinations
20210314,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 1,164113,91.8937230528025,,All vaccinations
20210314,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 2,5657,3.16759057058066,,All vaccinations
20210315,S92000003,1 - All Care Home Residents,,:,Dose 1,32941,,z,All vaccinations
20210315,S92000003,1 - All Care Home Residents,,:,Dose 2,23141,,z,All vaccinations
20210315,S92000003,1 - Care Home Residents - Older Adults,27537,,Dose 1,26424,95.9581653774921,,All vaccinations
20210315,S92000003,1 - Care Home Residents - Older Adults,27537,,Dose 2,20199,73.3522170171043,,All vaccinations
20210315,S92000003,1 - Care Home Staff,50000,,Dose 1,47965,95.93,,All vaccinations
20210315,S92000003,1 - Care Home Staff,50000,,Dose 2,30265,60.53,,All vaccinations
20210315,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,319369,,z,All vaccinations
20210315,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,115145,,z,All vaccinations
20210315,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,179491,80.4975401050333,,All vaccinations
20210315,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,81785,36.6786708943075,,All vaccinations
20210315,S92000003,4 - Clinically Extremely Vulnerable,177357,,Dose 1,163715,92.3081693984449,,All vaccinations
20210315,S92000003,4 - Clinically Extremely Vulnerable,177357,,Dose 2,6029,3.39935835630959,,All vaccinations
20210316,S92000003,1 - All Care Home Residents,,:,Dose 1,33019,,z,All vaccinations
20210316,S92000003,1 - All Care Home Residents,,:,Dose 2,23827,,z,All vaccinations
20210316,S92000003,1 - Care Home Residents - Older Adults,27531,,Dose 1,26451,96.0771493952272,,All vaccinations
20210316,S92000003,1 - Care Home Residents - Older Adults,27531,,Dose 2,20737,75.3223638807163,,All vaccinations
20210316,S92000003,1 - Care Home Staff,50000,,Dose 1,48246,96.492,,All vaccinations
20210316,S92000003,1 - Care Home Staff,50000,,Dose 2,31527,63.054,,All vaccinations
20210316,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,320987,,z,All vaccinations
20210316,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,123069,,z,All vaccinations
20210316,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,180017,80.7334388748615,,All vaccinations
20210316,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,86365,38.7326944034587,,All vaccinations
20210316,S92000003,4 - Clinically Extremely Vulnerable,177305,,Dose 1,163844,92.4079975184005,,All vaccinations
20210316,S92000003,4 - Clinically Extremely Vulnerable,177305,,Dose 2,6410,3.61523927695214,,All vaccinations
20210317,S92000003,1 - All Care Home Residents,,:,Dose 1,33152,,z,All vaccinations
20210317,S92000003,1 - All Care Home Residents,,:,Dose 2,24619,,z,All vaccinations
20210317,S92000003,1 - Care Home Residents - Older Adults,27362,,Dose 1,26316,96.1771800306995,,All vaccinations
20210317,S92000003,1 - Care Home Residents - Older Adults,27362,,Dose 2,21266,77.7209268328339,,All vaccinations
20210317,S92000003,1 - Care Home Staff,50000,,Dose 1,48539,97.078,,All vaccinations
20210317,S92000003,1 - Care Home Staff,50000,,Dose 2,32938,65.876,,All vaccinations
20210317,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,322320,,z,All vaccinations
20210317,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,129613,,z,All vaccinations
20210317,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,180552,80.9733739354283,,All vaccinations
20210317,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,90308,40.5010382236733,,All vaccinations
20210317,S92000003,4 - Clinically Extremely Vulnerable,177024,,Dose 1,163831,92.5473382140275,,All vaccinations
20210317,S92000003,4 - Clinically Extremely Vulnerable,177024,,Dose 2,6821,3.85314985538684,,All vaccinations
20210318,S92000003,1 - All Care Home Residents,,:,Dose 1,33218,,z,All vaccinations
20210318,S92000003,1 - All Care Home Residents,,:,Dose 2,25234,,z,All vaccinations
20210318,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 1,26329,96.2282080333321,,All vaccinations
20210318,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 2,21815,79.7302730163371,,All vaccinations
