Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20201208,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,0,"",0,"",All vaccinations
20201208,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Moderna (Spikevax),"",Dose 1,0,"",0,"",All vaccinations
20201208,S92000003,Moderna (Spikevax),"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,1916,"",1916,"",All vaccinations
20201208,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Total,"",Dose 1,1916,"",1916,"",All vaccinations
20201208,S92000003,Total,4439078,Dose 1,1915,0.0431395888966132,1915,0.0431395888966132,18 years and over
20201208,S92000003,Total,2875396,Dose 1,1334,0.0463936097845306,1334,0.0463936097845306,40 years and over
20201208,S92000003,Total,4549217,Dose 1,1916,0,1916,0,16 years and over
20201208,S92000003,Total,"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
20201208,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
20201208,S92000003,Total,4549217,Dose 2,0,0,0,0,16 years and over
20201209,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,0,"",0,"",All vaccinations
20201209,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Moderna (Spikevax),"",Dose 1,0,"",0,"",All vaccinations
20201209,S92000003,Moderna (Spikevax),"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,3847,"",5763,"",All vaccinations
20201209,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Total,"",Dose 1,3847,"",5763,"",All vaccinations
20201209,S92000003,Total,4439078,Dose 1,3847,0.0866621402011859,5762,0.129801729097799,18 years and over
20201209,S92000003,Total,2875396,Dose 1,2561,0.0890659929971385,3895,0.135459602781669,40 years and over
20201209,S92000003,Total,4549217,Dose 1,3847,0.1,5763,0.1,16 years and over
20201209,S92000003,Total,"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
