Date,HB,HBQF,HBName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210904,S08000015,"",NHS Ayrshire and Arran,423,31131,8459.740753824832,0,744,202.1794070491046,155685,42306.85616456969
20210904,S08000016,"",NHS Borders,84,6087,5282.0201318986465,1,122,105.86601874349184,44941,38997.74383894481
20210904,S08000017,"",NHS Dumfries and Galloway,167,8673,5848.674893789197,0,148,99.80443725133186,62252,41979.90424168858
20210904,S08000019,"",NHS Forth Valley,271,23605,7715.817343836826,0,484,158.20612558428397,141078,46114.470630536394
20210904,S08000020,"",NHS Grampian,423,29111,4971.565195115703,0,481,82.14499188796859,231399,39518.23072325165
20210904,S08000022,"",NHS Highland,266,14191,4422.801221716637,0,183,57.034220532319395,123715,38557.31471669887
20210904,S08000024,"",NHS Lothian,813,75852,8312.639042619645,3,1188,130.1932075967956,413020,45262.96178588258
20210904,S08000025,"",NHS Orkney,1,208,928.5714285714286,1,5,22.32142857142857,6439,28745.535714285714
20210904,S08000026,"",NHS Shetland,16,522,2282.4661128115436,0,10,43.72540445999125,9151,40013.117621337995
20210904,S08000028,"",NHS Western Isles,12,600,2264.1509433962265,0,13,49.056603773584904,8647,32630.188679245282
20210904,S08000029,"",NHS Fife,376,25761,6885.5745329163665,3,406,108.51842942292787,155789,41640.33891962687
20210904,S08000030,"",NHS Tayside,335,32248,7741.687672548314,1,639,153.4029528267915,177947,42719.241387588525
20210904,S08000031,"",NHS Greater Glasgow and Clyde,1894,133310,11247.511052613816,1,2343,197.6814822314468,542852,45801.01920286187
20210904,S08000032,"",NHS Lanarkshire,1071,74627,11273.641911898,1,1399,211.34207504985196,295262,44604.205692186835
20210904,S92000003,d,Scotland,6152,455926,8341.126966703256,11,8165,149.37797292352727,2368177,43325.59458470545
