Date,CA,CAName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210827,S12000005,Clackmannanshire,49,4167,8124.390719438487,0,95,185.2212906999415,25757,50218.36615324625
20210827,S12000006,Dumfries and Galloway,157,7636,5149.369478724122,0,147,99.1300829455796,60324,40679.74914019826
20210827,S12000008,East Ayrshire,101,10130,8330.592105263158,0,238,195.72368421052633,50851,41818.25657894737
20210827,S12000010,East Lothian,124,7240,6709.9165894346615,0,116,107.50695088044486,43515,40329.008341056535
20210827,S12000011,East Renfrewshire,164,8816,9177.597334998958,0,175,182.1778055382053,41285,42978.346866541746
20210827,S12000013,Na h-Eileanan Siar,9,540,2037.7358490566037,0,13,49.056603773584904,8244,31109.43396226415
20210827,S12000014,Falkirk,178,11082,6902.0926756352765,1,260,161.93323368211261,69687,43402.46636771301
20210827,S12000017,Highland,231,8358,3550.099817355477,0,108,45.873508049101645,84740,35993.71363037846
20210827,S12000018,Inverclyde,166,5696,7391.642875681287,0,154,199.84427718660785,33935,44037.113937191796
20210827,S12000019,Midlothian,145,7467,8016.10305958132,0,162,173.91304347826087,40198,43154.05260332796
20210827,S12000020,Moray,25,2776,2900.4283773900324,0,33,34.47915578309477,33787,35301.43140737645
20210827,S12000021,North Ayrshire,151,10422,7763.128491620112,0,281,209.31098696461825,52949,39440.59590316574
20210827,S12000023,Orkney Islands,1,191,852.6785714285714,0,4,17.857142857142858,6265,27968.749999999996
20210827,S12000026,Scottish Borders,92,5502,4774.383894481083,0,118,102.3950017355085,43141,37435.786185352306
20210827,S12000027,Shetland Islands,7,440,1923.9177962396152,0,10,43.72540445999125,8865,38762.571053782245
20210827,S12000028,South Ayrshire,122,7425,6621.187800963081,0,220,196.183342250758,46973,41887.81879793116
20210827,S12000029,South Lanarkshire,533,30125,9390.000623402531,0,662,206.34623776572533,138202,43077.73829561748
20210827,S12000030,Stirling,89,5833,6200.042517006803,0,124,131.80272108843536,41461,44069.94047619048
20210827,S12000033,Aberdeen City,170,13125,5729.939753776303,0,250,109.1417095957391,96424,42095.52082423819
20210827,S12000034,Aberdeenshire,145,10387,3983.050847457627,0,196,75.15913797070327,92881,35616.61170335149
20210827,S12000035,Argyll and Bute,113,3584,4195.247571110851,0,75,87.79117406063443,32368,37888.329626594874
20210827,S12000036,City of Edinburgh,705,39473,7481.331261134907,0,637,120.73082900572382,238790,45257.95079792275
20210827,S12000038,Renfrewshire,284,17839,9944.255532638384,0,382,212.94386532136684,80469,44857.01544121746
20210827,S12000039,West Dunbartonshire,151,8200,9282.318315598823,0,176,199.23024677382838,39417,44619.651347068146
20210827,S12000040,West Lothian,239,14022,7628.114459797627,0,260,141.44271570014143,72356,39362.419758459364
20210827,S12000041,Angus,81,6576,5677.775859091694,0,141,121.740632015196,46092,39796.235537903645
20210827,S12000042,Dundee City,160,14201,9542.400215024863,1,258,173.3637951888187,63317,42546.028759575325
20210827,S12000045,East Dunbartonshire,244,9512,8746.666666666666,0,202,185.7471264367816,46910,43135.63218390805
20210827,S12000047,Fife,393,22977,6141.448159730575,0,402,107.44928233501723,149559,39975.14233020608
20210827,S12000048,Perth and Kinross,85,8967,5902.837206240537,0,235,154.6968599828846,63573,41849.1211901784
20210827,S12000049,Glasgow City,976,68410,10762.381222075388,0,1231,193.66307973066517,281244,44245.799509156124
20210827,S12000050,North Lanarkshire,736,35755,10481.034179515742,2,726,212.81585272908484,146273,42877.704168376615
