Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,32,7.635245246463331
20200228,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,293,14.372319599183966
20200228,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,8,5.800758449167229
20200228,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,39,23.15185838186319
20200228,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,113,15.632262776953894
20200228,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,131,16.96517606226608
20200228,S92000003,Female,"",60+,"",0,0,0,0,0,0,64,8.397330173837855
20200228,S92000003,Female,"",65 to 74,"",0,0,0,0,0,0,28,9.15559275923407
20200228,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,4,2.083007863354684
20200228,S92000003,Female,"",85plus,"",0,0,0,0,0,0,2,2.426448286320898
20200228,S92000003,Female,"",Total,d,0,0,0,0,0,0,357,12.746412795256191
20200228,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,49,11.119154218130575
20200228,S92000003,Male,"",0 to 59,"",1,2,0.09907317049006543,0,0,0,300,14.860975573509815
20200228,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,7,4.854133294500267
20200228,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,15,8.655410785795894
20200228,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,120,16.938601803114164
20200228,S92000003,Male,"",45 to 64,"",1,2,0.2767093721464346,0,0,0,131,18.124463875591466
20200228,S92000003,Male,"",60+,"",0,0,0,0,0,0,58,8.97135662380008
20200228,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,32,11.410681110687172
20200228,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,4,2.676014878642725
20200228,S92000003,Male,"",Total,d,1,2,0.07504093482994974,0,0,0,358,13.432327334561004
20200228,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,81,9.420905104734876
20200228,S92000003,Total,d,0 to 59,"",1,2,0.049293245765525344,0,0,0,595,14.664740615243787
20200228,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,15,5.316886431305828
20200228,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,55,16.09340024286404
20200228,S92000003,Total,d,25 to 44,"",0,0,0,0,0,0,234,16.34871673053612
20200228,S92000003,Total,d,45 to 64,"",1,2,0.1337837385865748,0,0,0,262,17.5256697548413
20200228,S92000003,Total,d,60+,"",0,0,0,0,0,0,122,8.660780648692471
20200228,S92000003,Total,d,65 to 74,"",0,0,0,0,0,0,60,10.23431463353478
20200228,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,8,2.342564991537484
20200228,S92000003,Total,d,85plus,"",0,0,0,0,0,0,2,1.558712814957408
20200228,S92000003,Total,d,Total,d,1,2,0.03658982802780827,0,0,0,717,13.117453347969265
20200229,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,39,9.305455144127185
20200229,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,315,15.4514698762558
20200229,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,9,6.525853255313132
20200229,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,41,24.339133170676686
20200229,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,119,16.46229442882755
20200229,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,138,17.87171218773068
20200229,S92000003,Female,"",60+,"",0,0,0,0,0,0,73,9.578204729533804
20200229,S92000003,Female,"",65 to 74,"",0,0,0,0,0,0,32,10.463534581981794
20200229,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,7,3.645263760870697
20200229,S92000003,Female,"",85plus,"",0,0,0,0,0,0,3,3.6396724294813465
20200229,S92000003,Female,"",Total,d,0,0,0,0,0,0,388,13.853244158429698
20200229,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,61,13.842212393999286
20200229,S92000003,Male,"",0 to 59,"",0,2,0.09907317049006543,0,0,0,329,16.297536545615763
20200229,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,7,4.854133294500267
20200229,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,16,9.232438171515621
20200229,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,126,17.78553189326987
20200229,S92000003,Male,"",45 to 64,"",0,2,0.2767093721464346,0,0,0,142,19.646365422396855
20200229,S92000003,Male,"",60+,"",0,0,0,0,0,0,67,10.363463686113887
20200229,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,37,13.193600034232045
20200229,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,6,4.014022317964088
20200229,S92000003,Male,"",85plus,"",0,0,0,0,0,0,1,2.1793139519679205
20200229,S92000003,Male,"",Total,d,0,2,0.07504093482994974,0,0,0,396,14.858105096330048
20200229,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,100,11.630747042882565
20200229,S92000003,Total,d,0 to 59,"",0,2,0.049293245765525344,0,0,0,646,15.921718382264684
20200229,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,16,5.671345526726216
20200229,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,58,16.97122207429299
20200229,S92000003,Total,d,25 to 44,"",0,0,0,0,0,0,246,17.1871124603072
20200229,S92000003,Total,d,45 to 64,"",0,2,0.1337837385865748,0,0,0,280,18.72972340212047
20200229,S92000003,Total,d,60+,"",0,0,0,0,0,0,140,9.938600744401196
20200229,S92000003,Total,d,65 to 74,"",0,0,0,0,0,0,69,11.769461828564996
20200229,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,13,3.806668111248411
20200229,S92000003,Total,d,85plus,"",0,0,0,0,0,0,4,3.117425629914816
20200229,S92000003,Total,d,Total,d,0,2,0.03658982802780827,0,0,0,786,14.37980241492865
20200301,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,50,11.930070697598953
20200301,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,339,16.628724723970528
20200301,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,9,6.525853255313132
20200301,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,44,26.120045353896934
20200301,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,126,17.43066468934682
20200301,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,144,18.648743152414625
20200301,S92000003,Female,"",60+,"",1,1,0.13120828396621648,0,0,0,81,10.627871001263536
20200301,S92000003,Female,"",65 to 74,"",1,1,0.32698545568693105,0,0,0,35,11.444490949042587
20200301,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,7,3.645263760870697
20200301,S92000003,Female,"",85plus,"",0,0,0,0,0,0,5,6.066120715802245
20200301,S92000003,Female,"",Total,d,1,1,0.03570423752172603,0,0,0,420,14.995779759124932
20200301,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,76,17.246035113835177
20200301,S92000003,Male,"",0 to 59,"",1,3,0.14860975573509816,0,0,0,366,18.130390199681976
20200301,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,10,6.934476135000382
20200301,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,21,12.117575100114252
20200301,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,135,19.055927028503433
20200301,S92000003,Male,"",45 to 64,"",1,3,0.4150640582196519,0,0,0,149,20.61484822490938
