Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S92000003,1,0,0,0,0,0,0,63,5.800501421122848
20200228,S92000003,2,0,0,0,0,0,0,93,8.557358223897296
20200228,S92000003,3,0,0,0,0,0,0,136,12.4556154218836
20200228,S92000003,4,1,2,0.18072724643967325,0,0,0,192,17.34981565820863
20200228,S92000003,5,0,0,0,0,0,0,195,17.859007258999565
20200229,S92000003,1,0,0,0,0,0,0,79,7.273644639185794
20200229,S92000003,2,0,0,0,0,0,0,103,9.477504269477652
20200229,S92000003,3,0,0,0,0,0,0,142,13.0051278669667
20200229,S92000003,4,0,2,0.18072724643967325,0,0,0,210,18.97636087616569
20200229,S92000003,5,0,0,0,0,0,0,209,19.141192395543122
20200301,S92000003,1,0,0,0,0,0,0,96,8.838859308377673
20200301,S92000003,2,0,0,0,0,0,0,111,10.213621105941936
20200301,S92000003,3,1,1,0.09158540751385,0,0,0,153,14.01256734961905
20200301,S92000003,4,0,2,0.18072724643967325,0,0,0,219,19.789633485144222
20200301,S92000003,5,1,1,0.09158465261025418,0,0,0,235,21.522393363409734
20200302,S92000003,1,0,0,0,0,0,0,141,12.982074609179707
20200302,S92000003,2,0,0,0,0,0,0,146,13.434132265473178
20200302,S92000003,3,0,1,0.09158540751385,0,0,0,188,17.2180566126038
20200302,S92000003,4,1,3,0.27109086965950985,0,0,0,254,22.952360297838503
20200302,S92000003,5,0,1,0.09158465261025418,0,0,0,288,26.376379951753208
20200303,S92000003,1,0,0,0,0,0,0,197,18.138075872400016
20200303,S92000003,2,0,0,0,0,0,0,185,17.022701843236558
20200303,S92000003,3,0,1,0.09158540751385,0,0,0,227,20.78988750564395
20200303,S92000003,4,2,5,0.4518181160991831,0,0,0,290,26.20545073375262
20200303,S92000003,5,1,2,0.18316930522050837,0,0,0,329,30.131350708773628
20200304,S92000003,1,0,0,0,0,0,0,241,22.18921972207312
20200304,S92000003,2,1,1,0.09201460455803545,0,0,0,218,20.059183793651727
20200304,S92000003,3,1,2,0.1831708150277,0,0,0,263,24.08696217614255
20200304,S92000003,4,1,6,0.5421817393190197,0,0,0,315,28.46454131424854
20200304,S92000003,5,3,5,0.4579232630512709,0,0,0,368,33.70315216057354
20200305,S92000003,1,1,1,0.0920714511289341,0,0,0,291,26.792792278519823
20200305,S92000003,2,0,1,0.09201460455803545,0,0,0,256,23.555738766857075
20200305,S92000003,3,0,2,0.1831708150277,0,0,0,292,26.7429389940442
20200305,S92000003,4,1,7,0.6325453625388563,0,0,0,349,31.536904503722983
20200305,S92000003,5,0,5,0.4579232630512709,0,0,0,398,36.45069173888116
20200306,S92000003,1,0,1,0.0920714511289341,0,0,0,338,31.120150481579724
20200306,S92000003,2,1,2,0.1840292091160709,0,0,0,289,26.592220717272248
20200306,S92000003,3,0,2,0.1831708150277,0,0,0,334,30.5895261096259
20200306,S92000003,4,4,11,0.9939998554182028,0,0,0,386,34.880358562856934
20200306,S92000003,5,1,6,0.5495079156615251,0,0,0,443,40.572001106342604
20200307,S92000003,1,0,1,0.0920714511289341,0,0,0,360,33.145722406416276
20200307,S92000003,2,0,2,0.1840292091160709,0,0,0,319,29.35265885401331
20200307,S92000003,3,1,3,0.27475622254155,0,0,0,360,32.970746704986
20200307,S92000003,4,2,13,1.174727101857876,0,0,0,410,37.04908552013302
20200307,S92000003,5,2,8,0.7326772208820335,0,0,0,471,43.13637137942972
20200308,S92000003,1,0,1,0.0920714511289341,0,0,0,390,35.907865940284296
20200308,S92000003,2,0,2,0.1840292091160709,0,0,0,344,31.653023967964195
20200308,S92000003,3,0,3,0.27475622254155,0,0,0,384,35.1687964853184
20200308,S92000003,4,1,14,1.2650907250777126,0,0,0,427,38.585267114870234
20200308,S92000003,5,2,10,0.9158465261025418,0,0,0,491,44.9680644316348
20200309,S92000003,1,1,2,0.1841429022578682,0,0,0,440,40.511438496731
20200309,S92000003,2,1,3,0.27604381367410635,0,0,0,399,36.71382721865615
20200309,S92000003,3,2,5,0.45792703756925,0,0,0,433,39.65648145349705
20200309,S92000003,4,7,21,1.897636087616569,0,0,0,487,44.00708450806044
20200309,S92000003,5,4,14,1.2821851365435586,0,0,0,565,51.74532872479361
20200310,S92000003,1,0,2,0.1841429022578682,0,0,0,516,47.508868782529994
20200310,S92000003,2,4,7,0.6441022319062482,0,0,0,478,43.98298097874095
20200310,S92000003,3,2,7,0.6410978525969501,0,0,0,504,46.1590453869804
20200310,S92000003,4,9,30,2.7109086965950984,0,0,0,559,50.51326537988867
20200310,S92000003,5,6,20,1.8316930522050836,0,0,0,627,57.42357718662937
20200311,S92000003,1,2,4,0.3682858045157364,0,0,0,622,57.268442602197005
20200311,S92000003,2,1,8,0.7361168364642836,0,0,0,561,51.62019315705789
20200311,S92000003,3,5,12,1.0990248901662,0,0,0,593,54.310146655713055
20200311,S92000003,4,7,37,3.343454059133955,0,0,0,635,57.380900744596254
20200311,S92000003,5,10,30,2.7475395783076255,0,0,0,703,64.3840107850087
20200312,S92000003,1,7,11,1.0127859624182751,0,0,0,751,69.14565979782951
20200312,S92000003,2,2,10,0.9201460455803545,0,0,0,668,61.46575584476768
20200312,S92000003,3,8,20,1.831708150277,0,0,0,690,63.1939311845565
20200312,S92000003,4,5,42,3.795272175233138,0,0,0,727,65.69435408082123
20200312,S92000003,5,16,46,4.212894020071692,0,0,0,807,73.90881465647513
20200313,S92000003,1,6,17,1.5652146691918796,0,0,0,874,80.4704482866884
20200313,S92000003,2,6,16,1.4722336729285672,0,0,0,772,71.03527471880336
20200313,S92000003,3,7,27,2.4728060028739502,0,0,0,792,72.5356427509692
20200313,S92000003,4,15,57,5.150726523530688,0,0,0,820,74.09817104026604
20200313,S92000003,5,13,59,5.403494504004997,0,0,0,917,83.98312644360308
20200314,S92000003,1,5,22,2.0255719248365502,1,1,0.0920714511289341,974,89.67759339958181
20200314,S92000003,2,5,21,1.9323066957187447,0,0,0,846,77.84435545609799
20200314,S92000003,3,1,28,2.5643914103878003,0,0,0,861,78.85503586942485
20200314,S92000003,4,6,63,5.692908262849707,1,1,0.09036362321983663,871,78.7067158244777
20200314,S92000003,5,2,61,5.586663809225505,0,0,0,959,87.82968185323377
20200315,S92000003,1,2,24,2.2097148270944182,0,1,0.0920714511289341,1067,98.2402383545727
20200315,S92000003,2,2,23,2.1163359048348154,0,0,0,904,83.18120252046405
20200315,S92000003,3,3,31,2.83914763292935,0,0,0,911,83.43430624511736
20200315,S92000003,4,0,63,5.692908262849707,0,1,0.09036362321983663,912,82.411624376491
20200315,S92000003,5,5,66,6.044587072276776,0,0,0,994,91.03514469459266
20200316,S92000003,1,5,29,2.6700720827390887,0,1,0.0920714511289341,1209,111.31438441488132
20200316,S92000003,2,4,27,2.484394323066957,0,0,0,1001,92.10661916259349
20200316,S92000003,3,5,36,3.2970746704986,1,1,0.09158540751385,1005,92.04333455141926
20200316,S92000003,4,2,65,5.873635509289381,0,1,0.09036362321983663,1001,90.45398684305646
20200316,S92000003,5,5,71,6.502510335328046,0,0,0,1073,98.27033225080274
20200317,S92000003,1,8,37,3.4066436917705616,0,1,0.0920714511289341,1347,124.02024467067423
20200317,S92000003,2,10,37,3.4045403686473117,1,1,0.09201460455803545,1118,102.87232789588363
20200317,S92000003,3,5,41,3.75500170806785,0,1,0.09158540751385,1102,100.92711908026271
20200317,S92000003,4,6,71,6.4158172486084,0,1,0.09036362321983663,1099,99.30962191860046
20200317,S92000003,5,12,83,7.601526166651098,1,1,0.09158465261025418,1179,107.97830542748969
20200318,S92000003,1,11,48,4.4194296541888365,0,1,0.0920714511289341,1463,134.7005330016306
20200318,S92000003,2,7,44,4.04864260055356,0,1,0.09201460455803545,1236,113.73005123373181
20200318,S92000003,3,4,45,4.12134333812325,0,1,0.09158540751385,1203,110.17724523916155
20200318,S92000003,4,9,80,7.22908985758693,0,1,0.09036362321983663,1189,107.44234800838574
20200318,S92000003,5,11,94,8.608957345363892,0,1,0.09158465261025418,1280,117.22835534112535
20200319,S92000003,1,11,59,5.432215616607111,1,2,0.1841429022578682,1589,146.30153584387628
20200319,S92000003,2,10,54,4.968788646133914,1,2,0.1840292091160709,1365,125.59993522171838
20200319,S92000003,3,9,54,4.9456120057479005,0,1,0.09158540751385,1334,122.17493362347591
20200319,S92000003,4,9,89,8.042362466565459,0,1,0.09036362321983663,1294,116.93052844646859
20200319,S92000003,5,9,103,9.43321921885618,1,2,0.18316930522050837,1384,126.75315921259178
20200320,S92000003,1,10,69,6.352930127896452,3,5,0.4603572556446705,1696,156.15318111467224
20200320,S92000003,2,12,66,6.07296390083034,1,3,0.27604381367410635,1469,135.16945409575408
20200320,S92000003,3,23,77,7.05207637856645,0,1,0.09158540751385,1465,134.17262200779027
20200320,S92000003,4,20,109,9.849634930962193,1,2,0.18072724643967325,1412,127.5934359864093
20200320,S92000003,5,17,120,10.990158313230502,0,2,0.18316930522050837,1497,137.1022249575505
20200321,S92000003,1,6,75,6.905358834670057,2,7,0.6445001579025387,1796,165.36032622756565
20200321,S92000003,2,14,80,7.361168364642836,1,4,0.3680584182321418,1556,143.17472469230316
20200321,S92000003,3,15,92,8.4258574912742,1,2,0.1831708150277,1546,141.5910400164121
20200321,S92000003,4,11,120,10.843634786380393,1,3,0.27109086965950985,1500,135.54543482975492
20200321,S92000003,5,20,140,12.821851365435585,1,3,0.27475395783076256,1575,144.24582786115033
20200322,S92000003,1,11,86,7.918144797088333,0,7,0.6445001579025387,1882,173.27847102465398
20200322,S92000003,2,14,94,8.649372828455332,2,6,0.5520876273482127,1638,150.71992226606207
20200322,S92000003,3,15,107,9.79963860398195,0,2,0.1831708150277,1607,147.17774987475696
20200322,S92000003,4,14,134,12.108725511458108,1,4,0.3614544928793465,1573,142.141979324803
