HBR,HBRQF,Dose,NumberVaccinated,PercentCoverage,PercentCoverageQF
 ,:,Dose 1,1952,,z
S08000015, ,Dose 1,112297,36.43,
S08000016, ,Dose 1,33590,34.81,
S08000017, ,Dose 1,48710,38.78,
S08000019, ,Dose 1,73128,28.77,
S08000020, ,Dose 1,122856,25.33,
S08000022, ,Dose 1,85350,31.64,
S08000024, ,Dose 1,165771,21.95,
S08000025, ,Dose 1,6526,34.92,
S08000026, ,Dose 1,6941,37.07,
S08000028, ,Dose 1,9897,44.05,
S08000029, ,Dose 1,77899,25.21,
S08000030, ,Dose 1,111418,31.85,
S08000031, ,Dose 1,274253,27.84,
S08000032, ,Dose 1,124602,22.93,
