CA,CAQF,Dose,NumberVaccinated
S12000005, ,Dose  1,8215
S12000006, ,Dose  1,36221
S12000008, ,Dose  1,26173
S12000010, ,Dose  1,11652
S12000011, ,Dose  1,17438
S12000013, ,Dose  1,9897
S12000014, ,Dose  1,33077
S12000017, ,Dose  1,22121
S12000018, ,Dose  1,17487
S12000019, ,Dose  1,12161
S12000020, ,Dose  1,20898
S12000021, ,Dose  1,28795
S12000023, ,Dose  1,5811
S12000026, ,Dose  1,15617
S12000027, ,Dose  1,6941
S12000028, ,Dose  1,26860
S12000029, ,Dose  1,56598
S12000030, ,Dose  1,15105
S12000033, ,Dose  1,44820
S12000034, ,Dose  1,57115
S12000035, ,Dose  1,9677
S12000036, ,Dose  1,55960
S12000038, ,Dose  1,35201
S12000039, ,Dose  1,16225
S12000040, ,Dose  1,20197
S12000041, ,Dose  1,34586
S12000042, ,Dose  1,35110
S12000045, ,Dose  1,29814
S12000047, ,Dose  1,60472
S12000048, ,Dose  1,41722
S12000049, ,Dose  1,91137
S12000050, ,Dose  1,62133
 ,:,Dose  1,289954
