WeekEnding,Country,Dose,Eligibility,NumberVaccinated
20201213,S92000003,Dose 1,HealthcareWorker,15275
20201213,S92000003,Dose 1,CareHomeStaff,2878
20201213,S92000003,Dose 1,CareHomeResident,12
20201213,S92000003,Dose 1,SocialCareWorker,1055
20201213,S92000003,Dose 1,Other,185
20201220,S92000003,Dose 1,HealthcareWorker,27637
20201220,S92000003,Dose 1,CareHomeStaff,7227
20201220,S92000003,Dose 1,CareHomeResident,5132
20201220,S92000003,Dose 1,SocialCareWorker,1132
20201220,S92000003,Dose 1,Other,1013
20201227,S92000003,Dose 1,HealthcareWorker,19894
20201227,S92000003,Dose 1,CareHomeStaff,6465
20201227,S92000003,Dose 1,CareHomeResident,7060
20201227,S92000003,Dose 1,SocialCareWorker,811
20201227,S92000003,Dose 1,Other,1601
20210103,S92000003,Dose 1,HealthcareWorker,12185
20210103,S92000003,Dose 1,CareHomeStaff,3564
20210103,S92000003,Dose 1,CareHomeResident,4869
20210103,S92000003,Dose 1,SocialCareWorker,462
20210103,S92000003,Dose 1,Other,1678
20210110,S92000003,Dose 1,HealthcareWorker,27992
20210110,S92000003,Dose 1,CareHomeStaff,6378
20210110,S92000003,Dose 1,CareHomeResident,6861
20210110,S92000003,Dose 1,SocialCareWorker,3981
20210110,S92000003,Dose 1,Other,6356
20210117,S92000003,Dose 1,HealthcareWorker,35536
20210117,S92000003,Dose 1,CareHomeStaff,6463
20210117,S92000003,Dose 1,CareHomeResident,3022
20210117,S92000003,Dose 1,SocialCareWorker,11606
20210117,S92000003,Dose 1,Other,48260
20210124,S92000003,Dose 1,HealthcareWorker,36645
20210124,S92000003,Dose 1,CareHomeStaff,4587
20210124,S92000003,Dose 1,CareHomeResident,1678
20210124,S92000003,Dose 1,SocialCareWorker,15056
20210124,S92000003,Dose 1,Other,95769
20210131,S92000003,Dose 1,HealthcareWorker,24273
20210131,S92000003,Dose 1,CareHomeStaff,2143
20210131,S92000003,Dose 1,CareHomeResident,725
20210131,S92000003,Dose 1,SocialCareWorker,11361
20210131,S92000003,Dose 1,Other,128393
20210207,S92000003,Dose 1,HealthcareWorker,9968
20210207,S92000003,Dose 1,CareHomeStaff,950
20210207,S92000003,Dose 1,CareHomeResident,600
20210207,S92000003,Dose 1,SocialCareWorker,3114
20210207,S92000003,Dose 1,Other,274787
20210214,S92000003,Dose 1,HealthcareWorker,4740
20210214,S92000003,Dose 1,CareHomeStaff,417
20210214,S92000003,Dose 1,CareHomeResident,199
20210214,S92000003,Dose 1,SocialCareWorker,1764
20210214,S92000003,Dose 1,Other,367005
