WeekEnding,Country,Vaccine,Dose,NumberVaccinated,NumberVaccinatedQF
20201213,S92000003,Pfizer,Dose 1,18993, 
20201213,S92000003,AstraZeneca,Dose 1, ,z
20201213,S92000003,Pfizer,Dose 2, ,z
20201213,S92000003,AstraZeneca,Dose 2, ,z
20201220,S92000003,Pfizer,Dose 1,41124, 
20201220,S92000003,AstraZeneca,Dose 1, ,z
20201220,S92000003,Pfizer,Dose 2, ,z
20201220,S92000003,AstraZeneca,Dose 2, ,z
20201227,S92000003,Pfizer,Dose 1,34403, 
20201227,S92000003,AstraZeneca,Dose 1, ,z
20201227,S92000003,Pfizer,Dose 2, ,z
20201227,S92000003,AstraZeneca,Dose 2, ,z
20210103,S92000003,Pfizer,Dose 1,21323, 
20210103,S92000003,AstraZeneca,Dose 1, ,z
20210103,S92000003,Pfizer,Dose 2,43, 
20210103,S92000003,AstraZeneca,Dose 2, ,z
20210110,S92000003,Pfizer,Dose 1,46777, 
20210110,S92000003,AstraZeneca,Dose 1,4471, 
20210110,S92000003,Pfizer,Dose 2,2825, 
20210110,S92000003,AstraZeneca,Dose 2, ,z
20210117,S92000003,Pfizer,Dose 1,63138, 
20210117,S92000003,AstraZeneca,Dose 1,41340, 
20210117,S92000003,Pfizer,Dose 2,1136, 
20210117,S92000003,AstraZeneca,Dose 2, ,z
20210124,S92000003,Pfizer,Dose 1,75600, 
20210124,S92000003,AstraZeneca,Dose 1,77965, 
20210124,S92000003,Pfizer,Dose 2,2083, 
20210124,S92000003,AstraZeneca,Dose 2,,z
20210131,S92000003,Pfizer,Dose 1,50472, 
20210131,S92000003,AstraZeneca,Dose 1,116304, 
20210131,S92000003,Pfizer,Dose 2,2524, 
20210131,S92000003,AstraZeneca,Dose 2,2, 
20210207,S92000003,Pfizer,Dose 1,139463, 
20210207,S92000003,AstraZeneca,Dose 1,149832, 
20210207,S92000003,Pfizer,Dose 2,3101, 
20210207,S92000003,AstraZeneca,Dose 2,20, 
20210214,S92000003,Pfizer,Dose 1,192607, 
20210214,S92000003,AstraZeneca,Dose 1,181378, 
20210214,S92000003,Pfizer,Dose 2,3878, 
20210214,S92000003,AstraZeneca,Dose 2,165, 
