areaType,areaName,areaCode,date,covidOccupiedMVBeds
nation,Northern Ireland,N92000002,2020-11-23,30
nation,Northern Ireland,N92000002,2020-11-22,28
nation,Northern Ireland,N92000002,2020-11-21,31
nation,Northern Ireland,N92000002,2020-11-20,28
nation,Northern Ireland,N92000002,2020-11-19,32
nation,Northern Ireland,N92000002,2020-11-18,37
nation,Northern Ireland,N92000002,2020-11-17,35
nation,Northern Ireland,N92000002,2020-11-16,37
nation,Northern Ireland,N92000002,2020-11-15,40
nation,Northern Ireland,N92000002,2020-11-14,39
nation,Northern Ireland,N92000002,2020-11-13,34
nation,Northern Ireland,N92000002,2020-11-12,30
nation,Northern Ireland,N92000002,2020-11-11,35
nation,Northern Ireland,N92000002,2020-11-10,39
nation,Northern Ireland,N92000002,2020-11-09,44
nation,Northern Ireland,N92000002,2020-11-08,41
nation,Northern Ireland,N92000002,2020-11-07,38
nation,Northern Ireland,N92000002,2020-11-06,39
nation,Northern Ireland,N92000002,2020-11-05,42
nation,Northern Ireland,N92000002,2020-11-04,42
nation,Northern Ireland,N92000002,2020-11-03,44
nation,Northern Ireland,N92000002,2020-11-02,42
nation,Northern Ireland,N92000002,2020-11-01,41
nation,Northern Ireland,N92000002,2020-10-31,41
nation,Northern Ireland,N92000002,2020-10-30,38
nation,Northern Ireland,N92000002,2020-10-29,39
nation,Northern Ireland,N92000002,2020-10-28,37
nation,Northern Ireland,N92000002,2020-10-27,33
nation,Northern Ireland,N92000002,2020-10-26,30
nation,Northern Ireland,N92000002,2020-10-25,27
nation,Northern Ireland,N92000002,2020-10-24,27
nation,Northern Ireland,N92000002,2020-10-23,25
nation,Northern Ireland,N92000002,2020-10-22,23
nation,Northern Ireland,N92000002,2020-10-21,26
nation,Northern Ireland,N92000002,2020-10-20,25
nation,Northern Ireland,N92000002,2020-10-19,25
nation,Northern Ireland,N92000002,2020-10-18,23
nation,Northern Ireland,N92000002,2020-10-17,22
nation,Northern Ireland,N92000002,2020-10-16,20
nation,Northern Ireland,N92000002,2020-10-15,17
nation,Northern Ireland,N92000002,2020-10-14,17
nation,Northern Ireland,N92000002,2020-10-13,15
nation,Northern Ireland,N92000002,2020-10-12,15
nation,Northern Ireland,N92000002,2020-10-11,12
nation,Northern Ireland,N92000002,2020-10-10,11
nation,Northern Ireland,N92000002,2020-10-09,10
nation,Northern Ireland,N92000002,2020-10-08,11
nation,Northern Ireland,N92000002,2020-10-07,11
nation,Northern Ireland,N92000002,2020-10-06,8
nation,Northern Ireland,N92000002,2020-10-05,8
nation,Northern Ireland,N92000002,2020-10-04,7
nation,Northern Ireland,N92000002,2020-10-03,9
nation,Northern Ireland,N92000002,2020-10-02,7
nation,Northern Ireland,N92000002,2020-10-01,7
nation,Northern Ireland,N92000002,2020-09-30,7
nation,Northern Ireland,N92000002,2020-09-29,5
nation,Northern Ireland,N92000002,2020-09-28,6
nation,Northern Ireland,N92000002,2020-09-27,5
nation,Northern Ireland,N92000002,2020-09-26,5
nation,Northern Ireland,N92000002,2020-09-25,5
nation,Northern Ireland,N92000002,2020-09-24,5
nation,Northern Ireland,N92000002,2020-09-23,5
nation,Northern Ireland,N92000002,2020-09-22,4
nation,Northern Ireland,N92000002,2020-09-21,3
nation,Northern Ireland,N92000002,2020-09-20,3
nation,Northern Ireland,N92000002,2020-09-19,3
nation,Northern Ireland,N92000002,2020-09-18,3
nation,Northern Ireland,N92000002,2020-09-17,3
nation,Northern Ireland,N92000002,2020-09-16,2
nation,Northern Ireland,N92000002,2020-09-15,2
nation,Northern Ireland,N92000002,2020-09-14,1
nation,Northern Ireland,N92000002,2020-09-13,1
nation,Northern Ireland,N92000002,2020-09-12,1
nation,Northern Ireland,N92000002,2020-09-11,1
nation,Northern Ireland,N92000002,2020-09-10,2
nation,Northern Ireland,N92000002,2020-09-09,2
nation,Northern Ireland,N92000002,2020-09-08,1
nation,Northern Ireland,N92000002,2020-09-07,1
nation,Northern Ireland,N92000002,2020-09-06,3
nation,Northern Ireland,N92000002,2020-09-05,3
nation,Northern Ireland,N92000002,2020-09-04,3
nation,Northern Ireland,N92000002,2020-09-03,3
nation,Northern Ireland,N92000002,2020-09-02,3
nation,Northern Ireland,N92000002,2020-09-01,3
nation,Northern Ireland,N92000002,2020-08-31,2
nation,Northern Ireland,N92000002,2020-08-30,2
nation,Northern Ireland,N92000002,2020-08-29,2
nation,Northern Ireland,N92000002,2020-08-28,2
nation,Northern Ireland,N92000002,2020-08-27,1
nation,Northern Ireland,N92000002,2020-08-26,1
nation,Northern Ireland,N92000002,2020-08-25,1
nation,Northern Ireland,N92000002,2020-08-24,1
nation,Northern Ireland,N92000002,2020-08-23,0
nation,Northern Ireland,N92000002,2020-08-22,0
nation,Northern Ireland,N92000002,2020-08-21,0
nation,Northern Ireland,N92000002,2020-08-20,0
nation,Northern Ireland,N92000002,2020-08-19,0
nation,Northern Ireland,N92000002,2020-08-18,0
nation,Northern Ireland,N92000002,2020-08-17,0
nation,Northern Ireland,N92000002,2020-08-16,0
nation,Northern Ireland,N92000002,2020-08-15,0
nation,Northern Ireland,N92000002,2020-08-14,1
nation,Northern Ireland,N92000002,2020-08-13,2
nation,Northern Ireland,N92000002,2020-08-12,2
nation,Northern Ireland,N92000002,2020-08-11,1
nation,Northern Ireland,N92000002,2020-08-10,1
nation,Northern Ireland,N92000002,2020-08-09,1
nation,Northern Ireland,N92000002,2020-08-08,1
nation,Northern Ireland,N92000002,2020-08-07,1
nation,Northern Ireland,N92000002,2020-08-06,1
nation,Northern Ireland,N92000002,2020-08-05,1
nation,Northern Ireland,N92000002,2020-08-04,1
nation,Northern Ireland,N92000002,2020-08-03,1
nation,Northern Ireland,N92000002,2020-08-02,1
nation,Northern Ireland,N92000002,2020-08-01,1
nation,Northern Ireland,N92000002,2020-07-31,1
nation,Northern Ireland,N92000002,2020-07-30,1
nation,Northern Ireland,N92000002,2020-07-29,1
nation,Northern Ireland,N92000002,2020-07-28,1
nation,Northern Ireland,N92000002,2020-07-27,1
