date,state,positive,negative,pending,hospitalized_currently,hospitalized_cumulative,in_icu_currently,in_icu_cumulative,on_ventilator_currently,on_ventilator_cumulative,recovered,data_quality_grade,last_update_et,hash,date_checked,death,hospitalized,total,total_test_results,pos_neg,fips,death_increase,hospitalized_increase,negative_increase,positive_increase,total_test_results_increase,fips_code,iso_subdivision,load_time,iso_country
2020-11-16,AK,23240,849107,,143,559,,,14,,7165,A,2020-11-16 03:59:00,f9555880eaacb39588e3dbdc1822f7fca35ebf82,2020-11-16T03:59:00Z,98,559,872347,872347,872347,2,0,9,4387,578,4965,2,US-AK,2020-11-18 00:05:27,US
2020-11-16,AL,219232,1281958,,1262,22716,,2153,,1244,88038,A,2020-11-16 11:00:00,6a3bed8bae24c6fd056a322cdf8bdb75b8e91348,2020-11-16T11:00:00Z,3249,22716,1501190,1466603,1501190,1,1,441,6043,1410,7197,1,US-AL,2020-11-18 00:05:27,US
2020-11-16,AR,134348,1396858,,861,7949,346,,123,902,115625,A+,2020-11-16 00:00:00,43de65cf93ca926ad2da304f49f1e72c306610af,2020-11-16T00:00:00Z,2225,7949,1531206,1516866,1531206,5,42,73,10147,1308,11312,5,US-AR,2020-11-18 00:05:27,US
2020-11-16,AS,0,1768,,,,,,,,,D,2020-11-01 00:00:00,6d34dd5451bcb98bd8f892b4d1c5814819a71c0e,2020-11-01T00:00:00Z,0,,1768,1768,1768,60,0,0,0,0,0,60,US-AS,2020-11-18 00:05:27,US
2020-11-16,AZ,276912,1718324,,1557,23122,374,,194,,45737,A+,2020-11-16 00:00:00,3fa72aa48704fd1d9ef5023f31ab1208aab31b55,2020-11-16T00:00:00Z,6302,23122,1995236,1987781,1995236,4,0,73,11929,1476,13283,4,US-AZ,2020-11-18 00:05:27,US
2020-11-16,CA,1029235,20039659,,4559,,1131,,,,,B,2020-11-16 02:59:00,8d179dd4a451eccee3decd5678f78ae4597d5c8e,2020-11-16T02:59:00Z,18263,,21068894,21068894,21068894,6,10,0,192219,9890,202109,6,US-CA,2020-11-18 00:05:27,US
2020-11-16,CO,163417,1299566,,1417,11124,,,,,9657,A,2020-11-15 01:59:00,76348c23dc21ab6c0c75f8752324a3fe5c5f2cde,2020-11-15T01:59:00Z,2234,11124,1462983,2523752,1462983,8,0,68,14476,4183,38301,8,US-CO,2020-11-18 00:05:27,US
2020-11-16,CT,93284,2699868,,757,12257,,,,,9800,C,2020-11-15 20:30:00,39effdf537c565b774f896701882c1803f6fa0f9,2020-11-15T20:30:00Z,4759,12257,2793152,2793152,2793152,9,22,0,81846,4639,86485,9,US-CT,2020-11-18 00:05:27,US
2020-11-16,DC,19064,571288,,101,,33,,18,,14271,A+,2020-11-15 00:00:00,4f008f04ee9b745fb7c85e5a74283ccf810d7374,2020-11-15T00:00:00Z,660,,590352,590352,590352,11,0,0,1645,87,1732,11,US-DC,2020-11-18 00:05:27,US
2020-11-16,DE,29200,353709,,141,,31,,,,15007,A+,2020-11-15 18:00:00,6d9d5cb35f59a1085897480573b79b27255aea9d,2020-11-15T18:00:00Z,736,,382909,628938,382909,10,0,0,2697,397,6597,10,US-DE,2020-11-18 00:05:27,US
2020-11-16,FL,877340,5748137,5136,3243,52649,,,,,,A,2020-11-15 23:59:00,31c36a48488f71cd0fe8d47f001ba24bc86a1431,2020-11-15T23:59:00Z,17775,52649,6630613,11073495,6625477,12,41,120,21642,4530,51327,12,US-FL,2020-11-18 00:05:27,US
2020-11-16,GA,387930,3512778,,2070,33265,,6229,,,,A+,2020-11-16 02:50:00,5ea423dfb8a9921aead74167bd2c4077ef84d66a,2020-11-16T02:50:00Z,8967,33265,3900708,3900708,3900708,13,10,24,12441,981,13422,13,US-GA,2020-11-18 00:05:27,US
2020-11-16,GU,6175,71958,,70,,18,,11,,3950,A,2020-11-16 06:30:00,2ecb3ad8550dac5dcefdafcd14f2c712c6a63ad5,2020-11-16T06:30:00Z,98,,78133,78133,78133,66,4,0,703,54,757,66,US-GU,2020-11-18 00:05:27,US
2020-11-16,HI,16853,295153,,63,1194,14,,1,,11958,B,2020-11-15 23:00:00,99f6b70b6eda3e9f7aa0adefc2e4c2007134efd3,2020-11-15T23:00:00Z,222,1194,312006,599994,312006,15,0,0,0,94,4879,84,US-UM,2020-11-18 00:05:27,US
2020-11-16,HI,16853,295153,,63,1194,14,,1,,11958,B,2020-11-15 23:00:00,99f6b70b6eda3e9f7aa0adefc2e4c2007134efd3,2020-11-15T23:00:00Z,222,1194,312006,599994,312006,15,0,0,0,94,4879,15,US-HI,2020-11-18 00:05:27,US
2020-11-16,IA,169353,823498,,1392,,271,,123,,108187,A+,2020-11-16 00:00:00,7c54ae0cb2b93a182cdedf2e7da13d54f257757d,2020-11-16T00:00:00Z,1991,,992851,992851,992851,19,6,0,2179,2071,4250,19,US-IA,2020-11-18 00:05:27,US
2020-11-16,ID,82245,359988,,395,3168,96,613,,,35215,A,2020-11-15 19:00:00,699a2a1403fe4633615509752947bf80c2b0b381,2020-11-15T19:00:00Z,759,3168,442233,430423,442233,16,0,20,1591,928,2469,16,US-ID,2020-11-18 00:05:27,US
2020-11-16,IL,585248,8576205,,5581,,1144,,514,,,A,2020-11-16 00:00:00,2fb3335bb643f78e6192cfec928cb9c67baab562,2020-11-16T00:00:00Z,11204,,9161453,9161453,9161453,17,42,0,78980,11632,90612,17,US-IL,2020-11-18 00:05:27,US
